code,name,industry,n_obs,first_date,last_date,n_missing,coverage_rate
000001,平安银行,银行,866,2023-01-03,2026-07-31,0,1.0
600036,招商银行,银行,866,2023-01-03,2026-07-31,0,1.0
601398,工商银行,银行,866,2023-01-03,2026-07-31,0,1.0
601288,农业银行,银行,866,2023-01-03,2026-07-31,0,1.0
600519,贵州茅台,食品饮料,866,2023-01-03,2026-07-31,0,1.0
000858,五粮液,食品饮料,866,2023-01-03,2026-07-31,0,1.0
000568,泸州老窖,食品饮料,866,2023-01-03,2026-07-31,0,1.0
600887,伊利股份,食品饮料,866,2023-01-03,2026-07-31,0,1.0
002460,赣锋锂业,新能源,866,2023-01-03,2026-07-31,0,1.0
002415,海康威视,电子,866,2023-01-03,2026-07-31,0,1.0
000725,京东方A,电子,866,2023-01-03,2026-07-31,0,1.0
603501,韦尔股份,电子,866,2023-01-03,2026-07-31,0,1.0
002475,立讯精密,电子,866,2023-01-03,2026-07-31,0,1.0
601318,中国平安,非银金融,866,2023-01-03,2026-07-31,0,1.0
600030,中信证券,非银金融,866,2023-01-03,2026-07-31,0,1.0
