network,stock_1,industry_1,stock_2,industry_2,same_industry,correlation,distance
mst,000001,银行,600036,银行,True,0.776685302435272,0.6683033705806488
mst,000001,银行,601318,非银金融,False,0.7108717821247009,0.7604317429924912
mst,600036,银行,601398,银行,True,0.5303492238168537,0.9691757076847792
mst,601398,银行,601288,银行,True,0.8543761153835311,0.5396737618533421
mst,600519,食品饮料,000858,食品饮料,True,0.8292622489017185,0.5843590524639478
mst,000858,食品饮料,000568,食品饮料,True,0.8757013491334861,0.498595328631374
mst,000858,食品饮料,600887,食品饮料,True,0.6471043685521058,0.8401138392478654
mst,000858,食品饮料,601318,非银金融,False,0.5795844984972813,0.9169683762297572
mst,002460,新能源,600030,非银金融,False,0.3944353306960623,1.10051321600782
mst,002415,电子,603501,电子,True,0.4581584691952907,1.041000990205782
mst,002415,电子,600030,非银金融,False,0.4394506681680092,1.0588194669838582
mst,000725,电子,603501,电子,True,0.4338461679024857,1.0640994616082788
mst,603501,电子,002475,电子,True,0.4948357074630695,1.0051510260024912
mst,601318,非银金融,600030,非银金融,True,0.6162282050965275,0.8760956510603993
