network,stock_1,industry_1,stock_2,industry_2,same_industry,correlation,distance
threshold,000001,银行,600036,银行,True,0.776685302435272,0.6683033705806488
threshold,000001,银行,601318,非银金融,False,0.7108717821247009,0.7604317429924912
threshold,000001,银行,000858,食品饮料,False,0.5398930484379859,0.9592778028934206
threshold,600036,银行,601318,非银金融,False,0.6469287094658355,0.8403229028583769
threshold,600036,银行,601398,银行,True,0.5303492238168537,0.9691757076847792
threshold,601398,银行,601288,银行,True,0.8543761153835311,0.5396737618533421
threshold,600519,食品饮料,000858,食品饮料,True,0.8292622489017185,0.5843590524639478
threshold,600519,食品饮料,000568,食品饮料,True,0.7905470194400602,0.6472294501333198
threshold,600519,食品饮料,600887,食品饮料,True,0.6470191197426762,0.8402153060464012
threshold,600519,食品饮料,601318,非银金融,False,0.5722052645510013,0.9249807948806276
threshold,000858,食品饮料,000568,食品饮料,True,0.8757013491334861,0.498595328631374
threshold,000858,食品饮料,600887,食品饮料,True,0.6471043685521058,0.8401138392478654
threshold,000858,食品饮料,601318,非银金融,False,0.5795844984972813,0.9169683762297572
threshold,000568,食品饮料,600887,食品饮料,True,0.6148118465356324,0.877710833320824
threshold,000568,食品饮料,601318,非银金融,False,0.5530088388855992,0.9455063840232923
threshold,600887,食品饮料,601318,非银金融,False,0.5252841126029394,0.9743878974998208
threshold,601318,非银金融,600030,非银金融,True,0.6162282050965275,0.8760956510603993
