stock_1,stock_1_name,industry_1,stock_2,stock_2_name,industry_2,correlation,n_common
000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,0.8757013491334847,865
601398,工商银行,银行,601288,农业银行,银行,0.8543761153835322,865
600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,0.829262248901718,865
600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,0.7905470194400602,865
000001,平安银行,银行,600036,招商银行,银行,0.776685302435272,865
000001,平安银行,银行,601318,中国平安,非银金融,0.7108717821247011,865
000858,五粮液,食品饮料,600887,伊利股份,食品饮料,0.6471043685521051,865
600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,0.6470191197426761,865
600036,招商银行,银行,601318,中国平安,非银金融,0.6469287094658354,865
601318,中国平安,非银金融,600030,中信证券,非银金融,0.6162282050965284,865
000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,0.6148118465356318,865
000858,五粮液,食品饮料,601318,中国平安,非银金融,0.5795844984972807,865
600519,贵州茅台,食品饮料,601318,中国平安,非银金融,0.5722052645510014,865
000568,泸州老窖,食品饮料,601318,中国平安,非银金融,0.5530088388855998,865
000001,平安银行,银行,000858,五粮液,食品饮料,0.5398930484379856,865
600036,招商银行,银行,601398,工商银行,银行,0.5303492238168543,865
600887,伊利股份,食品饮料,601318,中国平安,非银金融,0.5252841126029388,865
600036,招商银行,银行,600519,贵州茅台,食品饮料,0.4959943265817617,865
000001,平安银行,银行,000568,泸州老窖,食品饮料,0.4956914074321167,865
000001,平安银行,银行,600887,伊利股份,食品饮料,0.49507692315327667,865
603501,韦尔股份,电子,002475,立讯精密,电子,0.4948357074630691,865
000858,五粮液,食品饮料,600030,中信证券,非银金融,0.48899123860959093,865
000001,平安银行,银行,600519,贵州茅台,食品饮料,0.4882930798441991,865
600036,招商银行,银行,000858,五粮液,食品饮料,0.4875420311156137,865
000568,泸州老窖,食品饮料,600030,中信证券,非银金融,0.47419911862611724,865
000001,平安银行,银行,601398,工商银行,银行,0.4670932925010673,865
002415,海康威视,电子,603501,韦尔股份,电子,0.4581584691952908,865
600519,贵州茅台,食品饮料,600030,中信证券,非银金融,0.45728560720109207,865
600036,招商银行,银行,000568,泸州老窖,食品饮料,0.4531592350260585,865
000001,平安银行,银行,600030,中信证券,非银金融,0.45308558361403145,865
