日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-01-03,601288,1.97,1.96,1.97,1.95,2987682,865794642.0,1.02,-0.51,-0.01,0.1
2023-01-04,601288,1.96,1.99,2.0,1.95,3972458,1160297953.0,2.55,1.53,0.03,0.13
2023-01-05,601288,2.0,1.99,2.01,1.98,2972185,871739563.0,1.51,0.0,0.0,0.1
2023-01-06,601288,1.99,1.98,2.0,1.97,3621642,1056426678.0,1.51,-0.5,-0.01,0.12
2023-01-09,601288,1.99,1.98,1.99,1.97,2251798,657844201.0,1.01,0.0,0.0,0.08
2023-01-10,601288,1.98,1.97,1.98,1.96,2634671,765535627.0,1.01,-0.51,-0.01,0.09
2023-01-11,601288,1.97,1.97,1.98,1.96,1981618,577413644.0,1.02,0.0,0.0,0.07
2023-01-12,601288,1.97,1.98,1.98,1.96,2863624,834309536.0,1.02,0.51,0.01,0.1
2023-01-13,601288,1.98,2.0,2.0,1.97,3083283,904597202.0,1.52,1.01,0.02,0.1
2023-01-16,601288,2.0,1.97,2.01,1.97,5611539,1641445615.0,2.0,-1.5,-0.03,0.19
2023-01-17,601288,1.97,1.97,1.98,1.96,2234450,650261778.0,1.02,0.0,0.0,0.07
2023-01-18,601288,1.98,1.98,1.99,1.97,2228855,651005844.0,1.02,0.51,0.01,0.07
2023-01-19,601288,1.98,1.98,1.99,1.97,1949922,568826257.0,1.01,0.0,0.0,0.07
2023-01-20,601288,1.98,1.98,1.98,1.97,3064832,893420491.0,0.51,0.0,0.0,0.1
2023-01-30,601288,1.99,1.98,2.0,1.97,3779497,1104270710.0,1.52,0.0,0.0,0.13
2023-01-31,601288,1.98,1.97,1.99,1.97,2316896,675999716.0,1.01,-0.51,-0.01,0.08
2023-02-01,601288,1.97,1.98,1.98,1.96,2606571,759218438.0,1.02,0.51,0.01,0.09
2023-02-02,601288,1.98,1.98,1.99,1.97,2739866,799695519.0,1.01,0.0,0.0,0.09
2023-02-03,601288,1.98,1.97,1.99,1.97,2598663,757665566.0,1.01,-0.51,-0.01,0.09
2023-02-06,601288,1.97,1.98,1.98,1.96,1934542,563298376.0,1.02,0.51,0.01,0.06
