stock_1,name_1,industry_1,stock_2,name_2,industry_2,pearson,partial,abs_pearson,abs_partial,signed_change,attenuation,retention_ratio,sign_flip,meaningful_sign_flip,relation_type
600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,0.7905470194400602,0.2113950042075789,0.7905470194400602,0.2113950042075789,-0.5791520152324814,0.5791520152324814,0.26740345483474054,False,False,强相关仍部分保留
000858,五粮液,食品饮料,601318,中国平安,非银金融,0.5795844984972807,-0.0052362127727142,0.5795844984972807,0.0052362127727142,-0.5848207112699949,0.5743482857245664,0.009034425155072998,True,False,Pearson强相关基本消失
000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,0.6148118465356318,0.0587457139448922,0.6148118465356318,0.0587457139448922,-0.5560661325907397,0.5560661325907397,0.0955507189328167,False,False,强相关明显减弱
000858,五粮液,食品饮料,600887,伊利股份,食品饮料,0.6471043685521051,0.1000755809016634,0.6471043685521051,0.1000755809016634,-0.5470287876504417,0.5470287876504417,0.15465137582919172,False,False,强相关明显减弱
000568,泸州老窖,食品饮料,601318,中国平安,非银金融,0.5530088388855998,0.0301289295659226,0.5530088388855998,0.0301289295659226,-0.5228799093196772,0.5228799093196772,0.05448182279805356,False,False,Pearson强相关基本消失
600036,招商银行,银行,601318,中国平安,非银金融,0.6469287094658354,0.1467231576121829,0.6469287094658354,0.1467231576121829,-0.5002055518536525,0.5002055518536525,0.2267995769322577,False,False,强相关明显减弱
000858,五粮液,食品饮料,600030,中信证券,非银金融,0.4889912386095909,0.0067731786848236,0.4889912386095909,0.0067731786848236,-0.4822180599247673,0.4822180599247673,0.013851329328686164,False,False,其他
600887,伊利股份,食品饮料,601318,中国平安,非银金融,0.5252841126029388,0.0445063435255463,0.5252841126029388,0.0445063435255463,-0.48077776907739256,0.48077776907739256,0.08472813560837418,False,False,Pearson强相关基本消失
000001,平安银行,银行,000568,泸州老窖,食品饮料,0.4956914074321167,0.0178909781759854,0.4956914074321167,0.0178909781759854,-0.4778004292561313,0.4778004292561313,0.03609297621007383,False,False,其他
600036,招商银行,银行,000858,五粮液,食品饮料,0.4875420311156137,-0.0131458314388094,0.4875420311156137,0.0131458314388094,-0.5006878625544231,0.47439619967680435,0.026963483350817094,True,False,其他
600519,贵州茅台,食品饮料,601318,中国平安,非银金融,0.5722052645510014,0.1158490467622926,0.5722052645510014,0.1158490467622926,-0.45635621778870883,0.45635621778870883,0.20246064470098357,False,False,强相关明显减弱
000001,平安银行,银行,600030,中信证券,非银金融,0.4530855836140314,0.0006533578157411,0.4530855836140314,0.0006533578157411,-0.4524322257982903,0.4524322257982903,0.001442018548746574,False,False,其他
600036,招商银行,银行,600887,伊利股份,食品饮料,0.4506308329351631,0.0060569207697651,0.4506308329351631,0.0060569207697651,-0.444573912165398,0.444573912165398,0.013440981679645901,False,False,其他
600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,0.6470191197426761,0.2048254770260849,0.6470191197426761,0.2048254770260849,-0.44219364271659123,0.44219364271659123,0.31656788922643486,False,False,强相关仍部分保留
000568,泸州老窖,食品饮料,600030,中信证券,非银金融,0.4741991186261172,0.0346891361300038,0.4741991186261172,0.0346891361300038,-0.4395099824961134,0.4395099824961134,0.07315310123415579,False,False,其他
600036,招商银行,银行,601288,农业银行,银行,0.4485891796981619,-0.0112885775197259,0.4485891796981619,0.0112885775197259,-0.4598777572178878,0.437300602178436,0.02516462284561019,True,False,其他
600036,招商银行,银行,000568,泸州老窖,食品饮料,0.4531592350260585,0.0183988167521748,0.4531592350260585,0.0183988167521748,-0.4347604182738837,0.4347604182738837,0.04060121769584326,False,False,其他
600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,0.829262248901718,0.3996769422222184,0.829262248901718,0.3996769422222184,-0.42958530667949957,0.42958530667949957,0.4819668841208604,False,False,强相关仍部分保留
