stock_1,name_1,industry_1,stock_2,name_2,industry_2,pearson,partial,edge_status,same_industry
000001,平安银行,银行,000858,五粮液,食品饮料,0.5398930484379859,,Pearson only,False
000001,平安银行,银行,600036,招商银行,银行,0.776685302435272,0.4857991994186942,Both,True
000001,平安银行,银行,601318,中国平安,非银金融,0.7108717821247009,0.3068538321021976,Both,False
000568,泸州老窖,食品饮料,000858,五粮液,食品饮料,0.8757013491334861,0.5863163764238997,Both,True
000568,泸州老窖,食品饮料,600519,贵州茅台,食品饮料,0.7905470194400602,0.2113950042075789,Both,True
000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,0.6148118465356324,,Pearson only,True
000568,泸州老窖,食品饮料,601318,中国平安,非银金融,0.5530088388855992,,Pearson only,False
000858,五粮液,食品饮料,600519,贵州茅台,食品饮料,0.8292622489017185,0.3996769422222184,Both,True
000858,五粮液,食品饮料,600887,伊利股份,食品饮料,0.6471043685521058,,Pearson only,True
000858,五粮液,食品饮料,601318,中国平安,非银金融,0.5795844984972813,,Pearson only,False
002475,立讯精密,电子,603501,韦尔股份,电子,,0.2864220299177501,Partial only,True
600030,中信证券,非银金融,601318,中国平安,非银金融,0.6162282050965275,0.3319269735708819,Both,True
600036,招商银行,银行,601318,中国平安,非银金融,0.6469287094658355,,Pearson only,False
600036,招商银行,银行,601398,工商银行,银行,0.5303492238168537,,Pearson only,True
600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,0.6470191197426762,0.2048254770260849,Both,True
600519,贵州茅台,食品饮料,601318,中国平安,非银金融,0.5722052645510013,,Pearson only,False
600887,伊利股份,食品饮料,601318,中国平安,非银金融,0.5252841126029394,,Pearson only,False
601288,农业银行,银行,601398,工商银行,银行,0.8543761153835311,0.7812533953479511,Both,True
