code,name,industry,pearson_degree,pearson_strength,pearson_betweenness,pearson_closeness,partial_degree,partial_strength,partial_betweenness,partial_closeness,degree_change,strength_change,betweenness_change
000001,平安银行,银行,3,2.027450132997959,0.016483516483516484,0.3616071428571429,2,0.7926530315208917,0.02197802197802198,0.1607142857142857,-1,-1.2347971014770671,0.005494505494505496
000568,泸州老窖,食品饮料,4,2.834069053994778,0.0,0.3403361344537815,2,0.7977113806314786,0.0,0.1607142857142857,-2,-2.036357673363299,0.0
000725,京东方A,电子,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
000858,五粮液,食品饮料,5,3.4715455135225777,0.016483516483516484,0.3616071428571429,2,0.985993318646118,0.0,0.1607142857142857,-3,-2.4855521948764596,-0.016483516483516484
002415,海康威视,电子,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
002460,赣锋锂业,新能源,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
002475,立讯精密,电子,0,0.0,0.0,0.0,1,0.2864220299177501,0.0,0.07142857142857142,1,0.2864220299177501,0.0
600030,中信证券,非银金融,1,0.6162282050965275,0.0,0.2892857142857143,1,0.3319269735708819,0.0,0.10714285714285714,0,-0.2843012315256456,0.0
600036,招商银行,银行,3,1.953963235717961,0.15384615384615385,0.38571428571428573,1,0.4857991994186942,0.0,0.10714285714285714,-2,-1.468164036299267,-0.15384615384615385
600519,贵州茅台,食品饮料,4,2.8390336526354565,0.0,0.3403361344537815,3,0.8158974234558822,0.02197802197802198,0.21428571428571427,-1,-2.023136229179574,0.02197802197802198
600887,伊利股份,食品饮料,4,2.434219447433354,0.0,0.3403361344537815,1,0.2048254770260849,0.0,0.12857142857142856,-3,-2.229393970407269,0.0
601288,农业银行,银行,1,0.8543761153835311,0.0,0.1995073891625616,1,0.7812533953479511,0.0,0.07142857142857142,0,-0.07312272003557996,0.0
601318,中国平安,非银金融,7,4.204111411223885,0.2197802197802198,0.4821428571428572,2,0.6387808056730795,0.02197802197802198,0.1607142857142857,-5,-3.565330605550806,-0.19780219780219782
601398,工商银行,银行,2,1.3847253392003847,0.08791208791208792,0.2755102040816327,1,0.7812533953479511,0.0,0.07142857142857142,-1,-0.6034719438524335,-0.08791208791208792
603501,韦尔股份,电子,0,0.0,0.0,0.0,1,0.2864220299177501,0.0,0.07142857142857142,1,0.2864220299177501,0.0
