stock_1,name_1,stock_2,name_2,edge_type
000001,平安银行,000568,泸州老窖,1SE-only
000001,平安银行,000725,京东方A,CV-only
000001,平安银行,000858,五粮液,Common
000001,平安银行,002415,海康威视,CV-only
000001,平安银行,002460,赣锋锂业,CV-only
000001,平安银行,600030,中信证券,Common
000001,平安银行,600036,招商银行,Common
000001,平安银行,600887,伊利股份,Common
000001,平安银行,601288,农业银行,Common
000001,平安银行,601318,中国平安,Common
000001,平安银行,601398,工商银行,Common
000568,泸州老窖,000858,五粮液,Common
000568,泸州老窖,002415,海康威视,Common
000568,泸州老窖,002460,赣锋锂业,1SE-only
000568,泸州老窖,600030,中信证券,Common
000568,泸州老窖,600036,招商银行,CV-only
000568,泸州老窖,600519,贵州茅台,Common
000568,泸州老窖,600887,伊利股份,Common
000568,泸州老窖,601288,农业银行,CV-only
000568,泸州老窖,601318,中国平安,Common
000568,泸州老窖,601398,工商银行,CV-only
000725,京东方A,002415,海康威视,Common
000725,京东方A,002460,赣锋锂业,Common
000725,京东方A,002475,立讯精密,Common
000725,京东方A,600030,中信证券,Common
000725,京东方A,600519,贵州茅台,CV-only
000725,京东方A,601318,中国平安,CV-only
000725,京东方A,601398,工商银行,CV-only
000725,京东方A,603501,韦尔股份,Common
000858,五粮液,002415,海康威视,Common
000858,五粮液,002460,赣锋锂业,Common
000858,五粮液,600030,中信证券,Common
000858,五粮液,600036,招商银行,Common
000858,五粮液,600519,贵州茅台,Common
000858,五粮液,600887,伊利股份,Common
000858,五粮液,601288,农业银行,CV-only
000858,五粮液,601318,中国平安,Common
002415,海康威视,002460,赣锋锂业,Common
002415,海康威视,002475,立讯精密,Common
002415,海康威视,600030,中信证券,Common
002415,海康威视,600887,伊利股份,CV-only
002415,海康威视,601288,农业银行,CV-only
002415,海康威视,601318,中国平安,Common
002415,海康威视,603501,韦尔股份,Common
002460,赣锋锂业,002475,立讯精密,Common
002460,赣锋锂业,600030,中信证券,Common
002460,赣锋锂业,600887,伊利股份,CV-only
002460,赣锋锂业,601288,农业银行,CV-only
002460,赣锋锂业,601318,中国平安,CV-only
002460,赣锋锂业,601398,工商银行,CV-only
002460,赣锋锂业,603501,韦尔股份,Common
002475,立讯精密,600030,中信证券,Common
002475,立讯精密,601288,农业银行,CV-only
002475,立讯精密,601398,工商银行,CV-only
002475,立讯精密,603501,韦尔股份,Common
600030,中信证券,600519,贵州茅台,Common
600030,中信证券,600887,伊利股份,Common
600030,中信证券,601318,中国平安,Common
600030,中信证券,603501,韦尔股份,Common
600036,招商银行,600519,贵州茅台,Common
600036,招商银行,600887,伊利股份,Common
600036,招商银行,601288,农业银行,Common
600036,招商银行,601318,中国平安,Common
600036,招商银行,601398,工商银行,Common
600519,贵州茅台,600887,伊利股份,Common
600519,贵州茅台,601318,中国平安,Common
600887,伊利股份,601318,中国平安,Common
601288,农业银行,601318,中国平安,CV-only
601288,农业银行,601398,工商银行,Common
601288,农业银行,603501,韦尔股份,CV-only
601398,工商银行,603501,韦尔股份,CV-only
