stock_1,name_1,industry_1,stock_2,name_2,industry_2,precision,partial_correlation,abs_partial_correlation,sign
601398,工商银行,银行,601288,农业银行,银行,-1.0556696365495306,0.6091467785694997,0.6091467785694997,positive
000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,-0.8837015679154852,0.42732314140139854,0.42732314140139854,positive
000001,平安银行,银行,600036,招商银行,银行,-0.6511662287093621,0.3934889799654335,0.3934889799654335,positive
600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,-0.62690256877567,0.3125447449771941,0.3125447449771941,positive
000001,平安银行,银行,601318,中国平安,非银金融,-0.4426986757861518,0.265847234663409,0.265847234663409,positive
601318,中国平安,非银金融,600030,中信证券,非银金融,-0.37974443109883976,0.2598125065439329,0.2598125065439329,positive
600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,-0.4641182098933941,0.24342929688467727,0.24342929688467727,positive
603501,韦尔股份,电子,002475,立讯精密,电子,-0.2509621321711179,0.21849116503807528,0.21849116503807528,positive
600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,-0.26934218267595955,0.17021871202375685,0.17021871202375685,positive
600036,招商银行,银行,601318,中国平安,非银金融,-0.2702410335292084,0.16638579555321253,0.16638579555321253,positive
600036,招商银行,银行,601398,工商银行,银行,-0.2520405253747181,0.1487281506662537,0.1487281506662537,positive
002415,海康威视,电子,603501,韦尔股份,电子,-0.16754312159401427,0.14351458962305338,0.14351458962305338,positive
000725,京东方A,电子,603501,韦尔股份,电子,-0.16192219473306568,0.14297566529293018,0.14297566529293018,positive
000858,五粮液,食品饮料,600887,伊利股份,食品饮料,-0.22102537650410858,0.12878094704959459,0.12878094704959459,positive
603501,韦尔股份,电子,600030,中信证券,非银金融,-0.15292922983232138,0.12306634766014095,0.12306634766014095,positive
002415,海康威视,电子,000725,京东方A,电子,-0.12536795580072305,0.11202197451540982,0.11202197451540982,positive
002460,赣锋锂业,新能源,600030,中信证券,非银金融,-0.1288385874734046,0.10930540773551456,0.10930540773551456,positive
002415,海康威视,电子,002475,立讯精密,电子,-0.11943992380329263,0.10522916811613885,0.10522916811613885,positive
002415,海康威视,电子,600030,中信证券,非银金融,-0.12431866611136469,0.10123858971664686,0.10123858971664686,positive
000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,-0.1503383591438926,0.0921534005489945,0.0921534005489945,positive
000725,京东方A,电子,002475,立讯精密,电子,-0.08841549359534816,0.08029736407332326,0.08029736407332326,positive
002460,赣锋锂业,新能源,002415,海康威视,电子,-0.088839529693461,0.08022737542171536,0.08022737542171536,positive
600519,贵州茅台,食品饮料,601318,中国平安,非银金融,-0.1366659977224134,0.07861173174834107,0.07861173174834107,positive
002460,赣锋锂业,新能源,002475,立讯精密,电子,-0.07772826791434281,0.07134303133041404,0.07134303133041404,positive
