stock_1,name_1,industry_1,stock_2,name_2,industry_2,precision,partial_correlation,abs_partial_correlation,sign
601398,工商银行,银行,601288,农业银行,银行,-2.494989690889041,0.756057788295845,0.756057788295845,positive
000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,-2.3478572359407135,0.5605139570284464,0.5605139570284464,positive
000001,平安银行,银行,600036,招商银行,银行,-1.279106251837661,0.46384818019303625,0.46384818019303625,positive
600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,-1.4126352673887659,0.36719717148458125,0.36719717148458125,positive
601318,中国平安,非银金融,600030,中信证券,非银金融,-0.698831427183898,0.3190695189846075,0.3190695189846075,positive
000001,平安银行,银行,601318,中国平安,非银金融,-0.8169957113117727,0.29946960717541093,0.29946960717541093,positive
603501,韦尔股份,电子,002475,立讯精密,电子,-0.41394710423525094,0.27834723531628236,0.27834723531628236,positive
600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,-0.7878876396794352,0.22537479634365631,0.22537479634365631,positive
600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,-0.4703036393163531,0.19327446477619065,0.19327446477619065,positive
600036,招商银行,银行,601398,工商银行,银行,-0.5784733727933716,0.19102062179956603,0.19102062179956603,positive
000725,京东方A,电子,603501,韦尔股份,电子,-0.2723503328226107,0.18761465206376965,0.18761465206376965,positive
002415,海康威视,电子,603501,韦尔股份,电子,-0.27680683609239465,0.17925830285066327,0.17925830285066327,positive
603501,韦尔股份,电子,600030,中信证券,非银金融,-0.30188673884596734,0.1760980229505473,0.1760980229505473,positive
600036,招商银行,银行,601318,中国平安,非银金融,-0.4218980063125319,0.16147344382828124,0.16147344382828124,positive
002415,海康威视,电子,000725,京东方A,电子,-0.22064991384939325,0.1558807869724656,0.1558807869724656,positive
002415,海康威视,电子,002475,立讯精密,电子,-0.20808856969234502,0.14349615815231617,0.14349615815231617,positive
002460,赣锋锂业,新能源,600030,中信证券,非银金融,-0.19881286060644654,0.12657579971033467,0.12657579971033467,positive
000725,京东方A,电子,002475,立讯精密,电子,-0.16831027302951515,0.12346363127481294,0.12346363127481294,positive
002460,赣锋锂业,新能源,002475,立讯精密,电子,-0.16086257615941546,0.1180572993649799,0.1180572993649799,positive
000858,五粮液,食品饮料,600887,伊利股份,食品饮料,-0.34320482170924205,0.11771266877811506,0.11771266877811506,positive
002460,赣锋锂业,新能源,002415,海康威视,电子,-0.14083141760431506,0.09954003324272734,0.09954003324272734,positive
002460,赣锋锂业,新能源,000725,京东方A,电子,-0.12646680447966413,0.09508481121848783,0.09508481121848783,positive
002415,海康威视,电子,600030,中信证券,非银金融,-0.1480573077214014,0.08857074091208132,0.08857074091208132,positive
601398,工商银行,银行,002460,赣锋锂业,新能源,0.1846615392993294,-0.08594693407577456,0.08594693407577456,negative
000001,平安银行,银行,601398,工商银行,银行,-0.25097944659268956,0.07937328964456133,0.07937328964456133,positive
000725,京东方A,电子,600030,中信证券,非银金融,-0.12336423529365877,0.07850296746824255,0.07850296746824255,positive
600519,贵州茅台,食品饮料,601318,中国平安,非银金融,-0.2136407581670529,0.07415844193518557,0.07415844193518557,positive
600887,伊利股份,食品饮料,600030,中信证券,非银金融,-0.13352101911652076,0.07217423383279647,0.07217423383279647,positive
002415,海康威视,电子,601318,中国平安,非银金融,-0.1369915600566335,0.06943824348802542,0.06943824348802542,positive
000001,平安银行,银行,000858,五粮液,食品饮料,-0.24968995716881867,0.06853727725712964,0.06853727725712964,positive
601288,农业银行,银行,603501,韦尔股份,电子,0.15202007119924243,-0.0682152499914039,0.0682152499914039,negative
000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,-0.17968030944655,0.06781754896004648,0.06781754896004648,positive
000001,平安银行,银行,600887,伊利股份,食品饮料,-0.15560906018464818,0.06752856322643881,0.06752856322643881,positive
600036,招商银行,银行,600519,贵州茅台,食品饮料,-0.1939882861460084,0.06661748789152225,0.06661748789152225,positive
600887,伊利股份,食品饮料,601318,中国平安,非银金融,-0.12442290218320776,0.05698720487793352,0.05698720487793352,positive
000858,五粮液,食品饮料,002460,赣锋锂业,新能源,-0.13013865243178258,0.052571430282099076,0.052571430282099076,positive
000858,五粮液,食品饮料,002415,海康威视,电子,-0.1298556113524286,0.04928995624403226,0.04928995624403226,positive
000568,泸州老窖,食品饮料,600030,中信证券,非银金融,-0.11818787282754341,0.044468284966684216,0.044468284966684216,positive
000001,平安银行,银行,002460,赣锋锂业,新能源,-0.07837077142395973,0.040057183820628534,0.040057183820628534,positive
000568,泸州老窖,食品饮料,601318,中国平安,非银金融,-0.11751671485460499,0.037464642387382244,0.037464642387382244,positive
600519,贵州茅台,食品饮料,000725,京东方A,电子,0.07557827198631716,-0.03656430784757264,0.03656430784757264,negative
600887,伊利股份,食品饮料,002460,赣锋锂业,新能源,-0.05611055615377889,0.035835619608442885,0.035835619608442885,positive
002460,赣锋锂业,新能源,603501,韦尔股份,电子,-0.04478012220131105,0.03086267172454987,0.03086267172454987,positive
002475,立讯精密,电子,600030,中信证券,非银金融,-0.048402425668406156,0.030065411382607803,0.030065411382607803,positive
600036,招商银行,银行,600887,伊利股份,食品饮料,-0.06599575073926346,0.02990399847555012,0.02990399847555012,positive
