stock_1,name_1,industry_1,stock_2,name_2,industry_2,selected_count,selection_frequency,mean_partial_when_selected,sd_partial_when_selected,positive_fraction_when_selected,negative_fraction_when_selected,sign_consistency,dominant_sign,baseline_1se_selected,baseline_1se_partial,stability_class,same_industry
000001,平安银行,银行,600036,招商银行,银行,200,1.0,0.38857545254997916,0.022986052201394158,1.0,0.0,1.0,positive,True,0.3934889799654335,core_stable,True
000001,平安银行,银行,601318,中国平安,非银金融,200,1.0,0.25291853874559483,0.03245634528259094,1.0,0.0,1.0,positive,True,0.265847234663409,core_stable,False
600036,招商银行,银行,601398,工商银行,银行,200,1.0,0.1463569678191057,0.024411305334334762,1.0,0.0,1.0,positive,True,0.1487281506662537,core_stable,True
600036,招商银行,银行,601318,中国平安,非银金融,200,1.0,0.1624687700660405,0.04915904668035047,1.0,0.0,1.0,positive,True,0.1663857955532125,core_stable,False
601398,工商银行,银行,601288,农业银行,银行,200,1.0,0.6073050479308524,0.023588981936346804,1.0,0.0,1.0,positive,True,0.6091467785694997,core_stable,True
600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,200,1.0,0.30756779053925487,0.01841550397655452,1.0,0.0,1.0,positive,True,0.3125447449771941,core_stable,True
600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,200,1.0,0.2397127043032504,0.02046730225559323,1.0,0.0,1.0,positive,True,0.2434292968846772,core_stable,True
600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,200,1.0,0.15561352823633767,0.03785036694924013,1.0,0.0,1.0,positive,True,0.1702187120237568,core_stable,True
600519,贵州茅台,食品饮料,601318,中国平安,非银金融,200,1.0,0.07906586604802818,0.022607472479898225,1.0,0.0,1.0,positive,True,0.078611731748341,core_stable,False
000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,200,1.0,0.4296015867533653,0.024239879236561422,1.0,0.0,1.0,positive,True,0.4273231414013985,core_stable,True
000858,五粮液,食品饮料,600887,伊利股份,食品饮料,200,1.0,0.12848775924496564,0.03329583424802143,1.0,0.0,1.0,positive,True,0.1287809470495945,core_stable,True
000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,200,1.0,0.08828130521115486,0.022175627848557568,1.0,0.0,1.0,positive,True,0.0921534005489945,core_stable,True
600887,伊利股份,食品饮料,601318,中国平安,非银金融,200,1.0,0.07161206730504563,0.027137403896570936,1.0,0.0,1.0,positive,True,0.0647342375584158,core_stable,False
002460,赣锋锂业,新能源,600030,中信证券,非银金融,200,1.0,0.09827385660196414,0.029138484789188908,1.0,0.0,1.0,positive,True,0.1093054077355145,core_stable,False
002415,海康威视,电子,603501,韦尔股份,电子,200,1.0,0.1426220197278985,0.03093565477326358,1.0,0.0,1.0,positive,True,0.1435145896230533,core_stable,True
002415,海康威视,电子,002475,立讯精密,电子,200,1.0,0.10140454247689253,0.036066393611990315,1.0,0.0,1.0,positive,True,0.1052291681161388,core_stable,True
002415,海康威视,电子,600030,中信证券,非银金融,200,1.0,0.09686374453214855,0.029035173095719576,1.0,0.0,1.0,positive,True,0.1012385897166468,core_stable,False
000725,京东方A,电子,603501,韦尔股份,电子,200,1.0,0.14307864893799332,0.027938430949142508,1.0,0.0,1.0,positive,True,0.1429756652929301,core_stable,True
603501,韦尔股份,电子,002475,立讯精密,电子,200,1.0,0.2230528357537626,0.02394555188084544,1.0,0.0,1.0,positive,True,0.2184911650380752,core_stable,True
603501,韦尔股份,电子,600030,中信证券,非银金融,200,1.0,0.11573348101598613,0.03732333241829881,1.0,0.0,1.0,positive,True,0.1230663476601409,core_stable,False
601318,中国平安,非银金融,600030,中信证券,非银金融,200,1.0,0.2574921105079081,0.04343909152834815,1.0,0.0,1.0,positive,True,0.2598125065439329,core_stable,True
000001,平安银行,银行,601398,工商银行,银行,199,0.995,0.060779780053729984,0.01968880818166387,1.0,0.0,1.0,positive,True,0.0627891824765439,core_stable,True
000001,平安银行,银行,000858,五粮液,食品饮料,199,0.995,0.05808664436171632,0.020978275934851343,1.0,0.0,1.0,positive,True,0.069855532352943,core_stable,False
000001,平安银行,银行,600887,伊利股份,食品饮料,199,0.995,0.07466972664835572,0.030847445802532035,1.0,0.0,1.0,positive,True,0.0663728686382652,core_stable,False
600036,招商银行,银行,600519,贵州茅台,食品饮料,199,0.995,0.06065474306126267,0.019558366230402215,1.0,0.0,1.0,positive,True,0.0639817906832881,core_stable,False
002415,海康威视,电子,000725,京东方A,电子,199,0.995,0.11694169076983467,0.044207907289966424,1.0,0.0,1.0,positive,True,0.1120219745154098,core_stable,True
000858,五粮液,食品饮料,601318,中国平安,非银金融,197,0.985,0.047708133375753595,0.018973120776806386,1.0,0.0,1.0,positive,True,0.0438152244916,core_stable,False
002460,赣锋锂业,新能源,002415,海康威视,电子,195,0.975,0.08216132204450548,0.03849183904447552,1.0,0.0,1.0,positive,True,0.0802273754217153,core_stable,False
000858,五粮液,食品饮料,600030,中信证券,非银金融,194,0.97,0.04159919945087896,0.02078953656662724,1.0,0.0,1.0,positive,True,0.0409203927349286,core_stable,False
000568,泸州老窖,食品饮料,601318,中国平安,非银金融,194,0.97,0.04661361859507798,0.025078071421908914,1.0,0.0,1.0,positive,True,0.0461691153093369,core_stable,False
000568,泸州老窖,食品饮料,600030,中信证券,非银金融,190,0.95,0.04376545561782446,0.02198167058593419,1.0,0.0,1.0,positive,True,0.0462706441296713,core_stable,False
600887,伊利股份,食品饮料,600030,中信证券,非银金融,190,0.95,0.05453442396072268,0.03097300199614134,1.0,0.0,1.0,positive,True,0.0589904952897655,core_stable,False
000725,京东方A,电子,002475,立讯精密,电子,189,0.945,0.08684904705681226,0.0469617145838061,1.0,0.0,1.0,positive,True,0.0802973640733232,core_stable,True
000858,五粮液,食品饮料,002415,海康威视,电子,187,0.935,0.03918618207348572,0.020812534086876527,1.0,0.0,1.0,positive,True,0.0429722115902544,core_stable,False
600036,招商银行,银行,601288,农业银行,银行,186,0.93,0.029494091130585817,0.018429840061443565,1.0,0.0,1.0,positive,True,0.0295835964574941,core_stable,True
002460,赣锋锂业,新能源,002475,立讯精密,电子,185,0.925,0.05798329469735124,0.02920359048103949,1.0,0.0,1.0,positive,True,0.071343031330414,core_stable,False
002460,赣锋锂业,新能源,603501,韦尔股份,电子,183,0.915,0.04529493802005335,0.02536897944446826,1.0,0.0,1.0,positive,True,0.0343799395076097,core_stable,False
002415,海康威视,电子,601318,中国平安,非银金融,183,0.915,0.06097554092403393,0.029904135353534728,1.0,0.0,1.0,positive,True,0.051259851183034,core_stable,False
000725,京东方A,电子,600030,中信证券,非银金融,183,0.915,0.062126500404327226,0.03944847504238905,1.0,0.0,1.0,positive,True,0.0518343812333643,core_stable,False
000858,五粮液,食品饮料,002460,赣锋锂业,新能源,167,0.835,0.03305677723027373,0.01887592123240871,1.0,0.0,1.0,positive,True,0.0403598469911016,stable,False
002460,赣锋锂业,新能源,000725,京东方A,电子,165,0.825,0.05329300795833578,0.034101766677991696,1.0,0.0,1.0,positive,True,0.0479596355409915,stable,False
