stock_1,stock_2,frequency_L10,mean_partial_L10,sign_consistency_L10,frequency_L20,mean_partial_L20,sign_consistency_L20,frequency_L40,mean_partial_L40,sign_consistency_L40,min_frequency,mean_frequency,max_frequency,frequency_range,stable_all_block_lengths,core_all_block_lengths
000001,600036,1.0,0.38997949452926833,1.0,1.0,0.39321813254714244,1.0,1.0,0.3909577800818314,1.0,1.0,1.0,1.0,0.0,True,True
000001,601318,1.0,0.2554806745931065,1.0,1.0,0.25458198909542573,1.0,1.0,0.2507280933072638,1.0,1.0,1.0,1.0,0.0,True,True
000568,600887,1.0,0.09201668939180488,1.0,1.0,0.0876679983736934,1.0,1.0,0.09115703024347771,1.0,1.0,1.0,1.0,0.0,True,True
000725,603501,1.0,0.13715810581902008,1.0,1.0,0.144362433283878,1.0,1.0,0.14099386500567326,1.0,1.0,1.0,1.0,0.0,True,True
000858,000568,1.0,0.42763624643076914,1.0,1.0,0.42615745636704694,1.0,1.0,0.4271823367247686,1.0,1.0,1.0,1.0,0.0,True,True
000858,600887,1.0,0.12484743878915573,1.0,1.0,0.1331272150318374,1.0,1.0,0.13311481942457648,1.0,1.0,1.0,1.0,0.0,True,True
002415,600030,1.0,0.09878228907545897,1.0,1.0,0.09601781472335048,1.0,1.0,0.08982011604946882,1.0,1.0,1.0,1.0,0.0,True,True
002415,603501,1.0,0.14661386407652985,1.0,1.0,0.1422636766775451,1.0,1.0,0.13780277015252512,1.0,1.0,1.0,1.0,0.0,True,True
002460,600030,1.0,0.1017893615428877,1.0,1.0,0.09820344355134976,1.0,1.0,0.09370361931115978,1.0,1.0,1.0,1.0,0.0,True,True
600036,601398,1.0,0.14785628501362807,1.0,1.0,0.15036446695247838,1.0,1.0,0.14585368843043553,1.0,1.0,1.0,1.0,0.0,True,True
600519,000568,1.0,0.24184998183262948,1.0,1.0,0.24164030776639453,1.0,1.0,0.242322150969326,1.0,1.0,1.0,1.0,0.0,True,True
600519,000858,1.0,0.30864754752615076,1.0,1.0,0.30885980241627126,1.0,1.0,0.3080336543607238,1.0,1.0,1.0,1.0,0.0,True,True
600519,600887,1.0,0.16359388929401442,1.0,1.0,0.1606457433709464,1.0,1.0,0.15443039902046407,1.0,1.0,1.0,1.0,0.0,True,True
601318,600030,1.0,0.2546868146550592,1.0,1.0,0.2586933623901077,1.0,1.0,0.25468371433049714,1.0,1.0,1.0,1.0,0.0,True,True
601398,601288,1.0,0.6060931180875598,1.0,1.0,0.6061042752394126,1.0,1.0,0.606394952372751,1.0,1.0,1.0,1.0,0.0,True,True
603501,002475,1.0,0.21932751244467036,1.0,1.0,0.22339218401072053,1.0,1.0,0.22593934372238786,1.0,1.0,1.0,1.0,0.0,True,True
603501,600030,1.0,0.11845230931735626,1.0,1.0,0.11886673869878955,1.0,1.0,0.11451758943332564,1.0,1.0,1.0,1.0,0.0,True,True
000001,601398,0.995,0.06172363986609743,1.0,1.0,0.05965537084572363,1.0,1.0,0.06167403132845353,1.0,0.995,0.9983333333333334,1.0,0.0050000000000000044,True,True
000858,601318,1.0,0.04540789733665221,1.0,1.0,0.0476387221483517,1.0,0.995,0.04648617234044389,1.0,0.995,0.9983333333333334,1.0,0.0050000000000000044,True,True
002415,002475,1.0,0.10488112403375822,1.0,0.995,0.10140546848334017,1.0,1.0,0.0989944424549503,1.0,0.995,0.9983333333333334,1.0,0.0050000000000000044,True,True
600036,600519,0.995,0.058981503881433764,1.0,1.0,0.059262797688903045,1.0,1.0,0.058950400669229325,1.0,0.995,0.9983333333333334,1.0,0.0050000000000000044,True,True
