window_from,window_to,stock_1,name_1,stock_2,name_2,change
22,23,000568,泸州老窖,000725,京东方A,lost
22,23,000568,泸州老窖,002460,赣锋锂业,lost
22,23,000568,泸州老窖,600036,招商银行,lost
22,23,000568,泸州老窖,601318,中国平安,lost
22,23,000725,京东方A,600519,贵州茅台,lost
22,23,000725,京东方A,600887,伊利股份,lost
22,23,002415,海康威视,002475,立讯精密,lost
22,23,002415,海康威视,600519,贵州茅台,lost
22,23,002475,立讯精密,601318,中国平安,lost
22,23,601288,农业银行,603501,韦尔股份,lost
23,26,000001,平安银行,000725,京东方A,lost
23,26,000725,京东方A,000858,五粮液,lost
23,26,000858,五粮液,002415,海康威视,lost
23,26,000858,五粮液,002460,赣锋锂业,lost
23,26,002415,海康威视,601318,中国平安,lost
23,26,002460,赣锋锂业,603501,韦尔股份,lost
23,26,002475,立讯精密,600030,中信证券,gained
23,26,600030,中信证券,600887,伊利股份,gained
