window_from,window_to,date_from,date_to,stock_1,name_1,industry_1,stock_2,name_2,industry_2,change_type
1,2,2024-01-16,2024-02-21,000001,平安银行,银行,600519,贵州茅台,食品饮料,lost
1,2,2024-01-16,2024-02-21,000568,泸州老窖,食品饮料,002415,海康威视,电子,lost
1,2,2024-01-16,2024-02-21,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,lost
1,2,2024-01-16,2024-02-21,002475,立讯精密,电子,600887,伊利股份,食品饮料,lost
1,2,2024-01-16,2024-02-21,600887,伊利股份,食品饮料,603501,韦尔股份,电子,lost
1,2,2024-01-16,2024-02-21,601288,农业银行,银行,601318,中国平安,非银金融,lost
1,2,2024-01-16,2024-02-21,000001,平安银行,银行,000568,泸州老窖,食品饮料,gained
1,2,2024-01-16,2024-02-21,000725,京东方A,电子,000858,五粮液,食品饮料,gained
1,2,2024-01-16,2024-02-21,000858,五粮液,食品饮料,002475,立讯精密,电子,gained
1,2,2024-01-16,2024-02-21,000858,五粮液,食品饮料,600030,中信证券,非银金融,gained
1,2,2024-01-16,2024-02-21,002415,海康威视,电子,002460,赣锋锂业,新能源,gained
2,3,2024-02-21,2024-03-20,000725,京东方A,电子,000858,五粮液,食品饮料,lost
2,3,2024-02-21,2024-03-20,000858,五粮液,食品饮料,600030,中信证券,非银金融,lost
2,3,2024-02-21,2024-03-20,002460,赣锋锂业,新能源,002475,立讯精密,电子,lost
2,3,2024-02-21,2024-03-20,002460,赣锋锂业,新能源,600036,招商银行,银行,lost
2,3,2024-02-21,2024-03-20,000001,平安银行,银行,002460,赣锋锂业,新能源,gained
2,3,2024-02-21,2024-03-20,000568,泸州老窖,食品饮料,002415,海康威视,电子,gained
2,3,2024-02-21,2024-03-20,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,gained
2,3,2024-02-21,2024-03-20,002460,赣锋锂业,新能源,603501,韦尔股份,电子,gained
2,3,2024-02-21,2024-03-20,601288,农业银行,银行,601318,中国平安,非银金融,gained
3,4,2024-03-20,2024-04-19,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,lost
3,4,2024-03-20,2024-04-19,600030,中信证券,非银金融,601398,工商银行,银行,lost
3,4,2024-03-20,2024-04-19,601288,农业银行,银行,601318,中国平安,非银金融,lost
3,4,2024-03-20,2024-04-19,000001,平安银行,银行,601288,农业银行,银行,gained
3,4,2024-03-20,2024-04-19,000725,京东方A,电子,000858,五粮液,食品饮料,gained
4,5,2024-04-19,2024-05-22,000001,平安银行,银行,601288,农业银行,银行,lost
4,5,2024-04-19,2024-05-22,600030,中信证券,非银金融,601288,农业银行,银行,lost
4,5,2024-04-19,2024-05-22,000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,gained
4,5,2024-04-19,2024-05-22,002415,海康威视,电子,600887,伊利股份,食品饮料,gained
4,5,2024-04-19,2024-05-22,002460,赣锋锂业,新能源,002475,立讯精密,电子,gained
4,5,2024-04-19,2024-05-22,002460,赣锋锂业,新能源,600036,招商银行,银行,gained
4,5,2024-04-19,2024-05-22,002475,立讯精密,电子,600030,中信证券,非银金融,gained
4,5,2024-04-19,2024-05-22,002475,立讯精密,电子,600519,贵州茅台,食品饮料,gained
5,6,2024-05-22,2024-06-20,000725,京东方A,电子,600030,中信证券,非银金融,lost
5,6,2024-05-22,2024-06-20,002415,海康威视,电子,600887,伊利股份,食品饮料,lost
5,6,2024-05-22,2024-06-20,002460,赣锋锂业,新能源,600036,招商银行,银行,lost
5,6,2024-05-22,2024-06-20,002460,赣锋锂业,新能源,601318,中国平安,非银金融,lost
5,6,2024-05-22,2024-06-20,002475,立讯精密,电子,600519,贵州茅台,食品饮料,lost
5,6,2024-05-22,2024-06-20,600887,伊利股份,食品饮料,601288,农业银行,银行,gained
6,7,2024-06-20,2024-07-18,600036,招商银行,银行,600887,伊利股份,食品饮料,lost
6,7,2024-06-20,2024-07-18,600887,伊利股份,食品饮料,601288,农业银行,银行,lost
6,7,2024-06-20,2024-07-18,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,gained
6,7,2024-06-20,2024-07-18,002415,海康威视,电子,600887,伊利股份,食品饮料,gained
7,8,2024-07-18,2024-08-15,000001,平安银行,银行,002460,赣锋锂业,新能源,lost
7,8,2024-07-18,2024-08-15,600030,中信证券,非银金融,600036,招商银行,银行,lost
7,8,2024-07-18,2024-08-15,600036,招商银行,银行,601288,农业银行,银行,lost
7,8,2024-07-18,2024-08-15,000725,京东方A,电子,600887,伊利股份,食品饮料,gained
7,8,2024-07-18,2024-08-15,002460,赣锋锂业,新能源,601288,农业银行,银行,gained
7,8,2024-07-18,2024-08-15,002460,赣锋锂业,新能源,601398,工商银行,银行,gained
7,8,2024-07-18,2024-08-15,600030,中信证券,非银金融,603501,韦尔股份,电子,gained
7,8,2024-07-18,2024-08-15,600887,伊利股份,食品饮料,603501,韦尔股份,电子,gained
8,9,2024-08-15,2024-09-12,000568,泸州老窖,食品饮料,002415,海康威视,电子,lost
8,9,2024-08-15,2024-09-12,000725,京东方A,电子,600887,伊利股份,食品饮料,lost
8,9,2024-08-15,2024-09-12,002460,赣锋锂业,新能源,002475,立讯精密,电子,lost
8,9,2024-08-15,2024-09-12,600887,伊利股份,食品饮料,601318,中国平安,非银金融,lost
8,9,2024-08-15,2024-09-12,600887,伊利股份,食品饮料,603501,韦尔股份,电子,lost
8,9,2024-08-15,2024-09-12,000001,平安银行,银行,000725,京东方A,电子,gained
8,9,2024-08-15,2024-09-12,000568,泸州老窖,食品饮料,603501,韦尔股份,电子,gained
8,9,2024-08-15,2024-09-12,000725,京东方A,电子,600030,中信证券,非银金融,gained
8,9,2024-08-15,2024-09-12,000858,五粮液,食品饮料,600030,中信证券,非银金融,gained
8,9,2024-08-15,2024-09-12,002460,赣锋锂业,新能源,600887,伊利股份,食品饮料,gained
8,9,2024-08-15,2024-09-12,601288,农业银行,银行,603501,韦尔股份,电子,gained
9,10,2024-09-12,2024-10-21,000001,平安银行,银行,600030,中信证券,非银金融,lost
9,10,2024-09-12,2024-10-21,000725,京东方A,电子,600030,中信证券,非银金融,lost
9,10,2024-09-12,2024-10-21,000858,五粮液,食品饮料,600036,招商银行,银行,lost
9,10,2024-09-12,2024-10-21,002460,赣锋锂业,新能源,601398,工商银行,银行,lost
9,10,2024-09-12,2024-10-21,002475,立讯精密,电子,600030,中信证券,非银金融,lost
9,10,2024-09-12,2024-10-21,000001,平安银行,银行,002460,赣锋锂业,新能源,gained
9,10,2024-09-12,2024-10-21,000568,泸州老窖,食品饮料,600036,招商银行,银行,gained
9,10,2024-09-12,2024-10-21,000725,京东方A,电子,600887,伊利股份,食品饮料,gained
9,10,2024-09-12,2024-10-21,002460,赣锋锂业,新能源,002475,立讯精密,电子,gained
9,10,2024-09-12,2024-10-21,002475,立讯精密,电子,600519,贵州茅台,食品饮料,gained
9,10,2024-09-12,2024-10-21,600887,伊利股份,食品饮料,601318,中国平安,非银金融,gained
10,11,2024-10-21,2024-11-18,000001,平安银行,银行,002460,赣锋锂业,新能源,lost
10,11,2024-10-21,2024-11-18,000568,泸州老窖,食品饮料,000725,京东方A,电子,gained
10,11,2024-10-21,2024-11-18,000725,京东方A,电子,600030,中信证券,非银金融,gained
11,12,2024-11-18,2024-12-16,000568,泸州老窖,食品饮料,600036,招商银行,银行,lost
11,12,2024-11-18,2024-12-16,601288,农业银行,银行,603501,韦尔股份,电子,lost
12,13,2024-12-16,2025-01-14,002475,立讯精密,电子,600519,贵州茅台,食品饮料,lost
12,13,2024-12-16,2025-01-14,000001,平安银行,银行,601288,农业银行,银行,gained
