window_id,window_start,window_end,network_date,valid,converged,n_iter,dual_gap,reason
1,2023-01-04,2024-01-16,2024-01-16,True,True,5,5.621574666925255e-05,
2,2023-02-08,2024-02-21,2024-02-21,True,True,4,8.826932855354741e-05,
3,2023-03-08,2024-03-20,2024-03-20,True,True,5,6.341968509859797e-05,
4,2023-04-06,2024-04-19,2024-04-19,True,True,5,6.56980037851973e-05,
5,2023-05-09,2024-05-22,2024-05-22,True,True,5,5.29970604219443e-05,
6,2023-06-06,2024-06-20,2024-06-20,True,True,5,3.912549627571593e-05,
7,2023-07-06,2024-07-18,2024-07-18,True,True,5,5.38014934368114e-05,
8,2023-08-03,2024-08-15,2024-08-15,True,True,5,7.05541163248391e-05,
9,2023-08-31,2024-09-12,2024-09-12,True,True,5,7.087351207113457e-05,
10,2023-09-28,2024-10-21,2024-10-21,True,True,5,4.0145681456493776e-05,
11,2023-11-03,2024-11-18,2024-11-18,True,True,5,1.5742463380874483e-05,
12,2023-12-01,2024-12-16,2024-12-16,True,True,5,4.3197672290773426e-05,
13,2023-12-29,2025-01-14,2025-01-14,True,True,6,7.334099972489128e-05,
14,2024-01-29,2025-02-19,2025-02-19,True,True,6,8.202994482431336e-05,
15,2024-03-05,2025-03-19,2025-03-19,True,True,6,7.940002746220642e-05,
16,2024-04-02,2025-04-17,2025-04-17,True,True,6,8.299122551846949e-05,
17,2024-05-07,2025-05-20,2025-05-20,True,True,6,8.629238115620552e-05,
18,2024-06-04,2025-06-18,2025-06-18,True,True,6,9.253091077709996e-05,
19,2024-07-03,2025-07-16,2025-07-16,True,True,7,3.246418921687422e-05,
20,2024-07-31,2025-08-13,2025-08-13,True,True,6,7.08126092172634e-05,
21,2024-08-28,2025-09-10,2025-09-10,True,True,6,7.79782393403039e-05,
22,2024-09-27,2025-10-16,2025-10-16,True,True,5,7.245592813731605e-06,
23,2024-11-01,2025-11-13,2025-11-13,True,True,4,-6.339966452451051e-05,
24,2024-11-29,2025-12-11,2025-12-11,True,True,4,-1.5892719984478276e-05,
25,2024-12-27,2026-01-12,2026-01-12,True,True,4,-5.885454495002662e-05,
26,2025-01-27,2026-02-09,2026-02-09,True,True,4,-5.6760224536045456e-05,
27,2025-03-04,2026-03-17,2026-03-17,True,True,5,-1.4608511401004165e-05,
28,2025-04-01,2026-04-15,2026-04-15,True,True,5,-1.8312287803912142e-05,
29,2025-04-30,2026-05-18,2026-05-18,True,True,4,-6.509238923912974e-05,
30,2025-06-03,2026-06-15,2026-06-15,True,True,4,-7.824292981339909e-05,
31,2025-07-01,2026-07-14,2026-07-14,True,True,5,-2.526921956036432e-05,
