stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,industry_relation,windows_selected,mean_partial_all_windows,mean_abs_partial_all_windows,total_windows,persistence,mean_partial_when_selected,mean_abs_partial_when_selected
000001,000568,平安银行,泸州老窖,银行,食品饮料,False,Cross industry,27,0.030862843682878113,0.030862843682878113,31,0.8709677419354839,0.03543511682108228,0.03543511682108228
000001,000725,平安银行,京东方A,银行,电子,False,Cross industry,16,0.03648262830361797,0.03648262830361797,31,0.5161290322580645,0.07068509233825981,0.07068509233825981
000001,000858,平安银行,五粮液,银行,食品饮料,False,Cross industry,30,0.0440378344589143,0.0440378344589143,31,0.967741935483871,0.04550576227421144,0.04550576227421144
000001,002415,平安银行,海康威视,银行,电子,False,Cross industry,0,0.0,0.0,31,0.0,,
000001,002460,平安银行,赣锋锂业,银行,新能源,False,Cross industry,6,0.0029272609311664904,0.0029272609311664904,31,0.1935483870967742,0.015124181477693533,0.015124181477693533
000001,002475,平安银行,立讯精密,银行,电子,False,Cross industry,1,0.00016126246867768064,0.00016126246867768064,31,0.03225806451612903,0.0049991365290081,0.0049991365290081
000001,600030,平安银行,中信证券,银行,非银金融,False,Cross industry,10,0.03253381787111242,0.03253381787111242,31,0.3225806451612903,0.10085483540044851,0.10085483540044851
000001,600036,平安银行,招商银行,银行,银行,True,Same industry,31,0.338945056719749,0.338945056719749,31,1.0,0.338945056719749,0.338945056719749
000001,600519,平安银行,贵州茅台,银行,食品饮料,False,Cross industry,2,0.0009565507799672064,0.0009565507799672064,31,0.06451612903225806,0.0148265370894917,0.0148265370894917
000001,600887,平安银行,伊利股份,银行,食品饮料,False,Cross industry,31,0.05286457544898218,0.05286457544898218,31,1.0,0.05286457544898218,0.05286457544898218
000001,601288,平安银行,农业银行,银行,银行,True,Same industry,20,0.02950423793795819,0.02950423793795819,31,0.6451612903225806,0.04573156880383519,0.04573156880383519
000001,601318,平安银行,中国平安,银行,非银金融,False,Cross industry,31,0.23802002501661845,0.23802002501661845,31,1.0,0.23802002501661845,0.23802002501661845
000001,601398,平安银行,工商银行,银行,银行,True,Same industry,31,0.05721163167269065,0.05721163167269065,31,1.0,0.05721163167269065,0.05721163167269065
000001,603501,平安银行,韦尔股份,银行,电子,False,Cross industry,0,0.0,0.0,31,0.0,,
000568,000725,泸州老窖,京东方A,食品饮料,电子,False,Cross industry,7,0.0013484091089257936,0.0013484091089257936,31,0.22580645161290322,0.005971526053814229,0.005971526053814229
000568,000858,泸州老窖,五粮液,食品饮料,食品饮料,True,Same industry,31,0.42002007614685716,0.42002007614685716,31,1.0,0.42002007614685716,0.42002007614685716
000568,002415,泸州老窖,海康威视,食品饮料,电子,False,Cross industry,14,0.0037174808406246454,0.0037174808406246454,31,0.45161290322580644,0.008231564718526001,0.008231564718526001
000568,002460,泸州老窖,赣锋锂业,食品饮料,新能源,False,Cross industry,18,0.0333766925244602,0.0333766925244602,31,0.5806451612903226,0.05748208156990367,0.05748208156990367
000568,002475,泸州老窖,立讯精密,食品饮料,电子,False,Cross industry,0,0.0,0.0,31,0.0,,
000568,600030,泸州老窖,中信证券,食品饮料,非银金融,False,Cross industry,26,0.03963342001381256,0.03963342001381256,31,0.8387096774193549,0.04725523155493035,0.04725523155493035
000568,600036,泸州老窖,招商银行,食品饮料,银行,False,Cross industry,3,0.0003975998510615064,0.0003975998510615064,31,0.0967741935483871,0.004108531794302233,0.004108531794302233
000568,600519,泸州老窖,贵州茅台,食品饮料,食品饮料,True,Same industry,31,0.23323515103888076,0.23323515103888076,31,1.0,0.23323515103888076,0.23323515103888076
000568,600887,泸州老窖,伊利股份,食品饮料,食品饮料,True,Same industry,31,0.08367575775262764,0.08367575775262764,31,1.0,0.08367575775262764,0.08367575775262764
000568,601288,泸州老窖,农业银行,食品饮料,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
000568,601318,泸州老窖,中国平安,食品饮料,非银金融,False,Cross industry,25,0.05379986985774593,0.05379986985774593,31,0.8064516129032258,0.06671183862360495,0.06671183862360495
000568,601398,泸州老窖,工商银行,食品饮料,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
000568,603501,泸州老窖,韦尔股份,食品饮料,电子,False,Cross industry,5,0.0027472529828706615,0.0027472529828706615,31,0.16129032258064516,0.017032968493798102,0.017032968493798102
000725,000858,京东方A,五粮液,电子,食品饮料,False,Cross industry,22,0.015283683307460829,0.015283683307460829,31,0.7096774193548387,0.02153609920596753,0.02153609920596753
000725,002415,京东方A,海康威视,电子,电子,True,Same industry,31,0.15758894571246296,0.15758894571246296,31,1.0,0.15758894571246296,0.15758894571246296
000725,002460,京东方A,赣锋锂业,电子,新能源,False,Cross industry,29,0.10004516012000451,0.10004516012000451,31,0.9354838709677419,0.10694482633517724,0.10694482633517724
000725,002475,京东方A,立讯精密,电子,电子,True,Same industry,30,0.1353927041839877,0.1353927041839877,31,0.967741935483871,0.13990579432345393,0.13990579432345393
000725,600030,京东方A,中信证券,电子,非银金融,False,Cross industry,25,0.08805523534210243,0.08805523534210243,31,0.8064516129032258,0.109188491824207,0.109188491824207
000725,600036,京东方A,招商银行,电子,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
000725,600519,京东方A,贵州茅台,电子,食品饮料,False,Cross industry,1,0.0002224526991620871,0.0002224526991620871,31,0.03225806451612903,0.0068960336740247,0.0068960336740247
000725,600887,京东方A,伊利股份,电子,食品饮料,False,Cross industry,14,0.009334652114601168,0.009334652114601168,31,0.45161290322580644,0.0206695868251883,0.0206695868251883
000725,601288,京东方A,农业银行,电子,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
000725,601318,京东方A,中国平安,电子,非银金融,False,Cross industry,27,0.03753493171049317,0.03753493171049317,31,0.8709677419354839,0.04309566233426994,0.04309566233426994
000725,601398,京东方A,工商银行,电子,银行,False,Cross industry,1,-0.00011787969707663548,0.00011787969707663548,31,0.03225806451612903,-0.0036542706093757,0.0036542706093757
000725,603501,京东方A,韦尔股份,电子,电子,True,Same industry,31,0.11168102279756562,0.11168102279756562,31,1.0,0.11168102279756562,0.11168102279756562
000858,002415,五粮液,海康威视,食品饮料,电子,False,Cross industry,28,0.028539835344206045,0.028539835344206045,31,0.9032258064516129,0.03159767484537098,0.03159767484537098
000858,002460,五粮液,赣锋锂业,食品饮料,新能源,False,Cross industry,25,0.038363819773769514,0.038363819773769514,31,0.8064516129032258,0.0475711365194742,0.0475711365194742
000858,002475,五粮液,立讯精密,食品饮料,电子,False,Cross industry,14,0.014184056583373987,0.014184056583373987,31,0.45161290322580644,0.03140755386318526,0.03140755386318526
000858,600030,五粮液,中信证券,食品饮料,非银金融,False,Cross industry,24,0.028230704779472496,0.028230704779472496,31,0.7741935483870968,0.03646466034015197,0.03646466034015197
000858,600036,五粮液,招商银行,食品饮料,银行,False,Cross industry,9,0.012476704146985778,0.012476704146985778,31,0.2903225806451613,0.04297531428406212,0.04297531428406212
000858,600519,五粮液,贵州茅台,食品饮料,食品饮料,True,Same industry,31,0.30669809162337425,0.30669809162337425,31,1.0,0.30669809162337425,0.30669809162337425
000858,600887,五粮液,伊利股份,食品饮料,食品饮料,True,Same industry,31,0.14451902710345227,0.14451902710345227,31,1.0,0.14451902710345227,0.14451902710345227
000858,601288,五粮液,农业银行,食品饮料,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
000858,601318,五粮液,中国平安,食品饮料,非银金融,False,Cross industry,31,0.06521810565355521,0.06521810565355521,31,1.0,0.06521810565355521,0.06521810565355521
000858,601398,五粮液,工商银行,食品饮料,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
000858,603501,五粮液,韦尔股份,食品饮料,电子,False,Cross industry,0,0.0,0.0,31,0.0,,
002415,002460,海康威视,赣锋锂业,电子,新能源,False,Cross industry,30,0.08091367914498859,0.08091367914498859,31,0.967741935483871,0.08361080178315489,0.08361080178315489
002415,002475,海康威视,立讯精密,电子,电子,True,Same industry,29,0.07237700363424722,0.07237700363424722,31,0.9354838709677419,0.07736852112626427,0.07736852112626427
002415,600030,海康威视,中信证券,电子,非银金融,False,Cross industry,31,0.08671714050062376,0.08671714050062376,31,1.0,0.08671714050062376,0.08671714050062376
002415,600036,海康威视,招商银行,电子,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
002415,600519,海康威视,贵州茅台,电子,食品饮料,False,Cross industry,9,0.011771286326050661,0.011771286326050661,31,0.2903225806451613,0.04054554178973005,0.04054554178973005
002415,600887,海康威视,伊利股份,电子,食品饮料,False,Cross industry,15,0.023682421662558507,0.023682421662558507,31,0.4838709677419355,0.048943671435954246,0.048943671435954246
002415,601288,海康威视,农业银行,电子,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
002415,601318,海康威视,中国平安,电子,非银金融,False,Cross industry,23,0.08948754048903734,0.08948754048903734,31,0.7419354838709677,0.1206136415287025,0.1206136415287025
002415,601398,海康威视,工商银行,电子,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
002415,603501,海康威视,韦尔股份,电子,电子,True,Same industry,31,0.14965042002080267,0.14965042002080267,31,1.0,0.14965042002080267,0.14965042002080267
002460,002475,赣锋锂业,立讯精密,新能源,电子,False,Cross industry,28,0.04161150951718828,0.04161150951718828,31,0.9032258064516129,0.046069885536887026,0.046069885536887026
002460,600030,赣锋锂业,中信证券,新能源,非银金融,False,Cross industry,31,0.08376510272717724,0.08376510272717724,31,1.0,0.08376510272717724,0.08376510272717724
002460,600036,赣锋锂业,招商银行,新能源,银行,False,Cross industry,3,0.0008797348073576839,0.0008797348073576839,31,0.0967741935483871,0.009090593009362734,0.009090593009362734
002460,600519,赣锋锂业,贵州茅台,新能源,食品饮料,False,Cross industry,3,0.0006158675797185774,0.0006158675797185774,31,0.0967741935483871,0.0063639649904253,0.0063639649904253
002460,600887,赣锋锂业,伊利股份,新能源,食品饮料,False,Cross industry,13,0.014046091890621741,0.014046091890621741,31,0.41935483870967744,0.033494526816098,0.033494526816098
002460,601288,赣锋锂业,农业银行,新能源,银行,False,Cross industry,11,-0.013010094698434506,0.013010094698434506,31,0.3548387096774194,-0.03666481233195179,0.03666481233195179
002460,601318,赣锋锂业,中国平安,新能源,非银金融,False,Cross industry,5,0.010285488099736806,0.010285488099736806,31,0.16129032258064516,0.0637700262183682,0.0637700262183682
002460,601398,赣锋锂业,工商银行,新能源,银行,False,Cross industry,4,-0.0026254361447395035,0.0026254361447395035,31,0.12903225806451613,-0.02034713012173115,0.02034713012173115
002460,603501,赣锋锂业,韦尔股份,新能源,电子,False,Cross industry,23,0.06184434866185904,0.06184434866185904,31,0.7419354838709677,0.08335542645728827,0.08335542645728827
002475,600030,立讯精密,中信证券,电子,非银金融,False,Cross industry,13,0.02216508969521746,0.02216508969521746,31,0.41935483870967744,0.05285521388859548,0.05285521388859548
002475,600036,立讯精密,招商银行,电子,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
002475,600519,立讯精密,贵州茅台,电子,食品饮料,False,Cross industry,4,0.0016344065293908323,0.0016344065293908323,31,0.12903225806451613,0.01266665060277895,0.01266665060277895
002475,600887,立讯精密,伊利股份,电子,食品饮料,False,Cross industry,1,0.0008039145353591936,0.0008039145353591936,31,0.03225806451612903,0.024921350596135,0.024921350596135
002475,601288,立讯精密,农业银行,电子,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
002475,601318,立讯精密,中国平安,电子,非银金融,False,Cross industry,10,0.005520440693840859,0.005520440693840859,31,0.3225806451612903,0.01711336615090666,0.01711336615090666
002475,601398,立讯精密,工商银行,电子,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
002475,603501,立讯精密,韦尔股份,电子,电子,True,Same industry,31,0.2186917020647194,0.2186917020647194,31,1.0,0.2186917020647194,0.2186917020647194
600030,600036,中信证券,招商银行,非银金融,银行,False,Cross industry,7,0.014901165698621167,0.014901165698621167,31,0.22580645161290322,0.06599087666532231,0.06599087666532231
600030,600519,中信证券,贵州茅台,非银金融,食品饮料,False,Cross industry,28,0.0236445245496929,0.0236445245496929,31,0.9032258064516129,0.026177866465731423,0.026177866465731423
600030,600887,中信证券,伊利股份,非银金融,食品饮料,False,Cross industry,25,0.03546667652246733,0.03546667652246733,31,0.8064516129032258,0.04397867888785949,0.04397867888785949
600030,601288,中信证券,农业银行,非银金融,银行,False,Cross industry,4,0.001938173535698058,0.001938173535698058,31,0.12903225806451613,0.01502084490165995,0.01502084490165995
600030,601318,中信证券,中国平安,非银金融,非银金融,True,Same industry,31,0.2145838458496602,0.2145838458496602,31,1.0,0.2145838458496602,0.2145838458496602
600030,601398,中信证券,工商银行,非银金融,银行,False,Cross industry,3,0.002418689277349158,0.002418689277349158,31,0.0967741935483871,0.024993122532607964,0.024993122532607964
600030,603501,中信证券,韦尔股份,非银金融,电子,False,Cross industry,24,0.1235147209661719,0.1235147209661719,31,0.7741935483870968,0.1595398479146387,0.1595398479146387
600036,600519,招商银行,贵州茅台,银行,食品饮料,False,Cross industry,31,0.059279181374151606,0.059279181374151606,31,1.0,0.059279181374151606,0.059279181374151606
600036,600887,招商银行,伊利股份,银行,食品饮料,False,Cross industry,6,0.015945833707972795,0.015945833707972795,31,0.1935483870967742,0.08238680749119277,0.08238680749119277
600036,601288,招商银行,农业银行,银行,银行,True,Same industry,26,0.030792905423763544,0.030792905423763544,31,0.8387096774193549,0.036714618005256536,0.036714618005256536
600036,601318,招商银行,中国平安,银行,非银金融,False,Cross industry,31,0.18407630545228904,0.18407630545228904,31,1.0,0.18407630545228904,0.18407630545228904
600036,601398,招商银行,工商银行,银行,银行,True,Same industry,31,0.1748359615623627,0.1748359615623627,31,1.0,0.1748359615623627,0.1748359615623627
600036,603501,招商银行,韦尔股份,银行,电子,False,Cross industry,0,0.0,0.0,31,0.0,,
600519,600887,贵州茅台,伊利股份,食品饮料,食品饮料,True,Same industry,31,0.16094473709192986,0.16094473709192986,31,1.0,0.16094473709192986,0.16094473709192986
600519,601288,贵州茅台,农业银行,食品饮料,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
600519,601318,贵州茅台,中国平安,食品饮料,非银金融,False,Cross industry,31,0.08238858332427963,0.08238858332427963,31,1.0,0.08238858332427963,0.08238858332427963
600519,601398,贵州茅台,工商银行,食品饮料,银行,False,Cross industry,0,0.0,0.0,31,0.0,,
600519,603501,贵州茅台,韦尔股份,食品饮料,电子,False,Cross industry,0,0.0,0.0,31,0.0,,
600887,601288,伊利股份,农业银行,食品饮料,银行,False,Cross industry,1,0.00011981567198044838,0.00011981567198044838,31,0.03225806451612903,0.0037142858313939,0.0037142858313939
