window_id,network_date,total_edges,same_industry_edges,cross_industry_edges,same_industry_ratio,cross_industry_ratio,mean_abs_partial_same,mean_abs_partial_cross,median_abs_partial_same,median_abs_partial_cross
1,2024-01-16,52,18,34,0.34615384615384615,0.6538461538461539,0.19723748431269084,0.05277990847346199,0.13013993604994406,0.03562008108438065
2,2024-02-21,51,18,33,0.35294117647058826,0.6470588235294118,0.1975377773139065,0.057539815166693466,0.1413452240402796,0.0449658758077316
3,2024-03-20,52,18,34,0.34615384615384615,0.6538461538461539,0.1963011041086562,0.05731846709821075,0.15571903818604882,0.0488128743292672
4,2024-04-19,51,19,32,0.37254901960784315,0.6274509803921569,0.18305122895982898,0.06386981759601554,0.1139361097252625,0.0529597336180568
5,2024-05-22,55,18,37,0.32727272727272727,0.6727272727272727,0.18649525781401868,0.0602682964860071,0.1213274464420729,0.0472799013734207
6,2024-06-20,51,18,33,0.35294117647058826,0.6470588235294118,0.18629505386621517,0.06905915383675049,0.11477556784577761,0.0577967477956285
7,2024-07-18,51,18,33,0.35294117647058826,0.6470588235294118,0.18352515679919376,0.06970248697620254,0.11924544344718055,0.0612641908018647
8,2024-08-15,53,17,36,0.32075471698113206,0.6792452830188679,0.20402675581837507,0.06290197936601422,0.1312129455693718,0.0476736447010539
9,2024-09-12,54,17,37,0.3148148148148148,0.6851851851851852,0.20474667324938486,0.06006418128290646,0.1494919547937161,0.0355364744481755
10,2024-10-21,55,17,38,0.3090909090909091,0.6909090909090909,0.21219138944529656,0.06943406027940731,0.1841461054815311,0.050194239777611005
11,2024-11-18,56,17,39,0.30357142857142855,0.6964285714285714,0.20796358230352102,0.07045295665716739,0.1776295933033173,0.0525737155146368
12,2024-12-16,54,17,37,0.3148148148148148,0.6851851851851852,0.20895660084691606,0.0745788619765917,0.1764980490594521,0.0607777307490122
13,2025-01-14,57,19,38,0.3333333333333333,0.6666666666666666,0.19150302456466559,0.07098626696677854,0.1721685712769837,0.050100700784511704
14,2025-02-19,57,19,38,0.3333333333333333,0.6666666666666666,0.19254987462290138,0.07016632412782921,0.1672140756306555,0.0501488042330173
15,2025-03-19,56,19,37,0.3392857142857143,0.6607142857142857,0.19406463340017122,0.07122698492910069,0.1786250387519038,0.0478531778761155
16,2025-04-17,54,19,35,0.35185185185185186,0.6481481481481481,0.19610875063396896,0.07574938520743808,0.1913993719641984,0.0504656332452441
17,2025-05-20,55,19,36,0.34545454545454546,0.6545454545454545,0.1971627157540827,0.07316549627125984,0.1958828790226186,0.054305899853196046
18,2025-06-18,54,19,35,0.35185185185185186,0.6481481481481481,0.19822144073586268,0.07501175967451065,0.2043142029496587,0.0547032548964709
19,2025-07-16,54,19,35,0.35185185185185186,0.6481481481481481,0.2010969621732123,0.07356836241765215,0.1916413261760891,0.0517687314256656
20,2025-08-13,55,19,36,0.34545454545454546,0.6545454545454545,0.20085518167317787,0.07138676813579044,0.1971742656638718,0.054185503564157
21,2025-09-10,54,19,35,0.35185185185185186,0.6481481481481481,0.20017978906145908,0.07277698379089596,0.1941778096316903,0.0608352607439551
22,2025-10-16,54,19,35,0.35185185185185186,0.6481481481481481,0.19980911158754022,0.0694173300510911,0.1864776780609628,0.0549842704006325
23,2025-11-13,44,18,26,0.4090909090909091,0.5909090909090909,0.21651586998546188,0.071892148553589,0.21971094701866623,0.053962343553595096
24,2025-12-11,42,19,23,0.4523809523809524,0.5476190476190477,0.20345784211812018,0.07488802072468866,0.1920287269364642,0.0567114633580652
25,2026-01-12,42,19,23,0.4523809523809524,0.5476190476190477,0.20055476693562474,0.07153781191820938,0.167369182754353,0.0546290620048626
26,2026-02-09,40,18,22,0.45,0.55,0.20634564543506118,0.07045754563408875,0.17653777903727355,0.0645226594243265
27,2026-03-17,44,19,25,0.4318181818181818,0.5681818181818182,0.1970390091297685,0.06491439023779748,0.1681967162055702,0.0577644452519163
28,2026-04-15,45,19,26,0.4222222222222222,0.5777777777777777,0.19982783600504297,0.06405658695894162,0.1545670882801486,0.0471041587169364
29,2026-05-18,42,19,23,0.4523809523809524,0.5476190476190477,0.1868162250031956,0.06130056155648771,0.136837417502056,0.0479622834583014
30,2026-06-15,41,19,22,0.4634146341463415,0.5365853658536586,0.18303641123470502,0.05704977407895805,0.1293437032065954,0.046716704971942344
31,2026-07-14,40,18,22,0.45,0.55,0.20099444461133742,0.06078123401834543,0.1570373409633509,0.042867416721446255
