window_from,window_to,date_to,lost_total,lost_same_industry,lost_cross_industry,gained_total,gained_same_industry,gained_cross_industry,net_same_industry_change,net_cross_industry_change
1,2,2024-02-21,6,0,6,5,0,5,0,-1
2,3,2024-03-20,4,0,4,5,0,5,0,1
3,4,2024-04-19,3,0,3,2,1,1,1,-2
4,5,2024-05-22,2,1,1,6,0,6,-1,5
5,6,2024-06-20,5,0,5,1,0,1,0,-4
6,7,2024-07-18,2,0,2,2,0,2,0,0
7,8,2024-08-15,3,1,2,5,0,5,-1,3
8,9,2024-09-12,5,0,5,6,0,6,0,1
9,10,2024-10-21,5,0,5,6,0,6,0,1
10,11,2024-11-18,1,0,1,2,0,2,0,1
11,12,2024-12-16,2,0,2,0,0,0,0,-2
12,13,2025-01-14,1,0,1,4,2,2,2,1
13,14,2025-02-19,1,0,1,1,0,1,0,0
14,15,2025-03-19,2,0,2,1,0,1,0,-1
15,16,2025-04-17,2,0,2,0,0,0,0,-2
16,17,2025-05-20,0,0,0,1,0,1,0,1
17,18,2025-06-18,1,0,1,0,0,0,0,-1
18,19,2025-07-16,1,0,1,1,0,1,0,0
19,20,2025-08-13,1,0,1,2,0,2,0,1
20,21,2025-09-10,1,0,1,0,0,0,0,-1
21,22,2025-10-16,3,0,3,3,0,3,0,0
22,23,2025-11-13,10,1,9,0,0,0,-1,-9
23,24,2025-12-11,4,0,4,2,1,1,1,-3
24,25,2026-01-12,2,0,2,2,0,2,0,0
25,26,2026-02-09,4,1,3,2,0,2,-1,-1
26,27,2026-03-17,1,0,1,5,1,4,1,3
27,28,2026-04-15,2,0,2,3,0,3,0,1
28,29,2026-05-18,6,0,6,3,0,3,0,-3
29,30,2026-06-15,3,0,3,2,0,2,0,-1
30,31,2026-07-14,2,1,1,1,0,1,-1,0
