code,name,industry,n_windows,mean_degree,sd_degree,cv_degree,min_degree,max_degree,range_degree,mean_strength,sd_strength,cv_strength,min_strength,max_strength,range_strength,mean_degree_rank,sd_degree_rank,min_degree_rank,max_degree_rank,range_degree_rank,mean_strength_rank,sd_strength_rank,min_strength_rank,max_strength_rank,range_strength_rank,top_degree_share,top_strength_share,degree_strength_corr,degree_role,strength_role,combined_role
601318,中国平安,非银金融,31,8.903225806451612,1.468669209628849,0.1649592228206316,6,11,5,1.0306236527566783,0.11265355313736276,0.10930619808311282,0.8352834863352877,1.1982854918543988,0.3630020055191111,2.8870967741935485,1.676850606640093,1.0,7.5,6.5,2.5161290322580645,1.0915117266719425,1.0,5.0,4.0,0.8709677419354839,1.0,0.6817489381589418,Stable central,Stable central,Strong stable central
000858,五粮液,食品饮料,31,8.903225806451612,1.4225526049951525,0.15977945925670192,6,11,5,1.1175719389214223,0.08015366153744996,0.07172125457517027,0.916560159751046,1.2421802284879866,0.3256200687369406,2.903225806451613,1.5406673599380545,1.0,5.5,4.5,1.2903225806451613,0.4614143753790638,1.0,2.0,1.0,0.9354838709677419,1.0,0.829400957106015,Stable central,Stable central,Strong stable central
600030,中信证券,非银金融,31,9.096774193548388,1.0117588220413474,0.11122171447972258,8,11,3,0.7975683073291796,0.13324460807659447,0.16706356916662254,0.6499834503815308,1.0982402307734886,0.4482567803919578,3.629032258064516,2.2322176638770537,1.0,8.0,7.0,8.161290322580646,4.025723737777249,1.0,14.0,13.0,0.7419354838709677,0.25806451612903225,0.2427909043746519,Stable central,Dynamic peripheral,Mixed role
002415,海康威视,电子,31,7.774193548387097,1.4767007690423686,0.18994906157806402,4,10,6,0.7044457536756028,0.18859441598202092,0.26772028221901756,0.4279353312662143,0.9602675054062274,0.5323321741400131,5.661290322580645,2.0711796026024785,1.5,11.5,10.0,9.096774193548388,3.581013252415927,4.0,14.0,10.0,0.41935483870967744,0.22580645161290322,0.6798120109245924,Stable peripheral,Dynamic peripheral,Mixed role
000001,平安银行,银行,31,7.612903225806452,0.8436989729691791,0.11082486509340911,6,9,3,0.864507725292333,0.11190655491794939,0.1294454076510516,0.6262040952285264,1.0568327516759315,0.4306286564474051,6.290322580645161,2.2463829947584153,2.0,10.0,8.0,5.387096774193548,2.347728254502477,1.0,10.0,9.0,0.2903225806451613,0.4838709677419355,0.4086630108188828,Dynamic peripheral,Dynamic peripheral,Dynamic peripheral
000725,京东方A,电子,31,7.548387096774194,2.079081683138325,0.27543389819353875,3,11,8,0.6930877050974613,0.1809962600266477,0.26114481427887426,0.1678659091293596,1.0215589504422162,0.8536930413128566,6.451612903225806,3.967272023926259,1.0,15.0,14.0,9.32258064516129,2.7004579460305562,3.0,14.0,11.0,0.45161290322580644,0.0967741935483871,0.7934474433739911,Dynamic peripheral,Dynamic peripheral,Dynamic peripheral
600887,伊利股份,食品饮料,31,7.419354838709677,1.385019700182085,0.18667656828541146,5,9,4,0.5908985273247622,0.11147665337282042,0.188656170590779,0.3930767697086023,0.7671833905589369,0.37410662085033464,6.887096774193548,2.2609351952210495,2.5,11.0,8.5,12.483870967741936,1.4111689655963828,10.0,14.0,4.0,0.25806451612903225,0.0,0.824220569466206,Dynamic peripheral,Stable peripheral,Mixed role
002460,赣锋锂业,新能源,31,7.387096774193548,1.9609082819761305,0.2654504661190395,4,10,6,0.48431028662122305,0.19451284450194758,0.4016285630828965,0.1127057231144205,0.7380479278845641,0.6253422047701436,7.193548387096774,3.320836790516407,1.5,14.0,12.5,13.96774193548387,1.2243058160373153,11.0,15.0,4.0,0.3225806451612903,0.0,0.9217806341170397,Dynamic peripheral,Stable peripheral,Mixed role
000568,泸州老窖,食品饮料,31,7.032258064516129,1.7792108918982772,0.2530070534350761,4,10,6,0.902814553800745,0.09914725226516781,0.10982017497144826,0.7366123382625844,1.0267390534791174,0.290126715216533,8.048387096774194,2.8441602120534553,2.0,12.5,10.5,4.612903225806452,1.7640374023782057,3.0,8.0,5.0,0.22580645161290322,0.7419354838709677,0.9101665396604116,Dynamic peripheral,Stable central,Mixed role
600519,贵州茅台,食品饮料,31,6.516129032258065,0.8513114487634352,0.13064680649339847,5,8,3,0.8813908329165988,0.08272542241527575,0.09385782030603852,0.7387377985651802,0.9875417951957052,0.248803996630525,9.048387096774194,1.9207413443324317,4.0,11.0,7.0,5.064516129032258,1.5041162160544146,3.0,8.0,5.0,0.03225806451612903,0.6451612903225806,0.5147209464118321,Stable peripheral,Stable peripheral,Stable peripheral
600036,招商银行,银行,31,5.741935483870968,1.45985711482286,0.25424477842420595,4,9,5,0.832530448744315,0.05862354744621084,0.07041610013739591,0.7278416938501333,0.9495504916289612,0.2217087977788279,10.112903225806452,2.9740815877044433,3.5,13.0,9.5,6.612903225806452,1.7828333134805152,3.0,9.0,6.0,0.12903225806451613,0.2903225806451613,0.7584786201723204,Dynamic peripheral,Dynamic peripheral,Dynamic peripheral
603501,韦尔股份,电子,31,5.129032258064516,1.0564700810993488,0.2059784434847787,3,7,4,0.6807913835693051,0.12882198643530124,0.1892238790683623,0.4804445047666535,0.8695184392827655,0.389073934516112,11.064516129032258,2.535553639358575,5.0,14.5,9.5,10.419354838709678,2.0293544712278515,7.0,14.0,7.0,0.03225806451612903,0.0,0.6170376784858955,Dynamic peripheral,Dynamic peripheral,Dynamic peripheral
002475,立讯精密,电子,31,5.193548387096774,0.8725195256156996,0.16800065400053843,3,7,4,0.5125420899060028,0.04275947134341231,0.0834262632972331,0.4345140350860186,0.5886470119122255,0.15413297682620686,11.596774193548388,1.0600263741900455,10.0,14.0,4.0,14.03225806451613,1.1685852120617743,12.0,15.0,3.0,0.0,0.0,0.07863280390347158,Stable peripheral,Stable peripheral,Stable peripheral
601398,工商银行,银行,31,3.4193548387096775,0.7199163631231569,0.21054157789450814,3,6,3,0.8388100932528069,0.044333646189631634,0.05285301946917564,0.7770155721070171,0.978259950500446,0.2012443783934289,13.935483870967742,1.900622422102257,5.0,15.0,10.0,6.354838709677419,2.199217847277742,1.0,9.0,8.0,0.03225806451612903,0.25806451612903225,0.5821912115299099,Stable peripheral,Dynamic peripheral,Mixed role
601288,农业银行,银行,31,3.2903225806451615,0.6925098500910426,0.2104686799296306,2,4,2,0.6774188486214866,0.05825342413691514,0.08599321417680943,0.5609286251224285,0.7418240786631224,0.18089545354069392,14.290322580645162,0.5593775342346632,13.0,15.0,2.0,10.67741935483871,1.3512240567770035,8.0,13.0,5.0,0.0,0.0,0.039684660981417895,Stable peripheral,Stable peripheral,Stable peripheral
