stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,persistence_W126,persistence_W252,persistence_W504,mean_abs_partial_W126,mean_abs_partial_W252,mean_abs_partial_W504,selected_windows_W126,selected_windows_W252,selected_windows_W504,min_persistence,max_persistence,mean_persistence,sd_persistence,persistence_range,n_scales_persistent,n_scales_always_persistent,multi_scale_persistent,multi_scale_always_persistent,scale_dependent_persistent,persistence_pattern,multi_scale_class,mean_abs_partial_across_scales,industry_relation
601288,农业银行,银行,601398,工商银行,银行,True,1.0,1.0,1.0,0.5240004445315374,0.5518729489526771,0.609867530969964,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.5619136414847262,Same industry
000568,泸州老窖,食品饮料,000858,五粮液,食品饮料,True,1.0,1.0,1.0,0.4233077374216429,0.4058236007581298,0.4120445332952982,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.4137252904916903,Same industry
000858,五粮液,食品饮料,600519,贵州茅台,食品饮料,True,1.0,1.0,1.0,0.3145963542920644,0.3247600281042251,0.3141437006401253,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.31783336101213827,Same industry
000001,平安银行,银行,600036,招商银行,银行,True,1.0,1.0,1.0,0.2799971236617606,0.3080357421134081,0.3606030381769536,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.3162119679840408,Same industry
600030,中信证券,非银金融,601318,中国平安,非银金融,True,1.0,1.0,1.0,0.3075217860102527,0.2395704134768688,0.1952304628322268,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.24744088743978276,Same industry
000001,平安银行,银行,601318,中国平安,非银金融,False,1.0,1.0,1.0,0.1998380174785917,0.2412933830902864,0.2559112130000298,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.2323475378563026,Cross industry
002475,立讯精密,电子,603501,韦尔股份,电子,True,1.0,1.0,1.0,0.2346406367132109,0.2287965300953544,0.2222400071363098,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.228559057981625,Same industry
000568,泸州老窖,食品饮料,600519,贵州茅台,食品饮料,True,1.0,1.0,1.0,0.224465109269094,0.216256280902206,0.2277511075004722,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.22282416589059073,Same industry
600036,招商银行,银行,601398,工商银行,银行,True,1.0,1.0,1.0,0.2368939177504249,0.2319295332036547,0.1675108998205677,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.21211145025821576,Same industry
600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,1.0,1.0,1.0,0.1374355019748001,0.1809201131816318,0.1935811836261878,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.17064559959420655,Same industry
600036,招商银行,银行,601318,中国平安,非银金融,False,1.0,1.0,1.0,0.114657290819973,0.1588353357570628,0.2067046076229338,18,18,18,1.0,1.0,1.0,0.0,0.0,3,3,True,True,False,Constant,Always persistent at all scales,0.1600657447333232,Cross industry
