stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,total_windows,windows_selected,persistence,first_selected_date,last_selected_date,n_episodes,longest_consecutive_run,longest_run_start_date,longest_run_end_date,longest_run_share,mean_episode_length,switch_count,entry_count,exit_count,transition_rate,mean_partial_when_selected,mean_abs_partial_when_selected,max_abs_partial_when_selected,sign_consistency,selection_sequence,lifecycle_class
601288,农业银行,银行,601398,工商银行,银行,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.5953893536948558,0.5953893536948558,0.6677036292662993,1.0,1111111111111111111111111111111,Persistent core
000568,泸州老窖,食品饮料,000858,五粮液,食品饮料,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.42002007614685716,0.42002007614685716,0.4772406468075655,1.0,1111111111111111111111111111111,Persistent core
000001,平安银行,银行,600036,招商银行,银行,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.33894505671974906,0.33894505671974906,0.4287803685753549,1.0,1111111111111111111111111111111,Persistent core
000858,五粮液,食品饮料,600519,贵州茅台,食品饮料,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.30669809162337425,0.30669809162337425,0.353023951215372,1.0,1111111111111111111111111111111,Persistent core
000001,平安银行,银行,601318,中国平安,非银金融,False,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.23802002501661843,0.23802002501661843,0.3252175704004443,1.0,1111111111111111111111111111111,Persistent core
000568,泸州老窖,食品饮料,600519,贵州茅台,食品饮料,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.2332351510388808,0.2332351510388808,0.3026034863043405,1.0,1111111111111111111111111111111,Persistent core
002475,立讯精密,电子,603501,韦尔股份,电子,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.21869170206471938,0.21869170206471938,0.2763301627499595,1.0,1111111111111111111111111111111,Persistent core
600030,中信证券,非银金融,601318,中国平安,非银金融,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.2145838458496602,0.2145838458496602,0.3717424604763288,1.0,1111111111111111111111111111111,Persistent core
600036,招商银行,银行,601318,中国平安,非银金融,False,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.18407630545228904,0.18407630545228904,0.2955497588171965,1.0,1111111111111111111111111111111,Persistent core
600036,招商银行,银行,601398,工商银行,银行,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.1748359615623627,0.1748359615623627,0.3110948471613007,1.0,1111111111111111111111111111111,Persistent core
600519,贵州茅台,食品饮料,600887,伊利股份,食品饮料,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.16094473709192988,0.16094473709192988,0.2578517966909298,1.0,1111111111111111111111111111111,Persistent core
000725,京东方A,电子,002415,海康威视,电子,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.15758894571246293,0.15758894571246293,0.2382377917155712,1.0,1111111111111111111111111111111,Persistent core
002415,海康威视,电子,603501,韦尔股份,电子,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.14965042002080264,0.14965042002080264,0.2195703203416098,1.0,1111111111111111111111111111111,Persistent core
000858,五粮液,食品饮料,600887,伊利股份,食品饮料,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.14451902710345227,0.14451902710345227,0.1974851524252005,1.0,1111111111111111111111111111111,Persistent core
000725,京东方A,电子,603501,韦尔股份,电子,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.11168102279756562,0.11168102279756562,0.2216095688012091,1.0,1111111111111111111111111111111,Persistent core
002415,海康威视,电子,600030,中信证券,非银金融,False,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.08671714050062375,0.08671714050062375,0.1637834248012767,1.0,1111111111111111111111111111111,Persistent core
002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.08376510272717724,0.08376510272717724,0.1712534710620672,1.0,1111111111111111111111111111111,Persistent core
000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.08367575775262764,0.08367575775262764,0.1293437032065954,1.0,1111111111111111111111111111111,Persistent core
600519,贵州茅台,食品饮料,601318,中国平安,非银金融,False,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.08238858332427962,0.08238858332427962,0.1532427737453486,1.0,1111111111111111111111111111111,Persistent core
000858,五粮液,食品饮料,601318,中国平安,非银金融,False,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.06521810565355521,0.06521810565355521,0.1256873298563444,1.0,1111111111111111111111111111111,Persistent core
600036,招商银行,银行,600519,贵州茅台,食品饮料,False,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.0592791813741516,0.0592791813741516,0.1050690580240513,1.0,1111111111111111111111111111111,Persistent core
000001,平安银行,银行,601398,工商银行,银行,True,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.05721163167269065,0.05721163167269065,0.1477965969512162,1.0,1111111111111111111111111111111,Persistent core
000001,平安银行,银行,600887,伊利股份,食品饮料,False,31,31,1.0,2024-01-16,2026-07-14,1,31,2024-01-16,2026-07-14,1.0,31.0,0,0,0,0.0,0.05286457544898218,0.05286457544898218,0.1165044178623958,1.0,1111111111111111111111111111111,Persistent core
000725,京东方A,电子,002475,立讯精密,电子,True,31,30,0.967741935483871,2024-01-16,2026-06-15,1,30,2024-01-16,2026-06-15,1.0,30.0,1,0,1,0.03333333333333333,0.13990579432345393,0.13990579432345393,0.2170942038446985,1.0,1111111111111111111111111111110,Persistent core
002415,海康威视,电子,002460,赣锋锂业,新能源,False,31,30,0.967741935483871,2024-02-21,2026-07-14,1,30,2024-02-21,2026-07-14,1.0,30.0,1,1,0,0.03333333333333333,0.08361080178315489,0.08361080178315489,0.1489189814883077,1.0,0111111111111111111111111111111,Persistent core
000001,平安银行,银行,000858,五粮液,食品饮料,False,31,30,0.967741935483871,2024-01-16,2026-07-14,2,23,2024-01-16,2025-11-13,0.7666666666666667,15.0,2,1,1,0.06666666666666667,0.04550576227421144,0.04550576227421144,0.0932823292004825,1.0,1111111111111111111111101111111,Persistent core
000725,京东方A,电子,002460,赣锋锂业,新能源,False,31,29,0.9354838709677419,2024-01-16,2026-05-18,1,29,2024-01-16,2026-05-18,1.0,29.0,1,0,1,0.03333333333333333,0.10694482633517724,0.10694482633517724,0.1619098645818906,1.0,1111111111111111111111111111100,Persistent core
002415,海康威视,电子,002475,立讯精密,电子,True,31,29,0.9354838709677419,2024-01-16,2026-07-14,3,22,2024-01-16,2025-10-16,0.7586206896551724,9.666666666666666,4,2,2,0.13333333333333333,0.07736852112626427,0.07736852112626427,0.1479711349355823,1.0,1111111111111111111111011011111,Persistent core
600887,伊利股份,食品饮料,601318,中国平安,非银金融,False,31,29,0.9354838709677419,2024-01-16,2026-07-14,3,18,2024-10-21,2026-03-17,0.6206896551724138,9.666666666666666,4,2,2,0.13333333333333333,0.05284442431748562,0.05284442431748562,0.1307360626106011,1.0,1111111101111111111111111110111,Persistent core
600030,中信证券,非银金融,600519,贵州茅台,食品饮料,False,31,28,0.9032258064516129,2024-01-16,2026-04-15,1,28,2024-01-16,2026-04-15,1.0,28.0,1,0,1,0.03333333333333333,0.026177866465731423,0.026177866465731423,0.0546290620048626,1.0,1111111111111111111111111111000,Persistent core
000858,五粮液,食品饮料,002415,海康威视,电子,False,31,28,0.9032258064516129,2024-01-16,2026-05-18,2,25,2024-01-16,2026-01-12,0.8928571428571429,14.0,3,1,2,0.1,0.031597674845370974,0.031597674845370974,0.0549842704006325,1.0,1111111111111111111111111011100,Persistent core
002460,赣锋锂业,新能源,002475,立讯精密,电子,False,31,28,0.9032258064516129,2024-01-16,2026-07-14,3,22,2024-10-21,2026-07-14,0.7857142857142857,9.333333333333334,4,2,2,0.13333333333333333,0.046069885536887026,0.046069885536887026,0.0985599237642138,1.0,1100111101111111111111111111111,Persistent core
000001,平安银行,银行,000568,泸州老窖,食品饮料,False,31,27,0.8709677419354839,2024-02-21,2026-04-15,1,27,2024-02-21,2026-04-15,1.0,27.0,2,1,1,0.06666666666666667,0.03543511682108228,0.03543511682108228,0.071075244786717,1.0,0111111111111111111111111111000,Persistent core
000725,京东方A,电子,601318,中国平安,非银金融,False,31,27,0.8709677419354839,2024-01-16,2026-04-15,2,26,2024-01-16,2026-02-09,0.9629629629629629,13.5,3,1,2,0.1,0.04309566233426994,0.04309566233426994,0.1005064633649255,1.0,1111111111111111111111111101000,Persistent core
600036,招商银行,银行,601288,农业银行,银行,True,31,26,0.8387096774193549,2024-01-16,2026-07-14,2,19,2025-01-14,2026-07-14,0.7307692307692307,13.0,2,1,1,0.06666666666666667,0.03671461800525653,0.03671461800525653,0.0679118117520626,1.0,1111111000001111111111111111111,Persistent core
000568,泸州老窖,食品饮料,600030,中信证券,非银金融,False,31,26,0.8387096774193549,2024-01-16,2026-07-14,4,18,2024-07-18,2025-12-11,0.6923076923076923,6.5,6,3,3,0.2,0.04725523155493035,0.04725523155493035,0.0968978781828059,1.0,1010001111111111111111110111111,Persistent core
000858,五粮液,食品饮料,002460,赣锋锂业,新能源,False,31,25,0.8064516129032258,2024-01-16,2026-01-12,1,25,2024-01-16,2026-01-12,1.0,25.0,1,0,1,0.03333333333333333,0.0475711365194742,0.0475711365194742,0.0988713524380141,1.0,1111111111111111111111111000000,Persistent core
000568,泸州老窖,食品饮料,601318,中国平安,非银金融,False,31,25,0.8064516129032258,2024-01-16,2026-07-14,2,22,2024-01-16,2025-10-16,0.88,12.5,2,1,1,0.06666666666666667,0.06671183862360494,0.06671183862360494,0.109444699267386,1.0,1111111111111111111111000000111,Persistent core
600030,中信证券,非银金融,600887,伊利股份,食品饮料,False,31,25,0.8064516129032258,2024-01-16,2026-07-14,3,20,2024-01-16,2025-08-13,0.8,8.333333333333334,4,2,2,0.13333333333333333,0.043978678887859474,0.043978678887859474,0.1159520248804341,1.0,1111111111111111111100000111011,Persistent core
000725,京东方A,电子,600030,中信证券,非银金融,False,31,25,0.8064516129032258,2024-01-16,2026-05-18,3,19,2024-11-18,2026-05-18,0.76,8.333333333333334,5,2,3,0.16666666666666666,0.109188491824207,0.109188491824207,0.2459434297279059,1.0,1111100010111111111111111111100,Persistent core
