stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,total_windows,windows_selected,persistence,first_selected_date,last_selected_date,n_episodes,longest_consecutive_run,longest_run_start_date,longest_run_end_date,longest_run_share,mean_episode_length,switch_count,entry_count,exit_count,transition_rate,mean_partial_when_selected,mean_abs_partial_when_selected,max_abs_partial_when_selected,sign_consistency,selection_sequence,lifecycle_class
000001,平安银行,银行,600519,贵州茅台,食品饮料,False,31,2,0.06451612903225806,2024-01-16,2025-07-16,2,1,2024-01-16,2024-01-16,0.5,1.0,3,1,2,0.1,0.0148265370894917,0.0148265370894917,0.0198968882834599,1.0,1000000000000000001000000000000,Rare
601288,农业银行,银行,601318,中国平安,非银金融,False,31,2,0.06451612903225806,2024-01-16,2024-03-20,2,1,2024-01-16,2024-01-16,0.5,1.0,3,1,2,0.1,0.0042378548424869995,0.0042378548424869995,0.0067794943679336,1.0,1010000000000000000000000000000,Rare
600887,伊利股份,食品饮料,603501,韦尔股份,电子,False,31,2,0.06451612903225806,2024-01-16,2024-08-15,2,1,2024-01-16,2024-01-16,0.5,1.0,3,1,2,0.1,0.0009287166406934,0.0009287166406934,0.0009520194232689,1.0,1000000100000000000000000000000,Rare
002475,立讯精密,电子,600887,伊利股份,食品饮料,False,31,1,0.03225806451612903,2024-01-16,2024-01-16,1,1,2024-01-16,2024-01-16,1.0,1.0,1,0,1,0.03333333333333333,0.024921350596135,0.024921350596135,0.024921350596135,1.0,1000000000000000000000000000000,Rare
000725,京东方A,电子,600519,贵州茅台,食品饮料,False,31,1,0.03225806451612903,2025-10-16,2025-10-16,1,1,2025-10-16,2025-10-16,1.0,1.0,2,1,1,0.06666666666666667,0.0068960336740247,0.0068960336740247,0.0068960336740247,1.0,0000000000000000000001000000000,Rare
000001,平安银行,银行,002475,立讯精密,电子,False,31,1,0.03225806451612903,2025-03-19,2025-03-19,1,1,2025-03-19,2025-03-19,1.0,1.0,2,1,1,0.06666666666666667,0.0049991365290081,0.0049991365290081,0.0049991365290081,1.0,0000000000000010000000000000000,Rare
600887,伊利股份,食品饮料,601288,农业银行,银行,False,31,1,0.03225806451612903,2024-06-20,2024-06-20,1,1,2024-06-20,2024-06-20,1.0,1.0,2,1,1,0.06666666666666667,0.0037142858313939,0.0037142858313939,0.0037142858313939,1.0,0000010000000000000000000000000,Rare
000725,京东方A,电子,601398,工商银行,银行,False,31,1,0.03225806451612903,2026-07-14,2026-07-14,1,1,2026-07-14,2026-07-14,1.0,1.0,1,1,0,0.03333333333333333,-0.0036542706093757,0.0036542706093757,0.0036542706093757,1.0,0000000000000000000000000000001,Rare
000001,平安银行,银行,002415,海康威视,电子,False,31,0,0.0,,,0,0,,,,0.0,0,0,0,0.0,,,,,0000000000000000000000000000000,Rare
000001,平安银行,银行,603501,韦尔股份,电子,False,31,0,0.0,,,0,0,,,,0.0,0,0,0,0.0,,,,,0000000000000000000000000000000,Rare
