stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,total_windows,windows_selected,persistence,first_selected_date,last_selected_date,n_episodes,longest_consecutive_run,longest_run_start_date,longest_run_end_date,longest_run_share,mean_episode_length,switch_count,entry_count,exit_count,transition_rate,mean_partial_when_selected,mean_abs_partial_when_selected,max_abs_partial_when_selected,sign_consistency,selection_sequence,lifecycle_class
600030,中信证券,非银金融,603501,韦尔股份,电子,False,31,24,0.7741935483870968,2024-08-15,2026-07-14,1,24,2024-08-15,2026-07-14,1.0,24.0,1,1,0,0.03333333333333333,0.1595398479146387,0.1595398479146387,0.2212226717142811,1.0,0000000111111111111111111111111,Regime-dependent
002415,海康威视,电子,601318,中国平安,非银金融,False,31,23,0.7419354838709677,2024-01-16,2025-11-13,1,23,2024-01-16,2025-11-13,1.0,23.0,1,0,1,0.03333333333333333,0.12061364152870253,0.12061364152870253,0.1793344165768067,1.0,1111111111111111111111100000000,Regime-dependent
000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,False,31,18,0.5806451612903226,2024-05-22,2025-10-16,1,18,2024-05-22,2025-10-16,1.0,18.0,2,1,1,0.06666666666666667,0.05748208156990367,0.05748208156990367,0.0928564446654046,1.0,0000111111111111111111000000000,Regime-dependent
000858,五粮液,食品饮料,002475,立讯精密,电子,False,31,14,0.45161290322580644,2024-02-21,2025-03-19,1,14,2024-02-21,2025-03-19,1.0,14.0,2,1,1,0.06666666666666667,0.03140755386318526,0.03140755386318526,0.0581759805899339,1.0,0111111111111110000000000000000,Regime-dependent
002460,赣锋锂业,新能源,600887,伊利股份,食品饮料,False,31,13,0.41935483870967744,2024-09-12,2025-09-10,1,13,2024-09-12,2025-09-10,1.0,13.0,2,1,1,0.06666666666666667,0.033494526816098,0.033494526816098,0.0586181932823451,1.0,0000000011111111111110000000000,Regime-dependent
002460,赣锋锂业,新能源,601288,农业银行,银行,False,31,11,0.3548387096774194,2024-08-15,2025-06-18,1,11,2024-08-15,2025-06-18,1.0,11.0,2,1,1,0.06666666666666667,-0.036664812331951784,0.036664812331951784,0.0830072158854304,1.0,0000000111111111110000000000000,Regime-dependent
002475,立讯精密,电子,601318,中国平安,非银金融,False,31,10,0.3225806451612903,2025-01-14,2025-10-16,1,10,2025-01-14,2025-10-16,1.0,10.0,2,1,1,0.06666666666666667,0.01711336615090666,0.01711336615090666,0.0315376874116756,1.0,0000000000001111111111000000000,Regime-dependent
000858,五粮液,食品饮料,600036,招商银行,银行,False,31,9,0.2903225806451613,2024-01-16,2024-09-12,1,9,2024-01-16,2024-09-12,1.0,9.0,1,0,1,0.03333333333333333,0.04297531428406212,0.04297531428406212,0.0617507990663852,1.0,1111111110000000000000000000000,Regime-dependent
002415,海康威视,电子,600519,贵州茅台,食品饮料,False,31,9,0.2903225806451613,2025-02-19,2025-10-16,1,9,2025-02-19,2025-10-16,1.0,9.0,2,1,1,0.06666666666666667,0.040545541789730064,0.040545541789730064,0.0635820252958095,1.0,0000000000000111111111000000000,Regime-dependent
600030,中信证券,非银金融,600036,招商银行,银行,False,31,7,0.22580645161290322,2024-01-16,2024-07-18,1,7,2024-01-16,2024-07-18,1.0,7.0,1,0,1,0.03333333333333333,0.06599087666532231,0.06599087666532231,0.1384329846566802,1.0,1111111000000000000000000000000,Regime-dependent
600036,招商银行,银行,600887,伊利股份,食品饮料,False,31,6,0.1935483870967742,2024-01-16,2024-06-20,1,6,2024-01-16,2024-06-20,1.0,6.0,1,0,1,0.03333333333333333,0.08238680749119276,0.08238680749119276,0.1360166938099903,1.0,1111110000000000000000000000000,Regime-dependent
002460,赣锋锂业,新能源,601318,中国平安,非银金融,False,31,5,0.16129032258064516,2024-01-16,2024-05-22,1,5,2024-01-16,2024-05-22,1.0,5.0,1,0,1,0.03333333333333333,0.0637700262183682,0.0637700262183682,0.0789413703851699,1.0,1111100000000000000000000000000,Regime-dependent
601398,工商银行,银行,603501,韦尔股份,电子,False,31,5,0.16129032258064516,2026-03-17,2026-07-14,1,5,2026-03-17,2026-07-14,1.0,5.0,1,1,0,0.03333333333333333,-0.03850907546314088,0.03850907546314088,0.0468364584864415,1.0,0000000000000000000000000011111,Regime-dependent
000568,泸州老窖,食品饮料,603501,韦尔股份,电子,False,31,5,0.16129032258064516,2024-09-12,2025-01-14,1,5,2024-09-12,2025-01-14,1.0,5.0,2,1,1,0.06666666666666667,0.017032968493798102,0.017032968493798102,0.0247557505011857,1.0,0000000011111000000000000000000,Regime-dependent
600030,中信证券,非银金融,601288,农业银行,银行,False,31,4,0.12903225806451613,2024-01-16,2024-04-19,1,4,2024-01-16,2024-04-19,1.0,4.0,1,0,1,0.03333333333333333,0.01502084490165995,0.01502084490165995,0.0212803175638221,1.0,1111000000000000000000000000000,Regime-dependent
600030,中信证券,非银金融,601398,工商银行,银行,False,31,3,0.0967741935483871,2024-01-16,2024-03-20,1,3,2024-01-16,2024-03-20,1.0,3.0,1,0,1,0.03333333333333333,0.024993122532607968,0.024993122532607968,0.0353426516456495,1.0,1110000000000000000000000000000,Regime-dependent
