stock_1,name_1,stock_2,name_2,same_industry,episode_number,episode_start_window,episode_end_window,episode_start_date,episode_end_date,episode_length
000001,平安银行,000568,泸州老窖,False,1,2,28,2024-02-21,2026-04-15,27
000001,平安银行,000725,京东方A,False,1,9,23,2024-09-12,2025-11-13,15
000001,平安银行,000725,京东方A,False,2,28,28,2026-04-15,2026-04-15,1
000001,平安银行,000858,五粮液,False,1,1,23,2024-01-16,2025-11-13,23
000001,平安银行,000858,五粮液,False,2,25,31,2026-01-12,2026-07-14,7
000001,平安银行,002460,赣锋锂业,False,1,3,7,2024-03-20,2024-07-18,5
000001,平安银行,002460,赣锋锂业,False,2,10,10,2024-10-21,2024-10-21,1
000001,平安银行,002475,立讯精密,False,1,15,15,2025-03-19,2025-03-19,1
000001,平安银行,600030,中信证券,False,1,1,9,2024-01-16,2024-09-12,9
000001,平安银行,600030,中信证券,False,2,27,27,2026-03-17,2026-03-17,1
000001,平安银行,600036,招商银行,True,1,1,31,2024-01-16,2026-07-14,31
000001,平安银行,600519,贵州茅台,False,1,1,1,2024-01-16,2024-01-16,1
000001,平安银行,600519,贵州茅台,False,2,19,19,2025-07-16,2025-07-16,1
000001,平安银行,600887,伊利股份,False,1,1,31,2024-01-16,2026-07-14,31
000001,平安银行,601288,农业银行,True,1,4,4,2024-04-19,2024-04-19,1
000001,平安银行,601288,农业银行,True,2,13,31,2025-01-14,2026-07-14,19
000001,平安银行,601318,中国平安,False,1,1,31,2024-01-16,2026-07-14,31
000001,平安银行,601398,工商银行,True,1,1,31,2024-01-16,2026-07-14,31
000568,泸州老窖,000725,京东方A,False,1,11,14,2024-11-18,2025-02-19,4
000568,泸州老窖,000725,京东方A,False,2,20,22,2025-08-13,2025-10-16,3
000568,泸州老窖,000858,五粮液,True,1,1,31,2024-01-16,2026-07-14,31
000568,泸州老窖,002415,海康威视,False,1,1,1,2024-01-16,2024-01-16,1
000568,泸州老窖,002415,海康威视,False,2,3,8,2024-03-20,2024-08-15,6
000568,泸州老窖,002415,海康威视,False,3,13,14,2025-01-14,2025-02-19,2
