stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,persistence_W126,persistence_W252,persistence_W504,mean_abs_partial_W126,mean_abs_partial_W252,mean_abs_partial_W504,selected_windows_W126,selected_windows_W252,selected_windows_W504,min_persistence,max_persistence,mean_persistence,sd_persistence,persistence_range,n_scales_persistent,n_scales_always_persistent,multi_scale_persistent,multi_scale_always_persistent,scale_dependent_persistent,persistence_pattern,multi_scale_class,mean_abs_partial_across_scales
600036,招商银行,银行,601288,农业银行,银行,True,0.7777777777777778,1.0,1.0,0.0737346544461942,0.0393604082203907,0.0287591940501397,14,18,18,0.7777777777777778,1.0,0.9259259259259259,0.10475656017578482,0.2222222222222222,2,2,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.04728475223890819
000858,五粮液,食品饮料,600030,中信证券,非银金融,False,0.7777777777777778,1.0,1.0,0.0382416696031577,0.0384969319925016,0.0321401498028995,14,18,18,0.7777777777777778,1.0,0.9259259259259259,0.10475656017578482,0.2222222222222222,2,2,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.03629291713285293
600887,伊利股份,食品饮料,601318,中国平安,非银金融,False,0.7777777777777778,0.9444444444444444,1.0,0.0457137264773812,0.0403755561980353,0.0514907599163046,14,17,18,0.7777777777777778,1.0,0.9074074074074074,0.09442628728875527,0.2222222222222222,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.04586001419724037
600030,中信证券,非银金融,600519,贵州茅台,食品饮料,False,0.7777777777777778,0.8333333333333334,1.0,0.0359161204590927,0.0272150358654511,0.0241671679116029,14,15,18,0.7777777777777778,1.0,0.8703703703703703,0.09442628728875527,0.2222222222222222,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.0290994414120489
000858,五粮液,食品饮料,601318,中国平安,非银金融,False,0.7222222222222222,1.0,1.0,0.0927806598851592,0.076360554388273,0.0657025578654326,13,18,18,0.7222222222222222,1.0,0.9074074074074074,0.13094570021973104,0.2777777777777778,2,2,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.0782812573796216
000725,京东方A,电子,002460,赣锋锂业,新能源,False,0.7222222222222222,0.8888888888888888,1.0,0.0871564274083847,0.0877908643521001,0.1017214324921319,13,16,18,0.7222222222222222,1.0,0.8703703703703703,0.11415581486979585,0.2777777777777778,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.09222290808420557
002415,海康威视,电子,002475,立讯精密,电子,True,0.7222222222222222,0.8888888888888888,1.0,0.0481395707990314,0.0559666195964933,0.0777194131015506,13,16,18,0.7222222222222222,1.0,0.8703703703703703,0.11415581486979585,0.2777777777777778,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.06060853449902511
000001,平安银行,银行,000858,五粮液,食品饮料,False,0.5555555555555556,0.9444444444444444,1.0,0.0525305307201818,0.0238568355940182,0.0556273870137807,10,17,18,0.5555555555555556,1.0,0.8333333333333334,0.19772367133391316,0.4444444444444444,2,1,False,False,True,Non-decreasing with W,Persistent at 2 scales,0.04400491777599356
000725,京东方A,电子,601318,中国平安,非银金融,False,0.5555555555555556,0.7777777777777778,0.9444444444444444,0.0292573029672943,0.0379467226213778,0.0556521690373951,10,14,17,0.5555555555555556,0.9444444444444444,0.7592592592592592,0.15930231976004863,0.38888888888888884,1,0,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.040952064875355736
000568,泸州老窖,食品饮料,601318,中国平安,非银金融,False,0.5555555555555556,0.6666666666666666,1.0,0.0539692496486114,0.0771995058281807,0.0633009688410208,10,12,18,0.5555555555555556,1.0,0.7407407407407408,0.18885257457751053,0.4444444444444444,1,1,False,False,True,Non-decreasing with W,Persistent at 1 scale,0.06482324143927097
