stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,total_windows,windows_selected,persistence,first_selected_date,last_selected_date,n_episodes,longest_consecutive_run,longest_run_start_date,longest_run_end_date,longest_run_share,mean_episode_length,switch_count,entry_count,exit_count,transition_rate,mean_partial_when_selected,mean_abs_partial_when_selected,max_abs_partial_when_selected,sign_consistency,selection_sequence,lifecycle_class
000858,五粮液,食品饮料,600030,中信证券,非银金融,False,31,24,0.7741935483870968,2024-02-21,2026-07-14,2,23,2024-09-12,2026-07-14,0.9583333333333334,12.0,3,2,1,0.1,0.03646466034015197,0.03646466034015197,0.0699385807468606,1.0,0100000011111111111111111111111,Two-episode transitional
002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,31,23,0.7419354838709677,2024-03-20,2026-04-15,2,21,2024-03-20,2025-11-13,0.9130434782608695,11.5,4,2,2,0.13333333333333333,0.08335542645728827,0.08335542645728827,0.1436197595337216,1.0,0011111111111111111111100011000,Two-episode transitional
000725,京东方A,电子,000858,五粮液,食品饮料,False,31,22,0.7096774193548387,2024-02-21,2025-12-11,2,21,2024-04-19,2025-12-11,0.9545454545454546,11.0,4,2,2,0.13333333333333333,0.02153609920596753,0.02153609920596753,0.0395581432948349,1.0,0101111111111111111111110000000,Two-episode transitional
000001,平安银行,银行,601288,农业银行,银行,True,31,20,0.6451612903225806,2024-04-19,2026-07-14,2,19,2025-01-14,2026-07-14,0.95,10.0,3,2,1,0.1,0.04573156880383519,0.04573156880383519,0.0933154073977842,1.0,0001000000001111111111111111111,Two-episode transitional
000001,平安银行,银行,000725,京东方A,电子,False,31,16,0.5161290322580645,2024-09-12,2026-04-15,2,15,2024-09-12,2025-11-13,0.9375,8.0,4,2,2,0.13333333333333333,0.07068509233825981,0.07068509233825981,0.1175540117331681,1.0,0000000011111111111111100001000,Two-episode transitional
000725,京东方A,电子,600887,伊利股份,食品饮料,False,31,14,0.45161290322580644,2024-08-15,2025-10-16,2,13,2024-10-21,2025-10-16,0.9285714285714286,7.0,4,2,2,0.13333333333333333,0.020669586825188303,0.020669586825188303,0.0609019786869045,1.0,0000000101111111111111000000000,Two-episode transitional
002475,立讯精密,电子,600030,中信证券,非银金融,False,31,13,0.41935483870967744,2024-05-22,2026-07-14,2,8,2025-12-11,2026-07-14,0.6153846153846154,6.5,3,2,1,0.1,0.05285521388859548,0.05285521388859548,0.0987901211100808,1.0,0000111110000000000000011111111,Two-episode transitional
000001,平安银行,银行,600030,中信证券,非银金融,False,31,10,0.3225806451612903,2024-01-16,2026-03-17,2,9,2024-01-16,2024-09-12,0.9,5.0,3,1,2,0.1,0.10085483540044853,0.10085483540044853,0.1687416567733537,1.0,1111111110000000000000000010000,Two-episode transitional
000568,泸州老窖,食品饮料,000725,京东方A,电子,False,31,7,0.22580645161290322,2024-11-18,2025-10-16,2,4,2024-11-18,2025-02-19,0.5714285714285714,3.5,4,2,2,0.13333333333333333,0.005971526053814228,0.005971526053814228,0.0147039514753507,1.0,0000000000111100000111000000000,Two-episode transitional
000001,平安银行,银行,002460,赣锋锂业,新能源,False,31,6,0.1935483870967742,2024-03-20,2024-10-21,2,5,2024-03-20,2024-07-18,0.8333333333333334,3.0,4,2,2,0.13333333333333333,0.015124181477693531,0.015124181477693531,0.0372227793909346,1.0,0011111001000000000000000000000,Two-episode transitional
002475,立讯精密,电子,600519,贵州茅台,食品饮料,False,31,4,0.12903225806451613,2024-05-22,2024-12-16,2,3,2024-10-21,2024-12-16,0.75,2.0,4,2,2,0.13333333333333333,0.01266665060277895,0.01266665060277895,0.017355234495153,1.0,0000100001110000000000000000000,Two-episode transitional
002460,赣锋锂业,新能源,601398,工商银行,银行,False,31,4,0.12903225806451613,2024-08-15,2026-07-14,2,2,2024-08-15,2024-09-12,0.5,2.0,3,2,1,0.1,-0.02034713012173115,0.02034713012173115,0.0323512551990576,1.0,0000000110000000000000000000011,Two-episode transitional
002460,赣锋锂业,新能源,600036,招商银行,银行,False,31,3,0.0967741935483871,2024-01-16,2024-05-22,2,2,2024-01-16,2024-02-21,0.6666666666666666,1.5,3,1,2,0.1,0.009090593009362734,0.009090593009362734,0.0119960450225661,1.0,1100100000000000000000000000000,Two-episode transitional
002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,False,31,3,0.0967741935483871,2025-08-13,2026-01-12,2,2,2025-08-13,2025-09-10,0.6666666666666666,1.5,4,2,2,0.13333333333333333,0.0063639649904253,0.0063639649904253,0.0104568662248545,1.0,0000000000000000000110001000000,Two-episode transitional
000568,泸州老窖,食品饮料,600036,招商银行,银行,False,31,3,0.0967741935483871,2024-10-21,2025-10-16,2,2,2024-10-21,2024-11-18,0.6666666666666666,1.5,4,2,2,0.13333333333333333,0.004108531794302233,0.004108531794302233,0.0074710875553186,1.0,0000000001100000000001000000000,Two-episode transitional
