window_size,sensitivity_window_id,baseline_window_id,window_start,window_end,network_date,fit_ok,convergence_warning,n_iter,last_objective,last_dual_gap,fit_error
126,1,14,2024-08-08,2025-02-19,2025-02-19,True,False,8,63.62687588448792,1.3163242218006133e-05,
126,2,15,2024-09-05,2025-03-19,2025-03-19,True,False,6,63.632789839783825,-7.326571659138637e-05,
126,3,16,2024-10-14,2025-04-17,2025-04-17,True,False,6,65.04237782045101,-7.13173332353989e-05,
126,4,17,2024-11-11,2025-05-20,2025-05-20,True,False,6,65.2151847789017,-1.2196516268936364e-05,
126,5,18,2024-12-09,2025-06-18,2025-06-18,True,False,4,65.41067847071164,-3.597330226678963e-05,
126,6,19,2025-01-07,2025-07-16,2025-07-16,True,False,5,65.89494298099666,-8.969390965685164e-05,
126,7,20,2025-02-12,2025-08-13,2025-08-13,True,False,4,66.18297375062441,-7.903906075856781e-05,
126,8,21,2025-03-12,2025-09-10,2025-09-10,True,False,3,65.95029882009347,-8.36057068491769e-05,
126,9,22,2025-04-10,2025-10-16,2025-10-16,True,False,4,67.25187623552347,-5.989799880135038e-05,
126,10,23,2025-05-13,2025-11-13,2025-11-13,True,False,4,67.18130055926655,-1.6963439687600612e-05,
126,11,24,2025-06-11,2025-12-11,2025-12-11,True,False,4,67.44083575255917,-6.2087573682312325e-06,
126,12,25,2025-07-09,2026-01-12,2026-01-12,True,False,3,67.50708922220097,2.0386380377157565e-05,
126,13,26,2025-08-06,2026-02-09,2026-02-09,True,False,4,67.36979517328328,-3.62071722910251e-05,
126,14,27,2025-09-03,2026-03-17,2026-03-17,True,False,4,67.40427283973666,-4.855289127414508e-05,
126,15,28,2025-10-09,2026-04-15,2026-04-15,True,False,5,67.28804260254586,-9.88038735805219e-06,
126,16,29,2025-11-06,2026-05-18,2026-05-18,True,False,4,67.77077933323766,-6.964976160617198e-05,
126,17,30,2025-12-04,2026-06-15,2026-06-15,True,False,5,67.63511684823682,-4.5236781463398046e-05,
126,18,31,2026-01-05,2026-07-14,2026-07-14,True,False,5,67.19445846768377,-4.362923298595334e-05,
252,1,14,2024-01-29,2025-02-19,2025-02-19,True,False,5,64.8662432461576,7.46805686953067e-05,
252,2,15,2024-03-05,2025-03-19,2025-03-19,True,False,5,64.94601190562958,8.587841506901839e-05,
252,3,16,2024-04-02,2025-04-17,2025-04-17,True,False,5,64.66758709775866,8.218827287365116e-05,
252,4,17,2024-05-07,2025-05-20,2025-05-20,True,False,5,64.61794939810753,9.90030148484422e-05,
252,5,18,2024-06-04,2025-06-18,2025-06-18,True,False,6,64.61224646095391,-2.843137279118224e-05,
252,6,19,2024-07-03,2025-07-16,2025-07-16,True,False,6,64.55638632821261,9.322918481569076e-05,
252,7,20,2024-07-31,2025-08-13,2025-08-13,True,False,6,64.6076528637273,4.425716072553598e-05,
252,8,21,2024-08-28,2025-09-10,2025-09-10,True,False,5,64.67343311166725,8.312651842778962e-05,
252,9,22,2024-09-27,2025-10-16,2025-10-16,True,False,3,65.0542322863772,4.562948598518801e-05,
252,10,23,2024-11-01,2025-11-13,2025-11-13,True,False,4,66.21697248335585,-6.35410959635152e-05,
252,11,24,2024-11-29,2025-12-11,2025-12-11,True,False,4,66.68759753148052,-3.2992183812918796e-05,
252,12,25,2024-12-27,2026-01-12,2026-01-12,True,False,4,66.90863410034738,-2.2799954890295737e-05,
252,13,26,2025-01-27,2026-02-09,2026-02-09,True,False,4,67.12501730205594,-3.885883059240314e-05,
252,14,27,2025-03-04,2026-03-17,2026-03-17,True,False,4,67.11964339333733,-8.116290707071983e-05,
252,15,28,2025-04-01,2026-04-15,2026-04-15,True,False,4,67.08090084624007,-7.700290453760417e-05,
252,16,29,2025-04-30,2026-05-18,2026-05-18,True,False,4,67.72981750249805,-5.434586423325172e-05,
252,17,30,2025-06-03,2026-06-15,2026-06-15,True,False,4,67.80076337234239,-7.005148858230115e-05,
252,18,31,2025-07-01,2026-07-14,2026-07-14,True,False,4,67.58471796166812,-9.319045283584515e-05,
504,1,14,2023-01-16,2025-02-19,2025-02-19,True,False,4,65.90041667339943,6.53386437354797e-05,
504,2,15,2023-02-20,2025-03-19,2025-03-19,True,False,4,65.84309196636077,6.94751916077152e-05,
504,3,16,2023-03-20,2025-04-17,2025-04-17,True,False,2,65.7675873175767,-3.1185093222418914e-05,
504,4,17,2023-04-18,2025-05-20,2025-05-20,True,False,2,65.70642048761803,-5.528220050887711e-05,
504,5,18,2023-05-19,2025-06-18,2025-06-18,True,False,4,65.54857557704186,7.798782041668062e-05,
504,6,19,2023-06-16,2025-07-16,2025-07-16,True,False,4,65.51205088702629,5.378588813087504e-05,
504,7,20,2023-07-18,2025-08-13,2025-08-13,True,False,4,65.54803358124647,4.415351914222043e-05,
504,8,21,2023-08-15,2025-09-10,2025-09-10,True,False,2,65.6751194079745,4.978511594622148e-05,
504,9,22,2023-09-12,2025-10-16,2025-10-16,True,False,5,65.70603529898999,3.394284728042152e-05,
504,10,23,2023-10-18,2025-11-13,2025-11-13,True,False,4,65.77211825744935,7.911403475713286e-05,
504,11,24,2023-11-15,2025-12-11,2025-12-11,True,False,5,65.76779705733895,5.329793163522112e-05,
504,12,25,2023-12-13,2026-01-12,2026-01-12,True,False,5,65.80281866210132,6.606267464093207e-05,
504,13,26,2024-01-11,2026-02-09,2026-02-09,True,False,5,65.91121937109767,2.8914196103180245e-05,
504,14,27,2024-02-08,2026-03-17,2026-03-17,True,False,5,65.98113370441901,1.9339887822766855e-05,
504,15,28,2024-03-15,2026-04-15,2026-04-15,True,False,4,65.95934735996595,4.0415403167237685e-05,
504,16,29,2024-04-16,2026-05-18,2026-05-18,True,False,4,66.0764488971273,-7.830227060523498e-06,
504,17,30,2024-05-17,2026-06-15,2026-06-15,True,False,3,66.19995421718245,-6.694255661088278e-05,
504,18,31,2024-06-17,2026-07-14,2026-07-14,True,False,5,66.22422471639419,-2.768529041041745e-05,
