window_size,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,windows_selected,total_windows,mean_partial_all_windows,mean_abs_partial_all_windows,persistence,mean_partial_when_selected,mean_abs_partial_when_selected
126,000001,平安银行,银行,000568,泸州老窖,食品饮料,False,9,18,0.016306664846776984,0.016306664846776984,0.5,0.03261332969355397,0.03261332969355397
126,000001,平安银行,银行,000725,京东方A,电子,False,10,18,0.03238163565505564,0.03238163565505564,0.5555555555555556,0.05828694417910015,0.05828694417910015
126,000001,平安银行,银行,000858,五粮液,食品饮料,False,10,18,0.029183628177878815,0.029183628177878815,0.5555555555555556,0.052530530720181864,0.052530530720181864
126,000001,平安银行,银行,002415,海康威视,电子,False,1,18,0.00032145977596384246,0.00032145977596384246,0.05555555555555555,0.005786275967349164,0.005786275967349164
126,000001,平安银行,银行,002460,赣锋锂业,新能源,False,0,18,0.0,0.0,0.0,,
126,000001,平安银行,银行,002475,立讯精密,电子,False,1,18,0.0002820190420173253,0.0002820190420173253,0.05555555555555555,0.005076342756311856,0.005076342756311856
126,000001,平安银行,银行,600030,中信证券,非银金融,False,8,18,0.01989412634468984,0.01989412634468984,0.4444444444444444,0.04476178427555214,0.04476178427555214
126,000001,平安银行,银行,600036,招商银行,银行,True,18,18,0.27999712366176066,0.27999712366176066,1.0,0.27999712366176066,0.27999712366176066
126,000001,平安银行,银行,600519,贵州茅台,食品饮料,False,3,18,0.003346455631525875,0.003346455631525875,0.16666666666666666,0.02007873378915525,0.02007873378915525
126,000001,平安银行,银行,600887,伊利股份,食品饮料,False,15,18,0.05255838125003378,0.05255838125003378,0.8333333333333334,0.06307005750004054,0.06307005750004054
126,000001,平安银行,银行,601288,农业银行,银行,True,15,18,0.07321611004553669,0.07321611004553669,0.8333333333333334,0.08785933205464404,0.08785933205464404
126,000001,平安银行,银行,601318,中国平安,非银金融,False,18,18,0.19983801747859173,0.19983801747859173,1.0,0.19983801747859173,0.19983801747859173
126,000001,平安银行,银行,601398,工商银行,银行,True,15,18,0.07595516698136959,0.07595516698136959,0.8333333333333334,0.09114620037764351,0.09114620037764351
126,000001,平安银行,银行,603501,韦尔股份,电子,False,0,18,0.0,0.0,0.0,,
126,000568,泸州老窖,食品饮料,000725,京东方A,电子,False,4,18,0.003538257805706004,0.003538257805706004,0.2222222222222222,0.01592216012567702,0.01592216012567702
126,000568,泸州老窖,食品饮料,000858,五粮液,食品饮料,True,18,18,0.42330773742164296,0.42330773742164296,1.0,0.42330773742164296,0.42330773742164296
126,000568,泸州老窖,食品饮料,002415,海康威视,电子,False,2,18,0.005044294512627937,0.005044294512627937,0.1111111111111111,0.045398650613651434,0.045398650613651434
126,000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,False,6,18,0.012115300772682434,0.012115300772682434,0.3333333333333333,0.0363459023180473,0.0363459023180473
126,000568,泸州老窖,食品饮料,002475,立讯精密,电子,False,0,18,0.0,0.0,0.0,,
126,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,False,9,18,0.02602003744549569,0.02602003744549569,0.5,0.05204007489099138,0.05204007489099138
126,000568,泸州老窖,食品饮料,600036,招商银行,银行,False,3,18,0.003284315728123519,0.003284315728123519,0.16666666666666666,0.019705894368741112,0.019705894368741112
126,000568,泸州老窖,食品饮料,600519,贵州茅台,食品饮料,True,18,18,0.22446510926909402,0.22446510926909402,1.0,0.22446510926909402,0.22446510926909402
126,000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,True,18,18,0.10222509354600877,0.10222509354600877,1.0,0.10222509354600877,0.10222509354600877
126,000568,泸州老窖,食品饮料,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
126,000568,泸州老窖,食品饮料,601318,中国平安,非银金融,False,10,18,0.02998291647145081,0.02998291647145081,0.5555555555555556,0.05396924964861146,0.05396924964861146
126,000568,泸州老窖,食品饮料,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
126,000568,泸州老窖,食品饮料,603501,韦尔股份,电子,False,0,18,0.0,0.0,0.0,,
126,000725,京东方A,电子,000858,五粮液,食品饮料,False,3,18,0.004108877024420365,0.004108877024420365,0.16666666666666666,0.024653262146522192,0.024653262146522192
126,000725,京东方A,电子,002415,海康威视,电子,True,17,18,0.16956403346706173,0.16956403346706173,0.9444444444444444,0.17953838837688887,0.17953838837688887
126,000725,京东方A,电子,002460,赣锋锂业,新能源,False,13,18,0.0629463086838334,0.0629463086838334,0.7222222222222222,0.08715642740838471,0.08715642740838471
126,000725,京东方A,电子,002475,立讯精密,电子,True,15,18,0.13301878031417066,0.13301878031417066,0.8333333333333334,0.1596225363770048,0.1596225363770048
126,000725,京东方A,电子,600030,中信证券,非银金融,False,16,18,0.16006236318687891,0.16006236318687891,0.8888888888888888,0.18007015858523878,0.18007015858523878
126,000725,京东方A,电子,600036,招商银行,银行,False,0,18,0.0,0.0,0.0,,
126,000725,京东方A,电子,600519,贵州茅台,食品饮料,False,0,18,0.0,0.0,0.0,,
126,000725,京东方A,电子,600887,伊利股份,食品饮料,False,4,18,0.006802807498353134,0.006802807498353134,0.2222222222222222,0.030612633742589105,0.030612633742589105
126,000725,京东方A,电子,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
126,000725,京东方A,电子,601318,中国平安,非银金融,False,10,18,0.01625405720405244,0.01625405720405244,0.5555555555555556,0.02925730296729439,0.02925730296729439
126,000725,京东方A,电子,601398,工商银行,银行,False,1,18,-0.002631285007180543,0.002631285007180543,0.05555555555555555,-0.04736313012924978,0.04736313012924978
126,000725,京东方A,电子,603501,韦尔股份,电子,True,18,18,0.10337183386605525,0.10337183386605525,1.0,0.10337183386605525,0.10337183386605525
126,000858,五粮液,食品饮料,002415,海康威视,电子,False,7,18,0.009221394233799257,0.009221394233799257,0.3888888888888889,0.023712156601198086,0.023712156601198086
126,000858,五粮液,食品饮料,002460,赣锋锂业,新能源,False,7,18,0.01597951277934342,0.01597951277934342,0.3888888888888889,0.04109017571831165,0.04109017571831165
126,000858,五粮液,食品饮料,002475,立讯精密,电子,False,2,18,0.0034509038568031423,0.0034509038568031423,0.1111111111111111,0.03105813471122828,0.03105813471122828
126,000858,五粮液,食品饮料,600030,中信证券,非银金融,False,14,18,0.029743520802456062,0.029743520802456062,0.7777777777777778,0.038241669603157794,0.038241669603157794
126,000858,五粮液,食品饮料,600036,招商银行,银行,False,1,18,0.001052836124307334,0.001052836124307334,0.05555555555555555,0.018951050237532015,0.018951050237532015
126,000858,五粮液,食品饮料,600519,贵州茅台,食品饮料,True,18,18,0.31459635429206445,0.31459635429206445,1.0,0.31459635429206445,0.31459635429206445
126,000858,五粮液,食品饮料,600887,伊利股份,食品饮料,True,18,18,0.1351608009175039,0.1351608009175039,1.0,0.1351608009175039,0.1351608009175039
126,000858,五粮液,食品饮料,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
126,000858,五粮液,食品饮料,601318,中国平安,非银金融,False,13,18,0.06700825436150393,0.06700825436150393,0.7222222222222222,0.09278065988515928,0.09278065988515928
126,000858,五粮液,食品饮料,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
126,000858,五粮液,食品饮料,603501,韦尔股份,电子,False,0,18,0.0,0.0,0.0,,
126,002415,海康威视,电子,002460,赣锋锂业,新能源,False,18,18,0.0796127066472429,0.0796127066472429,1.0,0.0796127066472429,0.0796127066472429
126,002415,海康威视,电子,002475,立讯精密,电子,True,13,18,0.034767467799300476,0.034767467799300476,0.7222222222222222,0.048139570799031424,0.048139570799031424
126,002415,海康威视,电子,600030,中信证券,非银金融,False,18,18,0.09176208849584427,0.09176208849584427,1.0,0.09176208849584427,0.09176208849584427
126,002415,海康威视,电子,600036,招商银行,银行,False,1,18,0.0003740537231990842,0.0003740537231990842,0.05555555555555555,0.006732967017583515,0.006732967017583515
126,002415,海康威视,电子,600519,贵州茅台,食品饮料,False,5,18,0.009343326886574983,0.009343326886574983,0.2777777777777778,0.033635976791669936,0.033635976791669936
126,002415,海康威视,电子,600887,伊利股份,食品饮料,False,7,18,0.01312376596740864,0.01312376596740864,0.3888888888888889,0.0337468267733365,0.0337468267733365
126,002415,海康威视,电子,601288,农业银行,银行,False,0,18,0.0,0.0,0.0,,
126,002415,海康威视,电子,601318,中国平安,非银金融,False,8,18,0.038780174811474576,0.038780174811474576,0.4444444444444444,0.08725539332581779,0.08725539332581779
126,002415,海康威视,电子,601398,工商银行,银行,False,0,18,0.0,0.0,0.0,,
