window_size,sensitivity_window_id,baseline_window_id,window_start,window_end,network_date,alpha,n_observations,n_nodes,n_edges,density,mean_degree,max_degree,n_components,n_isolated,mean_abs_partial,median_abs_partial,same_industry_edges,cross_industry_edges,same_industry_edge_ratio
126,1,14,2024-08-08,2025-02-19,2025-02-19,0.2169100494343441,126,15,60,0.5714285714285714,8.0,10,1,0,0.10938054697714555,0.0620122042014158,19,41,0.31666666666666665
126,2,15,2024-09-05,2025-03-19,2025-03-19,0.2169100494343441,126,15,56,0.5333333333333333,7.466666666666667,10,1,0,0.1161860659538682,0.07218691495879417,19,37,0.3392857142857143
126,3,16,2024-10-14,2025-04-17,2025-04-17,0.2169100494343441,126,15,48,0.45714285714285713,6.4,10,1,0,0.12957692557304473,0.1044547470840104,19,29,0.3958333333333333
126,4,17,2024-11-11,2025-05-20,2025-05-20,0.2169100494343441,126,15,43,0.4095238095238095,5.733333333333333,10,1,0,0.14278408634784648,0.11273364962679218,18,25,0.4186046511627907
126,5,18,2024-12-09,2025-06-18,2025-06-18,0.2169100494343441,126,15,45,0.42857142857142855,6.0,11,1,0,0.13517628524178862,0.10355095009982015,17,28,0.37777777777777777
126,6,19,2025-01-07,2025-07-16,2025-07-16,0.2169100494343441,126,15,42,0.4,5.6,9,1,0,0.140274130722003,0.13534090556228898,18,24,0.42857142857142855
126,7,20,2025-02-12,2025-08-13,2025-08-13,0.2169100494343441,126,15,41,0.3904761904761905,5.466666666666667,9,1,0,0.14077516928267012,0.12335821191677208,18,23,0.43902439024390244
126,8,21,2025-03-12,2025-09-10,2025-09-10,0.2169100494343441,126,15,46,0.4380952380952381,6.133333333333334,9,1,0,0.1292696200343022,0.11541981891945752,19,27,0.41304347826086957
126,9,22,2025-04-10,2025-10-16,2025-10-16,0.2169100494343441,126,15,41,0.3904761904761905,5.466666666666667,7,1,0,0.12891456007120072,0.09156536962304418,19,22,0.4634146341463415
126,10,23,2025-05-13,2025-11-13,2025-11-13,0.2169100494343441,126,15,40,0.38095238095238093,5.333333333333333,7,1,0,0.1324261714521525,0.08280798865443509,18,22,0.45
126,11,24,2025-06-11,2025-12-11,2025-12-11,0.2169100494343441,126,15,45,0.42857142857142855,6.0,7,1,0,0.1132471318756296,0.06590427787883511,19,26,0.4222222222222222
126,12,25,2025-07-09,2026-01-12,2026-01-12,0.2169100494343441,126,15,43,0.4095238095238095,5.733333333333333,9,1,0,0.11866078371650658,0.07324296653113595,17,26,0.3953488372093023
