window_size,window_from,window_to,date_to,edges_from,edges_to,common_edges,lost_edges,gained_edges,gross_edge_changes,net_edge_change,jaccard,turnover,lost_same_industry,lost_cross_industry,gained_same_industry,gained_cross_industry
126,1,2,2025-03-19,60,56,53,7,3,10,-4,0.8412698412698413,0.15873015873015872,0,7,0,3
126,2,3,2025-04-17,56,48,46,10,2,12,-8,0.7931034482758621,0.2068965517241379,0,10,0,2
126,3,4,2025-05-20,48,43,42,6,1,7,-5,0.8571428571428571,0.1428571428571429,1,5,0,1
126,4,5,2025-06-18,43,45,41,2,4,6,2,0.8723404255319149,0.12765957446808507,1,1,0,4
126,5,6,2025-07-16,45,42,39,6,3,9,-3,0.8125,0.1875,0,6,1,2
126,6,7,2025-08-13,42,41,38,4,3,7,-1,0.8444444444444444,0.15555555555555556,0,4,0,3
126,7,8,2025-09-10,41,46,36,5,10,15,5,0.7058823529411765,0.2941176470588235,0,5,1,9
126,8,9,2025-10-16,46,41,35,11,6,17,-5,0.6730769230769231,0.32692307692307687,0,11,0,6
126,9,10,2025-11-13,41,40,37,4,3,7,-1,0.8409090909090909,0.15909090909090906,1,3,0,3
126,10,11,2025-12-11,40,45,37,3,8,11,5,0.7708333333333334,0.22916666666666663,0,3,1,7
126,11,12,2026-01-12,45,43,39,6,4,10,-2,0.7959183673469388,0.20408163265306123,2,4,0,4
126,12,13,2026-02-09,43,40,38,5,2,7,-3,0.8444444444444444,0.15555555555555556,1,4,0,2
126,13,14,2026-03-17,40,41,37,3,4,7,1,0.8409090909090909,0.15909090909090906,0,3,0,4
126,14,15,2026-04-15,41,39,36,5,3,8,-2,0.8181818181818182,0.18181818181818177,1,4,2,1
126,15,16,2026-05-18,39,45,35,4,10,14,6,0.7142857142857143,0.2857142857142857,0,4,2,8
126,16,17,2026-06-15,45,39,38,7,1,8,-6,0.8260869565217391,0.17391304347826086,2,5,0,1
126,17,18,2026-07-14,39,41,36,3,5,8,2,0.8181818181818182,0.18181818181818177,0,3,1,4
252,1,2,2025-03-19,57,56,55,2,1,3,-1,0.9482758620689655,0.051724137931034475,0,2,0,1
252,2,3,2025-04-17,56,54,54,2,0,2,-2,0.9642857142857143,0.0357142857142857,0,2,0,0
252,3,4,2025-05-20,54,55,54,0,1,1,1,0.9818181818181818,0.018181818181818188,0,0,0,1
252,4,5,2025-06-18,55,54,54,1,0,1,-1,0.9818181818181818,0.018181818181818188,0,1,0,0
252,5,6,2025-07-16,54,54,53,1,1,2,0,0.9636363636363636,0.036363636363636376,0,1,0,1
252,6,7,2025-08-13,54,55,53,1,2,3,1,0.9464285714285714,0.0535714285714286,0,1,0,2
252,7,8,2025-09-10,55,54,54,1,0,1,-1,0.9818181818181818,0.018181818181818188,0,1,0,0
252,8,9,2025-10-16,54,54,51,3,3,6,0,0.8947368421052632,0.10526315789473684,0,3,0,3
252,9,10,2025-11-13,54,44,44,10,0,10,-10,0.8148148148148148,0.18518518518518523,1,9,0,0
252,10,11,2025-12-11,44,42,40,4,2,6,-2,0.8695652173913043,0.13043478260869568,0,4,1,1
252,11,12,2026-01-12,42,42,40,2,2,4,0,0.9090909090909091,0.09090909090909094,0,2,0,2
252,12,13,2026-02-09,42,40,38,4,2,6,-2,0.8636363636363636,0.13636363636363635,1,3,0,2
252,13,14,2026-03-17,40,44,39,1,5,6,4,0.8666666666666667,0.1333333333333333,0,1,1,4
252,14,15,2026-04-15,44,45,42,2,3,5,1,0.8936170212765957,0.1063829787234043,0,2,0,3
252,15,16,2026-05-18,45,42,39,6,3,9,-3,0.8125,0.1875,0,6,0,3
252,16,17,2026-06-15,42,41,39,3,2,5,-1,0.8863636363636364,0.11363636363636365,0,3,0,2
252,17,18,2026-07-14,41,40,39,2,1,3,-1,0.9285714285714286,0.0714285714285714,1,1,0,1
504,1,2,2025-03-19,58,58,57,1,1,2,0,0.9661016949152542,0.03389830508474578,0,1,0,1
504,2,3,2025-04-17,58,57,57,1,0,1,-1,0.9827586206896551,0.017241379310344862,0,1,0,0
504,3,4,2025-05-20,57,59,57,0,2,2,2,0.9661016949152542,0.03389830508474578,0,0,0,2
504,4,5,2025-06-18,59,54,52,7,2,9,-5,0.8524590163934426,0.14754098360655743,0,7,0,2
504,5,6,2025-07-16,54,56,54,0,2,2,2,0.9642857142857143,0.0357142857142857,0,0,0,2
504,6,7,2025-08-13,56,56,56,0,0,0,0,1.0,0.0,0,0,0,0
504,7,8,2025-09-10,56,55,55,1,0,1,-1,0.9821428571428571,0.017857142857142905,0,1,0,0
504,8,9,2025-10-16,55,51,50,5,1,6,-4,0.8928571428571429,0.1071428571428571,0,5,0,1
504,9,10,2025-11-13,51,52,51,0,1,1,1,0.9807692307692307,0.019230769230769273,0,0,0,1
504,10,11,2025-12-11,52,52,50,2,2,4,0,0.9259259259259259,0.07407407407407407,0,2,0,2
504,11,12,2026-01-12,52,53,52,0,1,1,1,0.9811320754716981,0.018867924528301883,0,0,0,1
504,12,13,2026-02-09,53,54,53,0,1,1,1,0.9814814814814815,0.01851851851851849,0,0,0,1
504,13,14,2026-03-17,54,55,53,1,2,3,1,0.9464285714285714,0.0535714285714286,0,1,0,2
504,14,15,2026-04-15,55,55,55,0,0,0,0,1.0,0.0,0,0,0,0
504,15,16,2026-05-18,55,55,54,1,1,2,0,0.9642857142857143,0.0357142857142857,0,1,0,1
504,16,17,2026-06-15,55,55,54,1,1,2,0,0.9642857142857143,0.0357142857142857,0,1,0,1
504,17,18,2026-07-14,55,50,50,5,0,5,-5,0.9090909090909091,0.09090909090909094,0,5,0,0
