stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,industry_relation,persistence_before,core_before,always_before,mean_abs_partial_before,persistence_after,core_after,always_after,mean_abs_partial_after,delta_persistence,abs_delta_persistence,core_transition,regime_before,regime_after
000001,000568,平安银行,泸州老窖,银行,食品饮料,False,Cross industry,0.8571428571428571,True,False,0.01572090875903897,1.0,True,True,0.04260841977224478,0.1428571428571429,0.1428571428571429,Persistent core,1,2
000001,000725,平安银行,京东方A,银行,电子,False,Cross industry,0.0,False,False,,0.8,True,False,0.052247420712052434,0.8,0.8,Gained core,1,2
000001,000858,平安银行,五粮液,银行,食品饮料,False,Cross industry,1.0,True,True,0.07641040442756657,1.0,True,True,0.07235079853733636,0.0,0.0,Persistent core,1,2
000001,002415,平安银行,海康威视,银行,电子,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
000001,002460,平安银行,赣锋锂业,银行,新能源,False,Cross industry,0.7142857142857143,False,False,0.01785356033049504,0.2,False,False,0.001477287213686,-0.5142857142857142,0.5142857142857142,Non-core both,1,2
000001,002475,平安银行,立讯精密,银行,电子,False,Cross industry,0.0,False,False,,0.0,False,False,,0.0,0.0,Non-core both,1,2
000001,600030,平安银行,中信证券,银行,非银金融,False,Cross industry,1.0,True,True,0.13628111477074115,0.4,False,False,0.02529315469899555,-0.6,0.6,Lost core,1,2
000001,600036,平安银行,招商银行,银行,银行,True,Same industry,1.0,True,True,0.38422658790493625,1.0,True,True,0.38230992773431605,0.0,0.0,Persistent core,1,2
000001,600519,平安银行,贵州茅台,银行,食品饮料,False,Cross industry,0.14285714285714285,False,False,0.0198968882834599,0.0,False,False,,-0.14285714285714285,0.14285714285714285,Non-core both,1,2
000001,600887,平安银行,伊利股份,银行,食品饮料,False,Cross industry,1.0,True,True,0.07241253815806693,1.0,True,True,0.04210103394520394,0.0,0.0,Persistent core,1,2
000001,601288,平安银行,农业银行,银行,银行,True,Same industry,0.14285714285714285,False,False,0.006902198438412,0.0,False,False,,-0.14285714285714285,0.14285714285714285,Non-core both,1,2
000001,601318,平安银行,中国平安,银行,非银金融,False,Cross industry,1.0,True,True,0.22477689647676075,1.0,True,True,0.24129506107634652,0.0,0.0,Persistent core,1,2
000001,601398,平安银行,工商银行,银行,银行,True,Same industry,1.0,True,True,0.06230378234227991,1.0,True,True,0.02777012192802756,0.0,0.0,Persistent core,1,2
