window_id,window_start,network_date,edge_count,density,mean_abs_partial,median_abs_partial,total_abs_partial,same_edges,cross_edges,same_industry_ratio,cross_industry_ratio,mean_abs_partial_same,mean_abs_partial_cross,positive_edges,negative_edges,edge_count_change,common_edges,lost_edges,gained_edges,gross_edge_changes,jaccard,turnover,lost_same,gained_same,lost_cross,gained_cross,same_edge_changes,cross_edge_changes,cross_change_share,edge_count_z,density_z,mean_abs_partial_z,same_edges_z,cross_edges_z,same_industry_ratio_z,turnover_z,gross_edge_changes_z,high_turnover_z1,high_turnover_z1_5,high_gross_change_z1
1,2023-01-04,2024-01-16,52,0.49523809523809526,0.10278445395627199,0.05508464519379755,5.344791605726144,18,34,0.34615384615384615,0.6538461538461539,0.19723748431269084,0.05277990847346199,52,0,,,,,,,,,,,,,,,0.26721833051682975,0.26721833051682903,-1.5471908785811561,-0.5089438709451506,0.3256495829358838,-0.46062045027411447,,,False,False,False
2,2023-02-08,2024-02-21,51,0.4857142857142857,0.10695086063041571,0.0724822811087731,5.454493892151201,18,33,0.35294117647058826,0.6470588235294118,0.1975377773139065,0.05753981516669347,51,0,-1.0,46.0,6.0,5.0,11.0,0.8070175438596491,0.19298245614035092,0.0,0.0,6.0,5.0,0.0,11.0,1.0,0.09096794230360157,0.09096794230360038,-1.0434822634532424,-0.5089438709451506,0.15454556478313153,-0.32657823514949724,1.6434365343403903,1.8197448612917202,True,True,True
3,2023-03-08,2024-03-20,52,0.49523809523809526,0.10542784144798034,0.07148005296319254,5.482247755294978,18,34,0.34615384615384615,0.6538461538461539,0.19630110410865617,0.05731846709821076,52,0,1.0,47.0,4.0,5.0,9.0,0.8392857142857143,0.1607142857142857,0.0,0.0,4.0,5.0,0.0,9.0,1.0,0.26721833051682975,0.26721833051682903,-1.2276116447636818,-0.5089438709451506,0.3256495829358838,-0.46062045027411447,1.0765051468734423,1.184950142236469,True,False,True
4,2023-04-06,2024-04-19,51,0.4857142857142857,0.10827073555508328,0.068697413732943,5.5218075133092475,19,32,0.37254901960784315,0.6274509803921569,0.18305122895982898,0.06386981759601554,51,0,-1.0,49.0,3.0,2.0,5.0,0.9074074074074074,0.09259259259259256,0.0,1.0,3.0,1.0,1.0,4.0,0.8,0.09096794230360157,0.09096794230360038,-0.8839125376815752,0.8058277956631562,-0.016558453369620717,0.060654830766061665,-0.12035000444566799,-0.08463929587403347,False,False,False
5,2023-05-09,2024-05-22,55,0.5238095238095238,0.10157893837517454,0.0692980741270313,5.5868416106345995,18,37,0.32727272727272727,0.6727272727272727,0.18649525781401868,0.0602682964860071,55,0,4.0,49.0,2.0,6.0,8.0,0.8596491228070176,0.14035087719298245,1.0,0.0,1.0,6.0,1.0,7.0,0.875,0.7959694951565144,0.7959694951565138,-1.6929348328711,-0.5089438709451506,0.8389616373941405,-0.833501521438957,0.7187329120642042,0.8675527827088434,False,False,False
6,2023-06-06,2024-06-20,51,0.4857142857142857,0.11043653031773802,0.0802872862905601,5.632263046204639,18,33,0.35294117647058826,0.6470588235294118,0.18629505386621517,0.06905915383675047,51,0,-4.0,50.0,5.0,1.0,6.0,0.8928571428571429,0.1071428571428571,0.0,0.0,5.0,1.0,0.0,6.0,1.0,0.09096794230360157,0.09096794230360038,-0.6220731240404869,-0.5089438709451506,0.15454556478313153,-0.32657823514949724,0.13528895991375334,0.23275806365359214,False,False,False
7,2023-07-06,2024-07-18,51,0.4857142857142857,0.10987519397255241,0.0686494192322281,5.603634892600173,18,33,0.35294117647058826,0.6470588235294118,0.18352515679919376,0.06970248697620253,51,0,0.0,49.0,2.0,2.0,4.0,0.9245283018867925,0.07547169811320753,0.0,0.0,2.0,2.0,0.0,4.0,1.0,0.09096794230360157,0.09096794230360038,-0.6899373473792995,-0.5089438709451506,0.15454556478313153,-0.32657823514949724,-0.42115331413788587,-0.40203665540165906,False,False,False
8,2023-08-03,2024-08-15,53,0.5047619047619047,0.10816841709601675,0.0676287902973079,5.732926106088888,17,36,0.32075471698113206,0.6792452830188679,0.20402675581837507,0.06290197936601422,51,2,2.0,48.0,3.0,5.0,8.0,0.8571428571428571,0.1428571428571429,1.0,0.0,2.0,5.0,1.0,7.0,0.875,0.44346871873005794,0.4434687187300566,-0.8962825949873743,-1.8237155375534573,0.6678576192413883,-0.9622249659920197,0.7627664178868807,0.8675527827088434,False,False,False
9,2023-08-31,2024-09-12,54,0.5142857142857142,0.10561237319827929,0.07252236266448485,5.703068152707082,17,37,0.3148148148148148,0.6851851851851852,0.20474667324938486,0.06006418128290645,51,3,1.0,48.0,5.0,6.0,11.0,0.8135593220338984,0.18644067796610164,0.0,0.0,5.0,6.0,0.0,11.0,1.0,0.6197191069432861,0.6197191069432842,-1.205302196920519,-1.8237155375534573,0.8389616373941405,-1.0795314188741958,1.528501620837134,1.8197448612917202,True,True,True
10,2023-09-28,2024-10-21,55,0.5238095238095238,0.11355905293068218,0.0673525531767186,6.24574791118752,17,38,0.3090909090909091,0.6909090909090909,0.2121913894452965,0.06943406027940734,53,2,1.0,49.0,5.0,6.0,11.0,0.8166666666666667,0.18333333333333335,0.0,0.0,5.0,6.0,0.0,11.0,1.0,0.7959694951565144,0.7959694951565138,-0.2445675985159185,-1.8237155375534573,1.0100656555468928,-1.1925721825606574,1.4739075369230892,1.8197448612917202,True,False,True
