window_from,window_to,network_date,previous_edge_count,current_edge_count,edge_count_change,common_edges,lost_edges,gained_edges,gross_edge_changes,jaccard,turnover,lost_same,gained_same,lost_cross,gained_cross,same_edge_changes,cross_edge_changes,cross_change_share
1,2,2024-02-21,52,51,-1,46,6,5,11,0.8070175438596491,0.19298245614035092,0,0,6,5,0,11,1.0
2,3,2024-03-20,51,52,1,47,4,5,9,0.8392857142857143,0.1607142857142857,0,0,4,5,0,9,1.0
3,4,2024-04-19,52,51,-1,49,3,2,5,0.9074074074074074,0.09259259259259256,0,1,3,1,1,4,0.8
4,5,2024-05-22,51,55,4,49,2,6,8,0.8596491228070176,0.14035087719298245,1,0,1,6,1,7,0.875
5,6,2024-06-20,55,51,-4,50,5,1,6,0.8928571428571429,0.1071428571428571,0,0,5,1,0,6,1.0
6,7,2024-07-18,51,51,0,49,2,2,4,0.9245283018867925,0.07547169811320753,0,0,2,2,0,4,1.0
7,8,2024-08-15,51,53,2,48,3,5,8,0.8571428571428571,0.1428571428571429,1,0,2,5,1,7,0.875
8,9,2024-09-12,53,54,1,48,5,6,11,0.8135593220338984,0.18644067796610164,0,0,5,6,0,11,1.0
9,10,2024-10-21,54,55,1,49,5,6,11,0.8166666666666667,0.18333333333333335,0,0,5,6,0,11,1.0
10,11,2024-11-18,55,56,1,54,1,2,3,0.9473684210526315,0.052631578947368474,0,0,1,2,0,3,1.0
11,12,2024-12-16,56,54,-2,54,2,0,2,0.9642857142857143,0.0357142857142857,0,0,2,0,0,2,1.0
12,13,2025-01-14,54,57,3,53,1,4,5,0.9137931034482759,0.08620689655172409,0,2,1,2,2,3,0.6
13,14,2025-02-19,57,57,0,56,1,1,2,0.9655172413793104,0.03448275862068961,0,0,1,1,0,2,1.0
14,15,2025-03-19,57,56,-1,55,2,1,3,0.9482758620689655,0.051724137931034475,0,0,2,1,0,3,1.0
15,16,2025-04-17,56,54,-2,54,2,0,2,0.9642857142857143,0.0357142857142857,0,0,2,0,0,2,1.0
16,17,2025-05-20,54,55,1,54,0,1,1,0.9818181818181818,0.018181818181818188,0,0,0,1,0,1,1.0
17,18,2025-06-18,55,54,-1,54,1,0,1,0.9818181818181818,0.018181818181818188,0,0,1,0,0,1,1.0
18,19,2025-07-16,54,54,0,53,1,1,2,0.9636363636363636,0.036363636363636376,0,0,1,1,0,2,1.0
19,20,2025-08-13,54,55,1,53,1,2,3,0.9464285714285714,0.0535714285714286,0,0,1,2,0,3,1.0
20,21,2025-09-10,55,54,-1,54,1,0,1,0.9818181818181818,0.018181818181818188,0,0,1,0,0,1,1.0
21,22,2025-10-16,54,54,0,51,3,3,6,0.8947368421052632,0.10526315789473684,0,0,3,3,0,6,1.0
22,23,2025-11-13,54,44,-10,44,10,0,10,0.8148148148148148,0.18518518518518523,1,0,9,0,1,9,0.9
23,24,2025-12-11,44,42,-2,40,4,2,6,0.8695652173913043,0.13043478260869568,0,1,4,1,1,5,0.8333333333333334
24,25,2026-01-12,42,42,0,40,2,2,4,0.9090909090909091,0.09090909090909094,0,0,2,2,0,4,1.0
25,26,2026-02-09,42,40,-2,38,4,2,6,0.8636363636363636,0.13636363636363635,1,0,3,2,1,5,0.8333333333333334
26,27,2026-03-17,40,44,4,39,1,5,6,0.8666666666666667,0.1333333333333333,0,1,1,4,1,5,0.8333333333333334
27,28,2026-04-15,44,45,1,42,2,3,5,0.8936170212765957,0.1063829787234043,0,0,2,3,0,5,1.0
28,29,2026-05-18,45,42,-3,39,6,3,9,0.8125,0.1875,0,0,6,3,0,9,1.0
29,30,2026-06-15,42,41,-1,39,3,2,5,0.8863636363636364,0.11363636363636365,0,0,3,2,0,5,1.0
30,31,2026-07-14,41,40,-1,39,2,1,3,0.9285714285714286,0.0714285714285714,1,0,1,1,1,2,0.6666666666666666
