method,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,n_windows,windows_selected,persistence,persistent_08,always_selected
Density-matched Partial,000001,平安银行,银行,000568,泸州老窖,食品饮料,False,31,12,0.3870967741935484,False,False
Density-matched Partial,000001,平安银行,银行,000725,京东方A,电子,False,31,19,0.6129032258064516,False,False
Density-matched Partial,000001,平安银行,银行,000858,五粮液,食品饮料,False,31,22,0.7096774193548387,False,False
Density-matched Partial,000001,平安银行,银行,002415,海康威视,电子,False,31,4,0.12903225806451613,False,False
Density-matched Partial,000001,平安银行,银行,002460,赣锋锂业,新能源,False,31,18,0.5806451612903226,False,False
Density-matched Partial,000001,平安银行,银行,002475,立讯精密,电子,False,31,0,0.0,False,False
Density-matched Partial,000001,平安银行,银行,600030,中信证券,非银金融,False,31,18,0.5806451612903226,False,False
Density-matched Partial,000001,平安银行,银行,600036,招商银行,银行,True,31,31,1.0,True,True
Density-matched Partial,000001,平安银行,银行,600519,贵州茅台,食品饮料,False,31,30,0.967741935483871,True,False
Density-matched Partial,000001,平安银行,银行,600887,伊利股份,食品饮料,False,31,23,0.7419354838709677,False,False
Density-matched Partial,000001,平安银行,银行,601288,农业银行,银行,True,31,22,0.7096774193548387,False,False
Density-matched Partial,000001,平安银行,银行,601318,中国平安,非银金融,False,31,31,1.0,True,True
Density-matched Partial,000001,平安银行,银行,601398,工商银行,银行,True,31,21,0.6774193548387096,False,False
Density-matched Partial,000001,平安银行,银行,603501,韦尔股份,电子,False,31,2,0.06451612903225806,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,000725,京东方A,电子,False,31,3,0.0967741935483871,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,000858,五粮液,食品饮料,True,31,31,1.0,True,True
Density-matched Partial,000568,泸州老窖,食品饮料,002415,海康威视,电子,False,31,7,0.22580645161290322,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,002460,赣锋锂业,新能源,False,31,15,0.4838709677419355,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,002475,立讯精密,电子,False,31,18,0.5806451612903226,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,600030,中信证券,非银金融,False,31,8,0.25806451612903225,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,600036,招商银行,银行,False,31,17,0.5483870967741935,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,600519,贵州茅台,食品饮料,True,31,30,0.967741935483871,True,False
Density-matched Partial,000568,泸州老窖,食品饮料,600887,伊利股份,食品饮料,True,31,7,0.22580645161290322,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,601288,农业银行,银行,False,31,11,0.3548387096774194,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,601318,中国平安,非银金融,False,31,18,0.5806451612903226,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,601398,工商银行,银行,False,31,16,0.5161290322580645,False,False
Density-matched Partial,000568,泸州老窖,食品饮料,603501,韦尔股份,电子,False,31,9,0.2903225806451613,False,False
Density-matched Partial,000725,京东方A,电子,000858,五粮液,食品饮料,False,31,8,0.25806451612903225,False,False
Density-matched Partial,000725,京东方A,电子,002415,海康威视,电子,True,31,30,0.967741935483871,True,False
Density-matched Partial,000725,京东方A,电子,002460,赣锋锂业,新能源,False,31,24,0.7741935483870968,False,False
Density-matched Partial,000725,京东方A,电子,002475,立讯精密,电子,True,31,27,0.8709677419354839,True,False
Density-matched Partial,000725,京东方A,电子,600030,中信证券,非银金融,False,31,16,0.5161290322580645,False,False
Density-matched Partial,000725,京东方A,电子,600036,招商银行,银行,False,31,8,0.25806451612903225,False,False
Density-matched Partial,000725,京东方A,电子,600519,贵州茅台,食品饮料,False,31,8,0.25806451612903225,False,False
Density-matched Partial,000725,京东方A,电子,600887,伊利股份,食品饮料,False,31,6,0.1935483870967742,False,False
Density-matched Partial,000725,京东方A,电子,601288,农业银行,银行,False,31,22,0.7096774193548387,False,False
Density-matched Partial,000725,京东方A,电子,601318,中国平安,非银金融,False,31,8,0.25806451612903225,False,False
Density-matched Partial,000725,京东方A,电子,601398,工商银行,银行,False,31,19,0.6129032258064516,False,False
Density-matched Partial,000725,京东方A,电子,603501,韦尔股份,电子,True,31,23,0.7419354838709677,False,False
Density-matched Partial,000858,五粮液,食品饮料,002415,海康威视,电子,False,31,11,0.3548387096774194,False,False
Density-matched Partial,000858,五粮液,食品饮料,002460,赣锋锂业,新能源,False,31,11,0.3548387096774194,False,False
Density-matched Partial,000858,五粮液,食品饮料,002475,立讯精密,电子,False,31,11,0.3548387096774194,False,False
Density-matched Partial,000858,五粮液,食品饮料,600030,中信证券,非银金融,False,31,7,0.22580645161290322,False,False
Density-matched Partial,000858,五粮液,食品饮料,600036,招商银行,银行,False,31,19,0.6129032258064516,False,False
Density-matched Partial,000858,五粮液,食品饮料,600519,贵州茅台,食品饮料,True,31,31,1.0,True,True
Density-matched Partial,000858,五粮液,食品饮料,600887,伊利股份,食品饮料,True,31,24,0.7741935483870968,False,False
Density-matched Partial,000858,五粮液,食品饮料,601288,农业银行,银行,False,31,6,0.1935483870967742,False,False
Density-matched Partial,000858,五粮液,食品饮料,601318,中国平安,非银金融,False,31,14,0.45161290322580644,False,False
Density-matched Partial,000858,五粮液,食品饮料,601398,工商银行,银行,False,31,1,0.03225806451612903,False,False
Density-matched Partial,000858,五粮液,食品饮料,603501,韦尔股份,电子,False,31,7,0.22580645161290322,False,False
Density-matched Partial,002415,海康威视,电子,002460,赣锋锂业,新能源,False,31,22,0.7096774193548387,False,False
Density-matched Partial,002415,海康威视,电子,002475,立讯精密,电子,True,31,15,0.4838709677419355,False,False
Density-matched Partial,002415,海康威视,电子,600030,中信证券,非银金融,False,31,15,0.4838709677419355,False,False
Density-matched Partial,002415,海康威视,电子,600036,招商银行,银行,False,31,6,0.1935483870967742,False,False
Density-matched Partial,002415,海康威视,电子,600519,贵州茅台,食品饮料,False,31,5,0.16129032258064516,False,False
Density-matched Partial,002415,海康威视,电子,600887,伊利股份,食品饮料,False,31,13,0.41935483870967744,False,False
Density-matched Partial,002415,海康威视,电子,601288,农业银行,银行,False,31,6,0.1935483870967742,False,False
Density-matched Partial,002415,海康威视,电子,601318,中国平安,非银金融,False,31,28,0.9032258064516129,True,False
Density-matched Partial,002415,海康威视,电子,601398,工商银行,银行,False,31,3,0.0967741935483871,False,False
Density-matched Partial,002415,海康威视,电子,603501,韦尔股份,电子,True,31,30,0.967741935483871,True,False
Density-matched Partial,002460,赣锋锂业,新能源,002475,立讯精密,电子,False,31,17,0.5483870967741935,False,False
Density-matched Partial,002460,赣锋锂业,新能源,600030,中信证券,非银金融,False,31,22,0.7096774193548387,False,False
Density-matched Partial,002460,赣锋锂业,新能源,600036,招商银行,银行,False,31,6,0.1935483870967742,False,False
Density-matched Partial,002460,赣锋锂业,新能源,600519,贵州茅台,食品饮料,False,31,1,0.03225806451612903,False,False
Density-matched Partial,002460,赣锋锂业,新能源,600887,伊利股份,食品饮料,False,31,12,0.3870967741935484,False,False
Density-matched Partial,002460,赣锋锂业,新能源,601288,农业银行,银行,False,31,13,0.41935483870967744,False,False
Density-matched Partial,002460,赣锋锂业,新能源,601318,中国平安,非银金融,False,31,9,0.2903225806451613,False,False
Density-matched Partial,002460,赣锋锂业,新能源,601398,工商银行,银行,False,31,16,0.5161290322580645,False,False
Density-matched Partial,002460,赣锋锂业,新能源,603501,韦尔股份,电子,False,31,15,0.4838709677419355,False,False
Density-matched Partial,002475,立讯精密,电子,600030,中信证券,非银金融,False,31,13,0.41935483870967744,False,False
Density-matched Partial,002475,立讯精密,电子,600036,招商银行,银行,False,31,17,0.5483870967741935,False,False
Density-matched Partial,002475,立讯精密,电子,600519,贵州茅台,食品饮料,False,31,11,0.3548387096774194,False,False
Density-matched Partial,002475,立讯精密,电子,600887,伊利股份,食品饮料,False,31,10,0.3225806451612903,False,False
Density-matched Partial,002475,立讯精密,电子,601288,农业银行,银行,False,31,7,0.22580645161290322,False,False
Density-matched Partial,002475,立讯精密,电子,601318,中国平安,非银金融,False,31,11,0.3548387096774194,False,False
Density-matched Partial,002475,立讯精密,电子,601398,工商银行,银行,False,31,4,0.12903225806451613,False,False
Density-matched Partial,002475,立讯精密,电子,603501,韦尔股份,电子,True,31,31,1.0,True,True
Density-matched Partial,600030,中信证券,非银金融,600036,招商银行,银行,False,31,14,0.45161290322580644,False,False
Density-matched Partial,600030,中信证券,非银金融,600519,贵州茅台,食品饮料,False,31,9,0.2903225806451613,False,False
Density-matched Partial,600030,中信证券,非银金融,600887,伊利股份,食品饮料,False,31,6,0.1935483870967742,False,False
Density-matched Partial,600030,中信证券,非银金融,601288,农业银行,银行,False,31,11,0.3548387096774194,False,False
