network_date,edge_count,glasso_same_edges,glasso_cross_edges,partial_same_edges,partial_cross_edges,common_edges,union_edges,edge_agreement_rate,edge_jaccard,glasso_same_ratio,partial_same_ratio
2024-01-16,52,18,34,17,35,37,67,0.7115384615384616,0.5522388059701493,0.34615384615384615,0.3269230769230769
2024-02-21,51,18,33,15,36,32,70,0.6274509803921569,0.45714285714285713,0.35294117647058826,0.29411764705882354
2024-03-20,52,18,34,15,37,30,74,0.5769230769230769,0.40540540540540543,0.34615384615384615,0.28846153846153844
2024-04-19,51,19,32,14,37,30,72,0.5882352941176471,0.4166666666666667,0.37254901960784315,0.27450980392156865
2024-05-22,55,18,37,17,38,36,74,0.6545454545454545,0.4864864864864865,0.32727272727272727,0.3090909090909091
2024-06-20,51,18,33,16,35,33,69,0.6470588235294118,0.4782608695652174,0.35294117647058826,0.3137254901960784
2024-07-18,51,18,33,15,36,34,68,0.6666666666666666,0.5,0.35294117647058826,0.29411764705882354
2024-08-15,53,17,36,16,37,35,71,0.660377358490566,0.49295774647887325,0.32075471698113206,0.3018867924528302
2024-09-12,54,17,37,16,38,37,71,0.6851851851851852,0.5211267605633803,0.3148148148148148,0.2962962962962963
2024-10-21,55,17,38,16,39,37,73,0.6727272727272727,0.5068493150684932,0.3090909090909091,0.2909090909090909
2024-11-18,56,17,39,15,41,39,73,0.6964285714285714,0.5342465753424658,0.30357142857142855,0.26785714285714285
2024-12-16,54,17,37,15,39,36,72,0.6666666666666666,0.5,0.3148148148148148,0.2777777777777778
2025-01-14,57,19,38,16,41,37,77,0.6491228070175439,0.4805194805194805,0.3333333333333333,0.2807017543859649
2025-02-19,57,19,38,15,42,33,81,0.5789473684210527,0.4074074074074074,0.3333333333333333,0.2631578947368421
2025-03-19,56,19,37,16,40,39,73,0.6964285714285714,0.5342465753424658,0.3392857142857143,0.2857142857142857
2025-04-17,54,19,35,15,39,36,72,0.6666666666666666,0.5,0.35185185185185186,0.2777777777777778
2025-05-20,55,19,36,15,40,35,75,0.6363636363636364,0.4666666666666667,0.34545454545454546,0.2727272727272727
2025-06-18,54,19,35,14,40,35,73,0.6481481481481481,0.4794520547945205,0.35185185185185186,0.25925925925925924
2025-07-16,54,19,35,16,38,36,72,0.6666666666666666,0.5,0.35185185185185186,0.2962962962962963
2025-08-13,55,19,36,14,41,33,77,0.6,0.42857142857142855,0.34545454545454546,0.2545454545454545
2025-09-10,54,19,35,14,40,35,73,0.6481481481481481,0.4794520547945205,0.35185185185185186,0.25925925925925924
2025-10-16,54,19,35,15,39,35,73,0.6481481481481481,0.4794520547945205,0.35185185185185186,0.2777777777777778
2025-11-13,44,18,26,16,28,30,58,0.6818181818181818,0.5172413793103449,0.4090909090909091,0.36363636363636365
2025-12-11,42,19,23,16,26,30,54,0.7142857142857143,0.5555555555555556,0.4523809523809524,0.38095238095238093
2026-01-12,42,19,23,16,26,29,55,0.6904761904761905,0.5272727272727272,0.4523809523809524,0.38095238095238093
2026-02-09,40,18,22,14,26,26,54,0.65,0.48148148148148145,0.45,0.35
2026-03-17,44,19,25,15,29,29,59,0.6590909090909091,0.4915254237288136,0.4318181818181818,0.3409090909090909
2026-04-15,45,19,26,17,28,30,60,0.6666666666666666,0.5,0.4222222222222222,0.37777777777777777
2026-05-18,42,19,23,14,28,26,58,0.6190476190476191,0.4482758620689655,0.4523809523809524,0.3333333333333333
2026-06-15,41,19,22,13,28,25,57,0.6097560975609756,0.43859649122807015,0.4634146341463415,0.3170731707317073
2026-07-14,40,18,22,16,24,28,52,0.7,0.5384615384615384,0.45,0.4
