design,window_size,step,window_id,network_date,n_iter,convergence_warning
same_step,126,20,1,2025-02-07,6,False
same_step,126,20,2,2025-03-07,6,False
same_step,126,20,3,2025-04-07,6,False
same_step,126,20,4,2025-05-08,11,False
same_step,126,20,5,2025-06-06,4,False
same_step,126,20,6,2025-07-04,4,False
same_step,126,20,7,2025-08-01,5,False
same_step,126,20,8,2025-08-29,4,False
same_step,126,20,9,2025-09-26,5,False
same_step,126,20,10,2025-11-03,4,False
same_step,126,20,11,2025-12-01,4,False
same_step,126,20,12,2025-12-29,3,False
same_step,126,20,13,2026-01-28,4,False
same_step,126,20,14,2026-03-05,5,False
same_step,126,20,15,2026-04-02,5,False
same_step,126,20,16,2026-05-06,4,False
same_step,126,20,17,2026-06-03,5,False
same_step,126,20,18,2026-07-02,5,False
same_step,126,20,19,2026-07-30,4,False
same_step,252,20,1,2025-02-07,6,False
same_step,252,20,2,2025-03-07,6,False
same_step,252,20,3,2025-04-07,6,False
same_step,252,20,4,2025-05-08,7,False
same_step,252,20,5,2025-06-06,7,False
same_step,252,20,6,2025-07-04,7,False
same_step,252,20,7,2025-08-01,7,False
same_step,252,20,8,2025-08-29,7,False
same_step,252,20,9,2025-09-26,5,False
same_step,252,20,10,2025-11-03,4,False
same_step,252,20,11,2025-12-01,4,False
same_step,252,20,12,2025-12-29,4,False
same_step,252,20,13,2026-01-28,5,False
same_step,252,20,14,2026-03-05,5,False
same_step,252,20,15,2026-04-02,5,False
same_step,252,20,16,2026-05-06,4,False
same_step,252,20,17,2026-06-03,4,False
same_step,252,20,18,2026-07-02,5,False
same_step,252,20,19,2026-07-30,5,False
same_step,504,20,1,2025-02-07,6,False
same_step,504,20,2,2025-03-07,6,False
same_step,504,20,3,2025-04-07,6,False
same_step,504,20,4,2025-05-08,6,False
same_step,504,20,5,2025-06-06,6,False
same_step,504,20,6,2025-07-04,6,False
same_step,504,20,7,2025-08-01,7,False
same_step,504,20,8,2025-08-29,6,False
same_step,504,20,9,2025-09-26,7,False
same_step,504,20,10,2025-11-03,6,False
same_step,504,20,11,2025-12-01,6,False
same_step,504,20,12,2025-12-29,6,False
same_step,504,20,13,2026-01-28,6,False
same_step,504,20,14,2026-03-05,6,False
same_step,504,20,15,2026-04-02,6,False
same_step,504,20,16,2026-05-06,6,False
same_step,504,20,17,2026-06-03,5,False
same_step,504,20,18,2026-07-02,5,False
same_step,504,20,19,2026-07-30,4,False
fixed_overlap,126,10,1,2025-02-07,6,False
fixed_overlap,126,10,2,2025-02-21,6,False
fixed_overlap,126,10,3,2025-03-07,6,False
fixed_overlap,126,10,4,2025-03-21,5000,True
fixed_overlap,126,10,5,2025-04-07,6,False
fixed_overlap,126,10,6,2025-04-21,5,False
fixed_overlap,126,10,7,2025-05-08,11,False
fixed_overlap,126,10,8,2025-05-22,10,False
fixed_overlap,126,10,9,2025-06-06,4,False
fixed_overlap,126,10,10,2025-06-20,6,False
fixed_overlap,126,10,11,2025-07-04,4,False
fixed_overlap,126,10,12,2025-07-18,4,False
fixed_overlap,126,10,13,2025-08-01,5,False
fixed_overlap,126,10,14,2025-08-15,5,False
fixed_overlap,126,10,15,2025-08-29,4,False
fixed_overlap,126,10,16,2025-09-12,5,False
fixed_overlap,126,10,17,2025-09-26,5,False
fixed_overlap,126,10,18,2025-10-20,4,False
fixed_overlap,126,10,19,2025-11-03,4,False
fixed_overlap,126,10,20,2025-11-17,4,False
fixed_overlap,126,10,21,2025-12-01,4,False
fixed_overlap,126,10,22,2025-12-15,4,False
fixed_overlap,126,10,23,2025-12-29,3,False
fixed_overlap,126,10,24,2026-01-14,3,False
fixed_overlap,126,10,25,2026-01-28,4,False
fixed_overlap,126,10,26,2026-02-11,4,False
fixed_overlap,126,10,27,2026-03-05,5,False
fixed_overlap,126,10,28,2026-03-19,4,False
fixed_overlap,126,10,29,2026-04-02,5,False
fixed_overlap,126,10,30,2026-04-17,4,False
fixed_overlap,126,10,31,2026-05-06,4,False
fixed_overlap,126,10,32,2026-05-20,4,False
fixed_overlap,126,10,33,2026-06-03,5,False
fixed_overlap,126,10,34,2026-06-17,4,False
fixed_overlap,126,10,35,2026-07-02,5,False
fixed_overlap,126,10,36,2026-07-16,5,False
