design,window_size,step,overlap_ratio,industry_relation,n_candidate_pairs,mean_persistence,median_persistence,persistent_rate_08,always_rate,ever_selected_rate,mean_abs_partial_when_selected
fixed_overlap,126,10,0.9206349206349207,Cross industry,86,0.3048397234443746,0.1891891891891892,0.1511627906976744,0.03488372093023256,0.7209302325581395,0.05000916584715388
fixed_overlap,126,10,0.9206349206349207,Same industry,19,0.9473684210526315,1.0,0.8947368421052632,0.6842105263157895,1.0,0.19929881807592217
fixed_overlap,252,20,0.9206349206349207,Cross industry,86,0.3390452876376989,0.10526315789473684,0.19767441860465115,0.13953488372093023,0.5930232558139535,0.05225986806947211
fixed_overlap,252,20,0.9206349206349207,Same industry,19,0.9889196675900278,1.0,1.0,0.8947368421052632,1.0,0.19731966104545118
fixed_overlap,504,40,0.9206349206349207,Cross industry,86,0.4127906976744186,0.2,0.36046511627906974,0.29069767441860467,0.5348837209302325,0.05236178591105379
fixed_overlap,504,40,0.9206349206349207,Same industry,19,0.994736842105263,1.0,1.0,0.9473684210526315,1.0,0.19569033689468415
same_step,126,20,0.8412698412698413,Cross industry,86,0.3078335373317013,0.21052631578947367,0.12790697674418605,0.05813953488372093,0.6976744186046512,0.05280397215336878
same_step,126,20,0.8412698412698413,Same industry,19,0.9445983379501385,1.0,0.8947368421052632,0.6842105263157895,1.0,0.19984223573744
same_step,252,20,0.9206349206349207,Cross industry,86,0.3390452876376989,0.10526315789473684,0.19767441860465115,0.13953488372093023,0.5930232558139535,0.05225986806947211
same_step,252,20,0.9206349206349207,Same industry,19,0.9889196675900278,1.0,1.0,0.8947368421052632,1.0,0.19731966104545118
same_step,504,20,0.9603174603174603,Cross industry,86,0.4106487148102815,0.15789473684210525,0.3488372093023256,0.27906976744186046,0.5465116279069767,0.051456603455640036
same_step,504,20,0.9603174603174603,Same industry,19,0.9972299168975068,1.0,1.0,0.9473684210526315,1.0,0.19581631685262713
