design,window_size,step,overlap_ratio,previous_date,network_date,common_edges,lost_edges,gained_edges,gross_edge_changes,net_edge_change,jaccard,turnover,same_edge_changes,cross_edge_changes,cross_change_share
fixed_overlap,126,10,0.9206349206349207,2025-02-07,2025-02-21,58,1,1,2,0,0.9666666666666667,0.033333333333333326,0,2,1.0
fixed_overlap,126,10,0.9206349206349207,2025-02-21,2025-03-07,58,1,1,2,0,0.9666666666666667,0.033333333333333326,0,2,1.0
fixed_overlap,126,10,0.9206349206349207,2025-03-07,2025-03-21,54,5,2,7,-3,0.8852459016393442,0.11475409836065575,0,7,1.0
fixed_overlap,126,10,0.9206349206349207,2025-03-21,2025-04-07,53,3,1,4,-2,0.9298245614035088,0.07017543859649122,0,4,1.0
fixed_overlap,126,10,0.9206349206349207,2025-04-07,2025-04-21,44,10,3,13,-7,0.7719298245614035,0.22807017543859653,0,13,1.0
fixed_overlap,126,10,0.9206349206349207,2025-04-21,2025-05-08,45,2,1,3,-1,0.9375,0.0625,0,3,1.0
fixed_overlap,126,10,0.9206349206349207,2025-05-08,2025-05-22,43,3,3,6,0,0.8775510204081632,0.12244897959183676,0,6,1.0
fixed_overlap,126,10,0.9206349206349207,2025-05-22,2025-06-06,43,3,2,5,-1,0.8958333333333334,0.10416666666666663,1,4,0.8
fixed_overlap,126,10,0.9206349206349207,2025-06-06,2025-06-20,44,1,1,2,0,0.9565217391304348,0.04347826086956519,1,1,0.5
fixed_overlap,126,10,0.9206349206349207,2025-06-20,2025-07-04,44,1,1,2,0,0.9565217391304348,0.04347826086956519,0,2,1.0
fixed_overlap,126,10,0.9206349206349207,2025-07-04,2025-07-18,41,4,2,6,-2,0.8723404255319149,0.12765957446808507,1,5,0.8333333333333334
fixed_overlap,126,10,0.9206349206349207,2025-07-18,2025-08-01,39,4,0,4,-4,0.9069767441860465,0.09302325581395354,0,4,1.0
fixed_overlap,126,10,0.9206349206349207,2025-08-01,2025-08-15,38,1,3,4,2,0.9047619047619048,0.09523809523809523,0,4,1.0
fixed_overlap,126,10,0.9206349206349207,2025-08-15,2025-08-29,39,2,10,12,8,0.7647058823529411,0.23529411764705888,1,11,0.9166666666666666
fixed_overlap,126,10,0.9206349206349207,2025-08-29,2025-09-12,47,2,1,3,-1,0.94,0.06000000000000005,0,3,1.0
fixed_overlap,126,10,0.9206349206349207,2025-09-12,2025-09-26,44,4,1,5,-3,0.8979591836734694,0.10204081632653061,0,5,1.0
fixed_overlap,126,10,0.9206349206349207,2025-09-26,2025-10-20,37,8,3,11,-5,0.7708333333333334,0.22916666666666663,1,10,0.9090909090909091
fixed_overlap,126,10,0.9206349206349207,2025-10-20,2025-11-03,37,3,3,6,0,0.8604651162790697,0.13953488372093026,0,6,1.0
fixed_overlap,126,10,0.9206349206349207,2025-11-03,2025-11-17,38,2,4,6,2,0.8636363636363636,0.13636363636363635,0,6,1.0
fixed_overlap,126,10,0.9206349206349207,2025-11-17,2025-12-01,39,3,1,4,-2,0.9069767441860465,0.09302325581395354,0,4,1.0
fixed_overlap,126,10,0.9206349206349207,2025-12-01,2025-12-15,37,3,7,10,4,0.7872340425531915,0.21276595744680848,1,9,0.9
fixed_overlap,126,10,0.9206349206349207,2025-12-15,2025-12-29,39,5,2,7,-3,0.8478260869565217,0.15217391304347827,1,6,0.8571428571428571
fixed_overlap,126,10,0.9206349206349207,2025-12-29,2026-01-14,37,4,4,8,0,0.8222222222222222,0.1777777777777778,1,7,0.875
fixed_overlap,126,10,0.9206349206349207,2026-01-14,2026-01-28,37,4,2,6,-2,0.8604651162790697,0.13953488372093026,1,5,0.8333333333333334
fixed_overlap,126,10,0.9206349206349207,2026-01-28,2026-02-11,37,2,3,5,1,0.8809523809523809,0.11904761904761907,0,5,1.0
fixed_overlap,126,10,0.9206349206349207,2026-02-11,2026-03-05,36,4,2,6,-2,0.8571428571428571,0.1428571428571429,0,6,1.0
fixed_overlap,126,10,0.9206349206349207,2026-03-05,2026-03-19,34,4,6,10,2,0.7727272727272727,0.2272727272727273,2,8,0.8
fixed_overlap,126,10,0.9206349206349207,2026-03-19,2026-04-02,36,4,3,7,-1,0.8372093023255814,0.16279069767441856,2,5,0.7142857142857143
fixed_overlap,126,10,0.9206349206349207,2026-04-02,2026-04-17,35,4,4,8,0,0.813953488372093,0.18604651162790697,1,7,0.875
fixed_overlap,126,10,0.9206349206349207,2026-04-17,2026-05-06,36,3,4,7,1,0.8372093023255814,0.16279069767441856,1,6,0.8571428571428571
fixed_overlap,126,10,0.9206349206349207,2026-05-06,2026-05-20,39,1,5,6,4,0.8666666666666667,0.1333333333333333,1,5,0.8333333333333334
fixed_overlap,126,10,0.9206349206349207,2026-05-20,2026-06-03,37,7,2,9,-5,0.8043478260869565,0.19565217391304346,2,7,0.7777777777777778
fixed_overlap,126,10,0.9206349206349207,2026-06-03,2026-06-17,36,3,2,5,-1,0.8780487804878049,0.12195121951219512,0,5,1.0
fixed_overlap,126,10,0.9206349206349207,2026-06-17,2026-07-02,36,2,5,7,3,0.8372093023255814,0.16279069767441856,1,6,0.8571428571428571
fixed_overlap,126,10,0.9206349206349207,2026-07-02,2026-07-16,36,5,3,8,-2,0.8181818181818182,0.18181818181818177,0,8,1.0
fixed_overlap,126,10,0.9206349206349207,2026-07-16,2026-07-30,38,1,8,9,7,0.8085106382978723,0.19148936170212771,1,8,0.8888888888888888
fixed_overlap,252,20,0.9206349206349207,2025-02-07,2025-03-07,54,5,1,6,-4,0.9,0.09999999999999998,0,6,1.0
fixed_overlap,252,20,0.9206349206349207,2025-03-07,2025-04-07,54,1,1,2,0,0.9642857142857143,0.0357142857142857,0,2,1.0
fixed_overlap,252,20,0.9206349206349207,2025-04-07,2025-05-08,53,2,2,4,0,0.9298245614035088,0.07017543859649122,0,4,1.0
fixed_overlap,252,20,0.9206349206349207,2025-05-08,2025-06-06,54,1,0,1,-1,0.9818181818181818,0.018181818181818188,0,1,1.0
fixed_overlap,252,20,0.9206349206349207,2025-06-06,2025-07-04,53,1,0,1,-1,0.9814814814814815,0.01851851851851849,0,1,1.0
fixed_overlap,252,20,0.9206349206349207,2025-07-04,2025-08-01,53,0,2,2,2,0.9636363636363636,0.036363636363636376,0,2,1.0
fixed_overlap,252,20,0.9206349206349207,2025-08-01,2025-08-29,53,2,1,3,-1,0.9464285714285714,0.0535714285714286,0,3,1.0
fixed_overlap,252,20,0.9206349206349207,2025-08-29,2025-09-26,52,2,1,3,-1,0.9454545454545454,0.054545454545454564,0,3,1.0
fixed_overlap,252,20,0.9206349206349207,2025-09-26,2025-11-03,43,10,1,11,-9,0.7962962962962963,0.20370370370370372,0,11,1.0
fixed_overlap,252,20,0.9206349206349207,2025-11-03,2025-12-01,40,4,5,9,1,0.8163265306122449,0.18367346938775508,1,8,0.8888888888888888
fixed_overlap,252,20,0.9206349206349207,2025-12-01,2025-12-29,39,6,3,9,-3,0.8125,0.1875,1,8,0.8888888888888888
fixed_overlap,252,20,0.9206349206349207,2025-12-29,2026-01-28,39,3,0,3,-3,0.9285714285714286,0.0714285714285714,1,2,0.6666666666666666
fixed_overlap,252,20,0.9206349206349207,2026-01-28,2026-03-05,37,2,7,9,5,0.8043478260869565,0.19565217391304346,1,8,0.8888888888888888
fixed_overlap,252,20,0.9206349206349207,2026-03-05,2026-04-02,41,3,2,5,-1,0.8913043478260869,0.10869565217391308,0,5,1.0
fixed_overlap,252,20,0.9206349206349207,2026-04-02,2026-05-06,38,5,2,7,-3,0.8444444444444444,0.15555555555555556,0,7,1.0
fixed_overlap,252,20,0.9206349206349207,2026-05-06,2026-06-03,38,2,3,5,1,0.8837209302325582,0.11627906976744184,1,4,0.8
fixed_overlap,252,20,0.9206349206349207,2026-06-03,2026-07-02,39,2,0,2,-2,0.9512195121951219,0.04878048780487809,0,2,1.0
fixed_overlap,252,20,0.9206349206349207,2026-07-02,2026-07-30,38,1,3,4,2,0.9047619047619048,0.09523809523809523,1,3,0.75
fixed_overlap,504,40,0.9206349206349207,2025-02-07,2025-04-07,55,2,2,4,0,0.9322033898305084,0.06779661016949157,1,3,0.75
fixed_overlap,504,40,0.9206349206349207,2025-04-07,2025-06-06,54,3,4,7,1,0.8852459016393442,0.11475409836065575,0,7,1.0
fixed_overlap,504,40,0.9206349206349207,2025-06-06,2025-08-01,56,2,0,2,-2,0.9655172413793104,0.03448275862068961,0,2,1.0
fixed_overlap,504,40,0.9206349206349207,2025-08-01,2025-09-26,52,4,0,4,-4,0.9285714285714286,0.0714285714285714,0,4,1.0
fixed_overlap,504,40,0.9206349206349207,2025-09-26,2025-12-01,50,2,2,4,0,0.9259259259259259,0.07407407407407407,0,4,1.0
fixed_overlap,504,40,0.9206349206349207,2025-12-01,2026-01-28,52,0,1,1,1,0.9811320754716981,0.018867924528301883,0,1,1.0
fixed_overlap,504,40,0.9206349206349207,2026-01-28,2026-04-02,51,2,3,5,1,0.9107142857142857,0.0892857142857143,0,5,1.0
fixed_overlap,504,40,0.9206349206349207,2026-04-02,2026-06-03,53,1,2,3,1,0.9464285714285714,0.0535714285714286,0,3,1.0
fixed_overlap,504,40,0.9206349206349207,2026-06-03,2026-07-30,50,5,0,5,-5,0.9090909090909091,0.09090909090909094,0,5,1.0
same_step,126,20,0.8412698412698413,2025-02-07,2025-03-07,57,2,2,4,0,0.9344262295081968,0.06557377049180324,0,4,1.0
same_step,126,20,0.8412698412698413,2025-03-07,2025-04-07,53,6,1,7,-5,0.8833333333333333,0.1166666666666667,0,7,1.0
same_step,126,20,0.8412698412698413,2025-04-07,2025-05-08,42,12,4,16,-8,0.7241379310344828,0.27586206896551724,0,16,1.0
same_step,126,20,0.8412698412698413,2025-05-08,2025-06-06,42,4,3,7,-1,0.8571428571428571,0.1428571428571429,1,6,0.8571428571428571
same_step,126,20,0.8412698412698413,2025-06-06,2025-07-04,43,2,2,4,0,0.9148936170212766,0.08510638297872342,1,3,0.75
same_step,126,20,0.8412698412698413,2025-07-04,2025-08-01,38,7,1,8,-6,0.8260869565217391,0.17391304347826086,1,7,0.875
same_step,126,20,0.8412698412698413,2025-08-01,2025-08-29,38,1,11,12,10,0.76,0.24,1,11,0.9166666666666666
