window_id,window_start,network_date,window_size,step,stock_1,name_1,industry_1,stock_2,name_2,industry_2,same_industry,partial_correlation,abs_partial_correlation,selected_threshold_020,abs_partial_rank
1,2023-01-04,2024-01-16,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.5965040553384098,0.5965040553384098,True,3
1,2023-01-04,2024-01-16,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.45564745481210267,0.45564745481210267,True,4
1,2023-01-04,2024-01-16,252,20,600036,招商银行,银行,600887,伊利股份,食品饮料,False,0.21387904637987784,0.21387904637987784,True,10
1,2023-01-04,2024-01-16,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8383835226327634,0.8383835226327634,True,1
1,2023-01-04,2024-01-16,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.30928769588220784,0.30928769588220784,True,6
1,2023-01-04,2024-01-16,252,20,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,True,0.3121453697391885,0.3121453697391885,True,5
1,2023-01-04,2024-01-16,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.6042272483469235,0.6042272483469235,True,2
1,2023-01-04,2024-01-16,252,20,002460,赣锋锂业,新能源,601318,中国平安,非银金融,False,0.20030536259854054,0.20030536259854054,True,11
1,2023-01-04,2024-01-16,252,20,002415,海康威视,电子,002475,立讯精密,电子,True,0.23896137222726635,0.23896137222726635,True,8
1,2023-01-04,2024-01-16,252,20,000725,京东方A,电子,603501,韦尔股份,电子,True,0.3046803431039757,0.3046803431039757,True,7
1,2023-01-04,2024-01-16,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.22031852765848003,0.22031852765848003,True,9
2,2023-02-08,2024-02-21,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.5619521658514496,0.5619521658514496,True,3
2,2023-02-08,2024-02-21,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.2718061552984349,0.2718061552984349,True,6
2,2023-02-08,2024-02-21,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.847760450494019,0.847760450494019,True,1
2,2023-02-08,2024-02-21,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.3239902965914078,0.3239902965914078,True,4
2,2023-02-08,2024-02-21,252,20,600519,贵州茅台,食品饮料,000568,泸州老窖,食品饮料,True,0.25440223134229406,0.25440223134229406,True,7
2,2023-02-08,2024-02-21,252,20,000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,True,0.6456540745802615,0.6456540745802615,True,2
2,2023-02-08,2024-02-21,252,20,000725,京东方A,电子,603501,韦尔股份,电子,True,0.2442764304972003,0.2442764304972003,True,8
2,2023-02-08,2024-02-21,252,20,000725,京东方A,电子,002475,立讯精密,电子,True,0.24303642959183228,0.24303642959183228,True,9
2,2023-02-08,2024-02-21,252,20,603501,韦尔股份,电子,002475,立讯精密,电子,True,0.2727607596727125,0.2727607596727125,True,5
2,2023-02-08,2024-02-21,252,20,601318,中国平安,非银金融,600030,中信证券,非银金融,True,0.228716435323739,0.228716435323739,True,10
3,2023-03-08,2024-03-20,252,20,000001,平安银行,银行,600036,招商银行,银行,True,0.48505442767186263,0.48505442767186263,True,3
3,2023-03-08,2024-03-20,252,20,000001,平安银行,银行,601318,中国平安,非银金融,False,0.2587008422309318,0.2587008422309318,True,6
3,2023-03-08,2024-03-20,252,20,601398,工商银行,银行,601288,农业银行,银行,True,0.8496058202968376,0.8496058202968376,True,1
3,2023-03-08,2024-03-20,252,20,600519,贵州茅台,食品饮料,000858,五粮液,食品饮料,True,0.2556578403184753,0.2556578403184753,True,7
