stock_1,stock_2,name_1,name_2,industry_1,industry_2,same_industry,p_GLasso_W126,p_GLasso_W252,p_GLasso_W504,p_Partial_W252,mean_persistence_all_settings,min_persistence_all_settings,max_persistence_all_settings,persistence_range_all_settings,p_GLasso_W126_persistent08,p_GLasso_W252_persistent08,p_GLasso_W504_persistent08,p_Partial_W252_persistent08,n_settings_persistent08,glasso_multiscale_persistent,cross_method_W252_persistent,full_structural_consensus_core,always_in_all_settings,structural_robustness_class
000001,600036,平安银行,招商银行,银行,银行,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,4,True,True,True,True,Universal always core
000001,601318,平安银行,中国平安,银行,非银金融,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,4,True,True,True,True,Universal always core
000568,000858,泸州老窖,五粮液,食品饮料,食品饮料,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,4,True,True,True,True,Universal always core
000858,600519,五粮液,贵州茅台,食品饮料,食品饮料,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,4,True,True,True,True,Universal always core
600030,601318,中信证券,中国平安,非银金融,非银金融,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,4,True,True,True,True,Universal always core
601288,601398,农业银行,工商银行,银行,银行,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,4,True,True,True,True,Universal always core
002475,603501,立讯精密,韦尔股份,电子,电子,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,True,True,True,4,True,True,True,True,Universal always core
002415,603501,海康威视,韦尔股份,电子,电子,True,1.0,1.0,1.0,0.967741935483871,0.9919354838709677,0.967741935483871,1.0,0.032258064516129004,True,True,True,True,4,True,True,True,False,Universal persistent core
600036,600519,招商银行,贵州茅台,银行,食品饮料,False,1.0,1.0,1.0,0.967741935483871,0.9919354838709677,0.967741935483871,1.0,0.032258064516129004,True,True,True,True,4,True,True,True,False,Universal persistent core
000568,600519,泸州老窖,贵州茅台,食品饮料,食品饮料,True,1.0,1.0,1.0,0.967741935483871,0.9919354838709677,0.967741935483871,1.0,0.032258064516129004,True,True,True,True,4,True,True,True,False,Universal persistent core
000725,002415,京东方A,海康威视,电子,电子,True,0.945945945945946,1.0,1.0,0.967741935483871,0.9784219703574543,0.945945945945946,1.0,0.054054054054053946,True,True,True,True,4,True,True,True,False,Universal persistent core
600519,600887,贵州茅台,伊利股份,食品饮料,食品饮料,True,1.0,1.0,1.0,0.9032258064516128,0.9758064516129032,0.9032258064516128,1.0,0.09677419354838723,True,True,True,True,4,True,True,True,False,Universal persistent core
000725,002475,京东方A,立讯精密,电子,电子,True,0.8378378378378378,0.8947368421052632,1.0,0.8709677419354839,0.9008856054696462,0.8378378378378378,1.0,0.16216216216216217,True,True,True,True,4,True,True,True,False,Universal persistent core
000858,600887,五粮液,伊利股份,食品饮料,食品饮料,True,1.0,1.0,1.0,0.7741935483870968,0.9435483870967742,0.7741935483870968,1.0,0.22580645161290325,True,True,True,False,3,True,False,False,False,Broadly robust edge
600036,601398,招商银行,工商银行,银行,银行,True,1.0,1.0,1.0,0.7741935483870968,0.9435483870967742,0.7741935483870968,1.0,0.22580645161290325,True,True,True,False,3,True,False,False,False,Broadly robust edge
600030,603501,中信证券,韦尔股份,非银金融,电子,False,0.972972972972973,1.0,1.0,0.7741935483870968,0.9367916303400174,0.7741935483870968,1.0,0.22580645161290325,True,True,True,False,3,True,False,False,False,Broadly robust edge
000725,603501,京东方A,韦尔股份,电子,电子,True,1.0,1.0,1.0,0.7419354838709677,0.935483870967742,0.7419354838709677,1.0,0.25806451612903225,True,True,True,False,3,True,False,False,False,Broadly robust edge
600036,601318,招商银行,中国平安,银行,非银金融,False,0.945945945945946,1.0,1.0,0.7741935483870968,0.9300348735832606,0.7741935483870968,1.0,0.22580645161290325,True,True,True,False,3,True,False,False,False,Broadly robust edge
002415,002460,海康威视,赣锋锂业,电子,新能源,False,0.972972972972973,1.0,1.0,0.7096774193548387,0.9206625980819529,0.7096774193548387,1.0,0.29032258064516125,True,True,True,False,3,True,False,False,False,Broadly robust edge
000001,600887,平安银行,伊利股份,银行,食品饮料,False,0.8378378378378378,1.0,1.0,0.7419354838709677,0.8949433304272014,0.7419354838709677,1.0,0.25806451612903225,True,True,True,False,3,True,False,False,False,Broadly robust edge
002460,600030,赣锋锂业,中信证券,新能源,非银金融,False,0.8648648648648649,1.0,1.0,0.7096774193548387,0.893635571054926,0.7096774193548387,1.0,0.29032258064516125,True,True,True,False,3,True,False,False,False,Broadly robust edge
600519,601318,贵州茅台,中国平安,食品饮料,非银金融,False,1.0,1.0,1.0,0.5161290322580645,0.8790322580645161,0.5161290322580645,1.0,0.4838709677419355,True,True,True,False,3,True,False,False,False,Broadly robust edge
000001,601398,平安银行,工商银行,银行,银行,True,0.8378378378378378,1.0,1.0,0.6774193548387096,0.8788142981691368,0.6774193548387096,1.0,0.32258064516129037,True,True,True,False,3,True,False,False,False,Broadly robust edge
000001,601288,平安银行,农业银行,银行,银行,True,0.8918918918918919,1.0,0.9,0.7096774193548387,0.8753923278116826,0.7096774193548387,1.0,0.29032258064516125,True,True,True,False,3,True,False,False,False,Broadly robust edge
002415,600030,海康威视,中信证券,电子,非银金融,False,0.972972972972973,1.0,1.0,0.4838709677419355,0.8642109851787271,0.4838709677419355,1.0,0.5161290322580645,True,True,True,False,3,True,False,False,False,Broadly robust edge
