index_key,regime,n_network_dates,start_date,end_date,mean_cumulative_return_20,median_cumulative_return_20,sd_cumulative_return_20,mean_annualized_volatility_20,median_annualized_volatility_20,sd_annualized_volatility_20,mean_mean_abs_return_20,median_mean_abs_return_20,sd_mean_abs_return_20,mean_negative_day_share_20,median_negative_day_share_20,sd_negative_day_share_20,mean_max_drawdown_20,median_max_drawdown_20,sd_max_drawdown_20,mean_mean_high_low_range_20,median_mean_high_low_range_20,sd_mean_high_low_range_20,mean_volume_activity_20_60,median_volume_activity_20_60,sd_volume_activity_20_60
CSI300,1,7,2024-01-16,2024-07-18,0.008552377008884782,0.005037847367126647,0.035104653437570923,0.13481036534933416,0.13187774733810842,0.04465280312652071,0.006898358319604557,0.006590223608862869,0.0021606054557327748,0.4928571428571428,0.5,0.12051476890327395,-0.03080582030924298,-0.033320289783729806,0.01481824827447527,0.012520230041331072,0.011766981514452778,0.004439664152941383,0.026502226947004548,-0.003552334804488466,0.15855155711102834
CSI300,2,5,2024-08-15,2024-12-16,0.026595300455927416,-0.009755767861377884,0.12199416096041858,0.23531977228552975,0.184308924546933,0.17822027270563184,0.01125337242840536,0.008229081808154839,0.008440988828471548,0.53,0.5,0.15652475842498528,-0.06286121838611791,-0.05495822420708141,0.02819409665810826,0.01832135773653806,0.015368803548109591,0.009617967407046209,0.10968658242695481,-0.04911707138792831,0.33566691976517976
CSI300,3,10,2025-01-14,2025-10-16,0.0173516821287648,0.03234912704305082,0.03668047537429221,0.1418562956573321,0.12750732540792345,0.0636582659422291,0.006391859801055513,0.006080190510639905,0.002133600498181959,0.425,0.42500000000000004,0.10341394704992382,-0.034093575862733115,-0.023408620415750203,0.028066112611028673,0.011712721512463154,0.011693120784544733,0.0033454498757959777,0.027627392318592237,0.01683519854799742,0.1753224302294997
CSI300,4,4,2025-11-13,2026-02-09,0.005916345986760496,0.0016595506008543759,0.03719478571904339,0.14189893824849614,0.13730135490887269,0.015365722054792395,0.00702729886910494,0.006936573604932745,0.0010687223678424716,0.475,0.475,0.10408329997330663,-0.029220889620404533,-0.02988321341928557,0.00876664836671276,0.012092727776494682,0.01174074553130261,0.0015737396421469977,-0.0028054593681382245,-0.06452741698344544,0.23109095473649285
CSI300,5,5,2026-03-17,2026-07-14,0.0034472957975326237,0.010308922661840025,0.02162944109816008,0.19474935601893453,0.20288426982785054,0.06476192555641914,0.009775285884129023,0.010628687729518315,0.003252257745771594,0.51,0.5,0.022360679774997918,-0.046407578661421735,-0.04733632736164761,0.01729678967445927,0.014605226910440467,0.013565386821503142,0.004208810312919877,0.028265673577786886,0.047055412909432937,0.11811369662394837
CSI500,1,7,2024-01-16,2024-07-18,-0.013095252790416614,-0.03250201058940705,0.04716232809661283,0.22336620389151385,0.1958989999970319,0.11604987635457739,0.010927268852124649,0.00966462593367695,0.004754856799774247,0.6,0.65,0.07637626158259733,-0.05548631215627423,-0.05153323109992969,0.032671567567086994,0.018728764925054025,0.015598209967128903,0.009043296236064407,0.005139881580397909,-0.023857488001773897,0.17428446279522458
CSI500,2,5,2024-08-15,2024-12-16,0.04501565993406229,0.013640409556876065,0.12834306264522188,0.29609710910714415,0.23042898464476327,0.18514912587567298,0.01410673854756658,0.011403715732237465,0.008632190261047166,0.51,0.5,0.08215838362577492,-0.06672169827609764,-0.050382401679463396,0.03315672548194568,0.022837902111062465,0.019651123838284837,0.009623158176698324,0.1839790311690744,-0.021560586875293164,0.33732192863001764
CSI500,3,10,2025-01-14,2025-10-16,0.02175512165142903,0.03872451569504376,0.055639440207475854,0.18923431522727635,0.16900985518672762,0.08279977295372934,0.008866649217541234,0.008463029954292179,0.0027913180908849663,0.43,0.45,0.08881941729649487,-0.044054139750149914,-0.027521644628982322,0.03882217539331777,0.015325953679252555,0.015300409529212465,0.004641106188508521,0.007089711142315669,-0.008559293079891894,0.18913736863385086
CSI500,4,4,2025-11-13,2026-02-09,0.03806728493509057,0.012324127776056293,0.0876280742613133,0.20715212534406102,0.19802803452994705,0.03512305448340633,0.010606654004863481,0.010749327214537484,0.001131416052992,0.4,0.42500000000000004,0.14719601443879746,-0.04574312319765364,-0.04694438820482655,0.019375648221649854,0.01618150631369787,0.015099102908217909,0.0031593836057124034,0.01655461561572613,-0.02554518191902594,0.2295467705060171
CSI500,5,5,2026-03-17,2026-07-14,-0.000281306045941343,-0.015560000133225449,0.03819496406897371,0.27783628484137807,0.2847860817014583,0.055674475916360475,0.013853404825218874,0.013945976321196586,0.003240243517036149,0.4800000000000001,0.5,0.0570087712549569,-0.07639507624040431,-0.08098423156483303,0.020826295460937012,0.021467087663702412,0.020182841873043346,0.004755329907388641,-0.021785785998748496,0.003189812007182491,0.09986873065263066
SSE,1,7,2024-01-16,2024-07-18,0.002657590019767334,-0.004683919074866205,0.031051281617891054,0.13725220217311782,0.11424945673695347,0.059028587326229176,0.007059744620215365,0.0059405580222321305,0.003071774728979654,0.4857142857142857,0.45,0.08997354108424374,-0.0321090485629996,-0.027289865533049573,0.019453920754426122,0.012463719658722625,0.010514594445092795,0.005578980078332904,-0.002771588876095648,-0.029111712316378546,0.12998186169162476
SSE,2,5,2024-08-15,2024-12-16,0.029886944416591787,0.01705542347105915,0.10188658369997268,0.2095638010437384,0.16874538939730122,0.16128208147425666,0.00992881589044206,0.007340387588416646,0.007448750893360696,0.47000000000000003,0.5,0.15247950681976907,-0.05441928954195925,-0.04414532498141499,0.02323777839350785,0.016672998347353894,0.01433253769934097,0.009280099370424968,0.16442876537957934,-0.01850904332945824,0.28815183591553556
SSE,3,10,2025-01-14,2025-10-16,0.015133860566368729,0.028904460338002536,0.032863095764902615,0.12557386990508468,0.1093182593252327,0.06690431573340626,0.0056001475124755696,0.005330704726265531,0.0018417801098507317,0.43,0.42500000000000004,0.10327955589886444,-0.029164282211624138,-0.016448570169201593,0.02890025878009881,0.010362718986819376,0.010372312690753616,0.002812338767426777,0.00530393116749891,-0.001985702896336705,0.13747038105922124
SSE,4,4,2025-11-13,2026-02-09,0.013853260785470195,0.009396685495188517,0.049517616703464,0.11899160599551539,0.12164340302692306,0.012713071329286861,0.005701627403952008,0.005526430399992892,0.00044166778553671323,0.4375,0.475,0.17017148213885114,-0.026279192855007905,-0.02540057196424733,0.0120884541275416,0.009947833493459152,0.00941915421896557,0.0013970657804880805,0.003471273358328225,-0.03477455171958421,0.15163318586275537
SSE,5,5,2026-03-17,2026-07-14,-0.007502111278986745,-0.008484996350018092,0.02124265444752537,0.1570002854572313,0.15733629470028523,0.05027327006360006,0.007698360311388106,0.007910607479630112,0.002357889401394422,0.47000000000000003,0.45,0.05700877125495691,-0.04593029765225798,-0.050413259214809214,0.01618695145399269,0.012221443988599177,0.012787508107799304,0.0029130641226788813,-0.0154532824132245,0.00554818711223537,0.058143186034614915
