index_key,transition,before_regime,after_regime,before_n,after_n,boundary_before_date,boundary_after_date,before_cumulative_return_20,after_cumulative_return_20,delta_cumulative_return_20,standardized_delta_cumulative_return_20,before_annualized_volatility_20,after_annualized_volatility_20,delta_annualized_volatility_20,standardized_delta_annualized_volatility_20,before_mean_abs_return_20,after_mean_abs_return_20,delta_mean_abs_return_20,standardized_delta_mean_abs_return_20,before_negative_day_share_20,after_negative_day_share_20,delta_negative_day_share_20,standardized_delta_negative_day_share_20,before_max_drawdown_20,after_max_drawdown_20,delta_max_drawdown_20,standardized_delta_max_drawdown_20,before_mean_high_low_range_20,after_mean_high_low_range_20,delta_mean_high_low_range_20,standardized_delta_mean_high_low_range_20,before_volume_activity_20_60,after_volume_activity_20_60,delta_volume_activity_20_60,standardized_delta_volume_activity_20_60
CSI300,1->2,1,2,7,5,2024-07-18,2024-08-15,0.008552377008884782,0.026595300455927416,0.018042923447042634,0.3351189375641525,0.13481036534933416,0.23531977228552975,0.10050940693619559,1.1333315084182387,0.006898358319604557,0.01125337242840536,0.004355014108800804,1.0600679907141073,0.4928571428571428,0.53,0.0371428571428572,0.33710858392696363,-0.03080582030924298,-0.06286121838611791,-0.032055398076874936,-1.337795565011924,0.012520230041331072,0.01832135773653806,0.005801127695206987,1.0987966488889707,0.026502226947004548,0.10968658242695481,0.08318435547995026,0.4288082688699975
CSI300,2->3,2,3,5,10,2024-12-16,2025-01-14,0.026595300455927416,0.0173516821287648,-0.009243618327162615,-0.17168567844004248,0.23531977228552975,0.1418562956573321,-0.09346347662819765,-1.0538824790428858,0.01125337242840536,0.006391859801055513,-0.0048615126273498475,-1.1833564241023984,0.53,0.425,-0.10500000000000004,-0.9529800353319922,-0.06286121838611791,-0.034093575862733115,0.028767642523384797,1.200584827907541,0.01832135773653806,0.011712721512463154,-0.0066086362240749055,-1.2517475425923494,0.10968658242695481,0.027627392318592237,-0.08205919010836257,-0.4230081371938042
CSI300,3->4,3,4,10,4,2025-10-16,2025-11-13,0.0173516821287648,0.005916345986760496,-0.011435336142004305,-0.21239339122871256,0.1418562956573321,0.14189893824849614,4.2642591164043786e-05,0.0004808325274219082,0.006391859801055513,0.00702729886910494,0.000635439068049427,0.1546742672376521,0.425,0.475,0.04999999999999999,0.4538000168247579,-0.034093575862733115,-0.029220889620404533,0.004872686242328582,0.2033560160148008,0.011712721512463154,0.012092727776494682,0.000380006264031528,0.07197731741358641,0.027627392318592237,-0.0028054593681382245,-0.03043285168673046,-0.15687875891170006
CSI300,4->5,4,5,4,5,2026-02-09,2026-03-17,0.005916345986760496,0.0034472957975326237,-0.0024690501892278725,-0.0458587256458285,0.14189893824849614,0.19474935601893453,0.05285041777043839,0.5959347042046351,0.00702729886910494,0.009775285884129023,0.002747987015024083,0.6688963573362968,0.475,0.51,0.03500000000000003,0.3176600117773309,-0.029220889620404533,-0.046407578661421735,-0.0171866890410172,-0.717266911525229,0.012092727776494682,0.014605226910440467,0.0025124991339457847,0.4758946490691867,-0.0028054593681382245,0.028265673577786886,0.03107113294592511,0.16016904444950636
CSI500,1->2,1,2,7,5,2024-07-18,2024-08-15,-0.013095252790416614,0.04501565993406229,0.05811091272447891,0.82262082174917,0.22336620389151385,0.29609710910714415,0.0727309052156303,0.6752804549240393,0.010927268852124649,0.01410673854756658,0.0031794696954419305,0.6661138409081894,0.6,0.51,-0.08999999999999997,-0.8148576246409145,-0.05548631215627423,-0.06672169827609764,-0.011235386119823408,-0.3454745687134092,0.018728764925054025,0.022837902111062465,0.00410913718600844,0.5939667809671305,0.005139881580397909,0.1839790311690744,0.1788391495886765,0.8592867434566824
CSI500,2->3,2,3,5,10,2024-12-16,2025-01-14,0.04501565993406229,0.02175512165142903,-0.02326053828263326,-0.3292772771804607,0.29609710910714415,0.18923431522727635,-0.1068627938798678,-0.9921828396292647,0.01410673854756658,0.008866649217541234,-0.0052400893300253455,-1.0978233368064991,0.51,0.43,-0.08000000000000002,-0.7243178885697023,-0.06672169827609764,-0.044054139750149914,0.022667558525947727,0.6970000783258206,0.022837902111062465,0.015325953679252555,-0.00751194843180991,-1.085835694175836,0.1839790311690744,0.007089711142315669,-0.17688932002675875,-0.849918198043615
CSI500,3->4,3,4,10,4,2025-10-16,2025-11-13,0.02175512165142903,0.03806728493509057,0.016312163283661536,0.23091575292466068,0.18923431522727635,0.20715212534406102,0.01791781011678467,0.1663604616363917,0.008866649217541234,0.010606654004863481,0.0017400047873222472,0.36453917888994325,0.43,0.4,-0.02999999999999997,-0.271619208213638,-0.044054139750149914,-0.04574312319765364,-0.0016889834475037266,-0.05193420340587352,0.015325953679252555,0.01618150631369787,0.0008555526344453165,0.1236682595946771,0.007089711142315669,0.01655461561572613,0.009464904473410463,0.0454769940518685
CSI500,4->5,4,5,4,5,2026-02-09,2026-03-17,0.03806728493509057,-0.000281306045941343,-0.03834859098103191,-0.5428644629161116,0.20715212534406102,0.27783628484137807,0.07068415949731705,0.6562771526046371,0.010606654004863481,0.013853404825218874,0.0032467508203553926,0.6802095527185518,0.4,0.4800000000000001,0.08000000000000007,0.7243178885697027,-0.04574312319765364,-0.07639507624040431,-0.030651953042750674,-0.9425105772719451,0.01618150631369787,0.021467087663702412,0.00528558135000454,0.7640192083856234,0.01655461561572613,-0.021785785998748496,-0.03834040161447463,-0.18421804689798874
SSE,1->2,1,2,7,5,2024-07-18,2024-08-15,0.002657590019767334,0.029886944416591787,0.027229354396824453,0.5621979998401643,0.13725220217311782,0.2095638010437384,0.07231159887062058,0.8763345197173569,0.007059744620215365,0.00992881589044206,0.0028690712702266943,0.7822322180569016,0.4857142857142857,0.47000000000000003,-0.01571428571428568,-0.14472108218963933,-0.0321090485629996,-0.05441928954195925,-0.02231024097895965,-0.9492110592168531,0.012463719658722625,0.016672998347353894,0.004209278688631269,0.8169207129825722,-0.002771588876095648,0.16442876537957934,0.167200354255675,1.0222370237088663
SSE,2->3,2,3,5,10,2024-12-16,2025-01-14,0.029886944416591787,0.015133860566368729,-0.014753083850223059,-0.30460341112740136,0.2095638010437384,0.12557386990508468,-0.08398993113865372,-1.017862654332626,0.00992881589044206,0.0056001475124755696,-0.00432866837796649,-1.1801811623389744,0.47000000000000003,0.43,-0.040000000000000036,-0.3683809364827194,-0.05441928954195925,-0.029164282211624138,0.025255007330335113,1.0744990285476799,0.016672998347353894,0.010362718986819376,-0.006310279360534517,-1.2246748898451574,0.16442876537957934,0.00530393116749891,-0.15912483421208043,-0.9728645471312024
