network_date,regime,edge_count,same_edge_ratio,mean_abs_partial,same_cross_strength_ratio,CSI300_future_start_date,CSI300_future_end_date,CSI300_future_return_20,CSI300_future_volatility_20,CSI300_future_mean_abs_return_20,CSI300_future_negative_share_20,CSI300_future_max_drawdown_20,CSI500_future_start_date,CSI500_future_end_date,CSI500_future_return_20,CSI500_future_volatility_20,CSI500_future_mean_abs_return_20,CSI500_future_negative_share_20,CSI500_future_max_drawdown_20,future_relative_return_20,future_relative_volatility_20
2024-01-16,1,52,0.3269230769230769,0.1040701904123137,3.3430232632534422,2024-01-17,2024-02-21,0.04725866709322002,0.22306313292301475,0.01133658731472511,0.4,-0.04884683116761135,2024-01-17,2024-02-21,-0.009895387598407135,0.4755626771259769,0.021047062218883937,0.65,-0.12081460575599712,-0.057154054691627154,0.25249954420296217
2024-02-21,1,51,0.2941176470588235,0.1018070420933587,3.356675513331226,2024-02-22,2024-03-20,0.037176105211909505,0.13187774733810842,0.00688355650896859,0.35,-0.01274097677483621,2024-02-22,2024-03-20,0.06895786117126601,0.20012263494237717,0.00966462593367695,0.45,-0.02331604558118583,0.031781755959356506,0.06824488760426875
2024-03-20,1,52,0.2884615384615384,0.1054936487495565,3.154396121369885,2024-03-21,2024-04-19,-0.012194509709419488,0.1504375344152785,0.007489811042646281,0.65,-0.033320289783729806,2024-03-21,2024-04-19,-0.03250201058940705,0.2335501516305583,0.011783187006882991,0.6,-0.05655958135536232,-0.02030750087998756,0.08311261721527982
2024-04-19,1,51,0.2745098039215686,0.1017793600889711,3.225355711380732,2024-04-22,2024-05-22,0.040316947241153755,0.11473442214318054,0.0058312073813573,0.4,-0.010970529504453652,2024-04-22,2024-05-22,0.028926405872433003,0.1753600173997099,0.008909465213089763,0.65,-0.023773878750806388,-0.011390541368720752,0.06062559525652937
2024-05-22,1,55,0.3090909090909091,0.1079670429455548,3.065107126981,2024-05-23,2024-06-20,-0.04917123338049467,0.09269229036712712,0.0053069274240243255,0.65,-0.03803347363056342,2024-05-23,2024-06-20,-0.06839803993960392,0.13423721874009448,0.007380526551308335,0.65,-0.05153323109992969,-0.019226806559109244,0.04154492837296736
2024-06-20,1,51,0.3137254901960784,0.1050181813164133,3.095223196082995,2024-06-21,2024-07-18,0.005037847367126647,0.09314030317438997,0.004850194956647425,0.5,-0.026850744646156444,2024-06-21,2024-07-18,-0.04256948336118915,0.1958989999970319,0.010535099326478645,0.55,-0.06246402378208038,-0.0476073307283158,0.10275869682264192
2024-07-18,1,51,0.2941176470588235,0.1066116257257964,2.9112525204615327,2024-07-19,2024-08-15,-0.05083257808801023,0.14019523241958168,0.00682248762545062,0.7,-0.06492680451289168,2024-07-19,2024-08-15,-0.036762673821962855,0.2262961256866638,0.009642041298535275,0.65,-0.04488792803884378,0.014069904266047373,0.08610089326708212
2024-08-15,2,53,0.3018867924528302,0.1063623164029246,3.0279769168292385,2024-08-16,2024-09-12,-0.05071226315869726,0.10261372864175927,0.005304405064254601,0.65,-0.05495822420708141,2024-08-16,2024-09-12,-0.0429474020272963,0.15439048443580328,0.007509620999215626,0.5,-0.04007654982539843,0.0077648611314009575,0.051776755794044005
2024-09-12,2,54,0.2962962962962963,0.1004374208533249,3.3525355267269563,2024-09-13,2024-10-21,0.24041860061939113,0.546367863102973,0.026048538442965126,0.3,-0.10993032112057566,2024-09-13,2024-10-21,0.2685662830872815,0.6210211696125898,0.029130460804447124,0.45,-0.11966277112383494,0.028147682467890345,0.07465330650961677
2024-10-21,2,55,0.2909090909090909,0.1052998305559866,3.3527237881364957,2024-10-22,2024-11-18,0.0038585107683313247,0.20311311271640173,0.009862349201201624,0.5,-0.04711248656739031,2024-10-22,2024-11-18,0.022581682875413067,0.24834878115590037,0.01284785390339741,0.45,-0.07859884071294765,0.018723172107081743,0.04523566843949864
2024-11-18,2,56,0.2678571428571428,0.1073376538674909,3.198455445940806,2024-11-19,2024-12-16,-0.009755767861377884,0.184308924546933,0.008229081808154839,0.5,-0.037378255522650505,2024-11-19,2024-12-16,0.013640409556876065,0.23042898464476327,0.011403715732237465,0.5,-0.050382401679463396,0.02339617741825395,0.04612006009783026
2024-12-16,2,54,0.2777777777777778,0.1056058312163131,3.27786075647752,2024-12-17,2025-01-14,-0.023339899719875712,0.17776277324226855,0.007301597438478305,0.5,-0.06915183712151951,2024-12-17,2025-01-14,-0.05755994696750166,0.2462426877746315,0.01117971370878841,0.55,-0.09259384757084221,-0.03422004724762595,0.06847991453236296
2025-01-14,3,57,0.2807017543859649,0.1075000222699143,3.252161437864791,2025-01-15,2025-02-19,0.031309710145686065,0.10830893922335637,0.005835250488926175,0.35,-0.00985659809479289,2025-01-15,2025-02-19,0.06668913506016927,0.16886746527907742,0.009178261040705646,0.35,-0.018156679083903615,0.035379424914483204,0.060558526055721054
2025-02-19,3,57,0.2631578947368421,0.1070707805401622,3.261339042806275,2025-02-20,2025-03-19,0.017767806383498286,0.14670571159249055,0.006325130532353634,0.55,-0.023432025183714456,2025-02-20,2025-03-19,0.026507087455639677,0.16915224509437782,0.007747798867878711,0.45,-0.03255603167540666,0.008739281072141392,0.022446533501887272
