network_feature,future_outcome,n,spearman_rho,abs_spearman_rho
edge_count,future_relative_volatility_20,31,-0.5128813818301041,0.5128813818301041
same_edge_ratio,future_relative_volatility_20,31,0.5036321252957283,0.5036321252957283
same_edge_ratio,CSI500_future_max_drawdown_20,31,-0.4083939990378822,0.4083939990378822
same_edge_ratio,CSI500_future_volatility_20,31,0.3196126948992121,0.3196126948992121
same_cross_strength_ratio,CSI500_future_return_20,31,0.31854838709677424,0.31854838709677424
edge_count,CSI500_future_volatility_20,31,-0.30585788987806367,0.30585788987806367
same_edge_ratio,CSI300_future_max_drawdown_20,31,-0.2834948461700714,0.2834948461700714
edge_count,CSI500_future_max_drawdown_20,31,0.2830812385041653,0.2830812385041653
same_cross_strength_ratio,CSI300_future_max_drawdown_20,31,0.28024193548387105,0.28024193548387105
same_cross_strength_ratio,CSI300_future_return_20,31,0.2455645161290323,0.2455645161290323
same_cross_strength_ratio,future_relative_return_20,31,0.2451612903225807,0.2451612903225807
same_edge_ratio,CSI500_future_return_20,31,-0.24515746483746387,0.24515746483746387
same_edge_ratio,CSI300_future_return_20,31,-0.2419290537778759,0.2419290537778759
mean_abs_partial,CSI300_future_max_drawdown_20,31,-0.23870967741935487,0.23870967741935487
mean_abs_partial,CSI300_future_volatility_20,31,0.2266129032258065,0.2266129032258065
mean_abs_partial,CSI300_future_return_20,31,-0.21975806451612906,0.21975806451612906
mean_abs_partial,CSI500_future_return_20,31,-0.1975806451612903,0.1975806451612903
edge_count,CSI500_future_return_20,31,0.16675762613032727,0.16675762613032727
mean_abs_partial,CSI500_future_volatility_20,31,0.16008064516129034,0.16008064516129034
edge_count,future_relative_return_20,31,0.1478448709716438,0.1478448709716438
edge_count,CSI300_future_max_drawdown_20,31,0.13401618978034838,0.13401618978034838
same_cross_strength_ratio,future_relative_volatility_20,31,-0.13145161290322582,0.13145161290322582
same_edge_ratio,CSI300_future_volatility_20,31,0.12953999376596856,0.12953999376596856
mean_abs_partial,CSI500_future_max_drawdown_20,31,-0.12500000000000003,0.12500000000000003
edge_count,CSI300_future_return_20,31,0.11632361237383805,0.11632361237383805
same_cross_strength_ratio,CSI500_future_max_drawdown_20,31,0.11088709677419356,0.11088709677419356
mean_abs_partial,future_relative_return_20,31,-0.10766129032258066,0.10766129032258066
edge_count,CSI300_future_volatility_20,31,-0.09842767200863219,0.09842767200863219
same_cross_strength_ratio,CSI500_future_volatility_20,31,-0.09395161290322582,0.09395161290322582
same_cross_strength_ratio,CSI300_future_volatility_20,31,-0.0866935483870968,0.0866935483870968
same_edge_ratio,future_relative_return_20,31,-0.04701373605525027,0.04701373605525027
mean_abs_partial,future_relative_volatility_20,31,0.03145161290322581,0.03145161290322581
