analysis_date,window,eligible_stock_count,possible_unordered_pairs,density_fraction,density_percent,approximate_edge_count,approximate_mean_degree,is_primary_density,important_note
2015-04-30,60,1993,1985028,0.002,0.2,3970,3.9839438033115906,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-04-30,60,1993,1985028,0.005,0.5,9925,9.959859508278976,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-04-30,60,1993,1985028,0.01,1.0,19850,19.919719016557952,True,Approximation only. Step 2 will use the exact common valid pair universe.
2015-04-30,60,1993,1985028,0.02,2.0,39700,39.839438033115904,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-05-29,60,1914,1830741,0.002,0.2,3661,3.825496342737722,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-05-29,60,1914,1830741,0.005,0.5,9153,9.564263322884013,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-05-29,60,1914,1830741,0.01,1.0,18307,19.12957157784744,True,Approximation only. Step 2 will use the exact common valid pair universe.
2015-05-29,60,1914,1830741,0.02,2.0,36614,38.25914315569488,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-06-30,60,1802,1622701,0.002,0.2,3245,3.601553829078801,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-06-30,60,1802,1622701,0.005,0.5,8113,9.004439511653718,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-06-30,60,1802,1622701,0.01,1.0,16227,18.009988901220865,True,Approximation only. Step 2 will use the exact common valid pair universe.
2015-06-30,60,1802,1622701,0.02,2.0,32454,36.01997780244173,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-07-31,60,1572,1234806,0.002,0.2,2469,3.1412213740458017,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-07-31,60,1572,1234806,0.005,0.5,6174,7.854961832061068,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-07-31,60,1572,1234806,0.01,1.0,12348,15.709923664122137,True,Approximation only. Step 2 will use the exact common valid pair universe.
2015-07-31,60,1572,1234806,0.02,2.0,24696,31.419847328244273,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-08-31,60,1645,1352190,0.002,0.2,2704,3.2875379939209726,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-08-31,60,1645,1352190,0.005,0.5,6760,8.218844984802432,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-08-31,60,1645,1352190,0.01,1.0,13521,16.438905775075987,True,Approximation only. Step 2 will use the exact common valid pair universe.
2015-08-31,60,1645,1352190,0.02,2.0,27043,32.8790273556231,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-09-30,60,1769,1563796,0.002,0.2,3127,3.5353306953080836,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-09-30,60,1769,1563796,0.005,0.5,7818,8.838892029395138,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-09-30,60,1769,1563796,0.01,1.0,15637,17.678914641040137,True,Approximation only. Step 2 will use the exact common valid pair universe.
2015-09-30,60,1769,1563796,0.02,2.0,31275,35.35895986433013,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-10-30,60,1962,1923741,0.002,0.2,3847,3.9215086646279307,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-10-30,60,1962,1923741,0.005,0.5,9618,9.80428134556575,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-10-30,60,1962,1923741,0.01,1.0,19237,19.609582059123344,True,Approximation only. Step 2 will use the exact common valid pair universe.
2015-10-30,60,1962,1923741,0.02,2.0,38474,39.21916411824669,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-11-30,60,2037,2073666,0.002,0.2,4147,4.071674030436917,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-11-30,60,2037,2073666,0.005,0.5,10368,10.179675994108983,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-11-30,60,2037,2073666,0.01,1.0,20736,20.359351988217966,True,Approximation only. Step 2 will use the exact common valid pair universe.
2015-11-30,60,2037,2073666,0.02,2.0,41473,40.719685812469315,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-12-31,60,2119,2244021,0.002,0.2,4488,4.235960358659745,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-12-31,60,2119,2244021,0.005,0.5,11220,10.589900896649363,False,Approximation only. Step 2 will use the exact common valid pair universe.
2015-12-31,60,2119,2244021,0.01,1.0,22440,21.179801793298726,True,Approximation only. Step 2 will use the exact common valid pair universe.
2015-12-31,60,2119,2244021,0.02,2.0,44880,42.35960358659745,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-01-29,60,2199,2416701,0.002,0.2,4833,4.395634379263302,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-01-29,60,2199,2416701,0.005,0.5,12083,10.989540700318326,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-01-29,60,2199,2416701,0.01,1.0,24167,21.9799909049568,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-01-29,60,2199,2416701,0.02,2.0,48334,43.9599818099136,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-02-29,60,2241,2509920,0.002,0.2,5019,4.479250334672021,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-02-29,60,2241,2509920,0.005,0.5,12549,11.19946452476573,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-02-29,60,2241,2509920,0.01,1.0,25099,22.399821508255243,True,Approximation only. Step 2 will use the exact common valid pair universe.
2016-02-29,60,2241,2509920,0.02,2.0,50198,44.79964301651049,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-03-31,60,2290,2620905,0.002,0.2,5241,4.577292576419214,False,Approximation only. Step 2 will use the exact common valid pair universe.
2016-03-31,60,2290,2620905,0.005,0.5,13104,11.444541484716158,False,Approximation only. Step 2 will use the exact common valid pair universe.
