window,density_fraction,density_percent,is_primary_density,analysis_date_count,mean_stock_count,min_stock_count,max_stock_count,mean_approx_edge_count,min_approx_edge_count,max_approx_edge_count,mean_approx_degree
60,0.002,0.2,False,138,3903.8115942028985,1572,5176,16389.246376811596,2469,26785,7.805332060004069
60,0.005,0.5,False,138,3903.8115942028985,1572,5176,40973.862318840576,6174,66964,19.51376356111706
60,0.01,1.0,True,138,3903.8115942028985,1572,5176,81948.3115942029,12348,133929,39.02785639618918
60,0.02,2.0,False,138,3903.8115942028985,1572,5176,163897.1231884058,24696,267858,78.05599429791546
120,0.002,0.2,False,135,3875.4518518518516,1506,5170,16221.251851851852,2266,26723,7.748631423576464
120,0.005,0.5,False,135,3875.4518518518516,1506,5170,40553.88148148148,5666,66809,19.37200798785864
120,0.01,1.0,True,135,3875.4518518518516,1506,5170,81108.17777777778,11332,133618,38.74425405690983
120,0.02,2.0,False,135,3875.4518518518516,1506,5170,162216.85925925925,22665,267237,77.48878966054852
252,0.002,0.2,False,129,3779.9147286821703,1487,5125,15538.279069767443,2209,26260,7.557539917822318
252,0.005,0.5,False,129,3779.9147286821703,1487,5125,38846.43410852713,5524,65651,18.894283277191814
252,0.01,1.0,True,129,3779.9147286821703,1487,5125,77693.3488372093,11048,131302,37.788857849428354
252,0.02,2.0,False,129,3779.9147286821703,1487,5125,155387.2015503876,22096,262605,75.57802336488444
