analysis_date,window,density_fraction,density_percent,common_node_count,common_valid_pair_count,edge_budget_k,raw_positive_pair_count,residual_positive_pair_count,raw_edge_threshold,residual_edge_threshold,raw_residual_overlap_count,raw_residual_overlap_fraction,raw_residual_jaccard,common_industry_labeled_pair_count,common_same_industry_pair_share,raw_same_industry_edge_share,residual_same_industry_edge_share,raw_industry_enrichment,residual_industry_enrichment
2015-04-30,60,0.002,0.2,1993,1968378,3936,1855596,962724,0.6970741748809814,0.5092412829399109,1370,0.3480691056910569,0.21070439864657028,1968378,0.04823463785919168,0.2614329268292683,0.3719512195121951,5.42002466344731,7.7112887340008385
2015-05-29,60,0.002,0.2,1914,1807026,3614,1771556,896267,0.7209920883178711,0.515359103679657,1458,0.4034311012728279,0.25268630849220103,1807026,0.047802853971110545,0.2974543442169341,0.3926397343663531,6.22252270537444,8.213729971094262
2015-06-30,60,0.002,0.2,1802,1597135,3194,1594676,790645,0.8087173700332642,0.530222475528717,997,0.3121477770820288,0.18493785939528845,1597135,0.04773485021616833,0.2686286787726988,0.3778960551033187,5.627516951581661,7.916565222096812
2015-07-31,60,0.002,0.2,1572,1165107,2330,1164317,567717,0.8982069492340088,0.6429418921470642,661,0.2836909871244635,0.1652913228307077,1165107,0.04739135547207252,0.2223175965665236,0.2875536480686695,4.69110018804029,6.06763923935713
2015-08-31,60,0.002,0.2,1645,1276608,2553,1276317,616192,0.924167811870575,0.6688039302825928,481,0.18840579710144928,0.104,1276608,0.048859164285356194,0.16333725029377202,0.24794359576968272,3.343021778674315,5.074658958994823
2015-09-30,60,0.002,0.2,1769,1509086,3018,1506397,724924,0.9355514049530029,0.6982921957969666,449,0.1487740225314778,0.0803651333452658,1509086,0.04989775267943643,0.1219350563286945,0.19814446653412857,2.4436983587628722,3.971009832989667
2015-10-30,60,0.002,0.2,1962,1910443,3820,1907483,919879,0.9177048802375793,0.6498293280601501,418,0.1094240837696335,0.05787870396012185,1910443,0.0502857190714405,0.13141361256544504,0.18403141361256545,2.6133386375314,3.659715263315884
2015-11-30,60,0.002,0.2,2037,2059103,4118,2046352,991791,0.8896520137786865,0.5951935648918152,706,0.1714424477901894,0.09375830013280212,2059103,0.050097542473591654,0.16318601262748908,0.2355512384652744,3.2573656225454717,4.701852163495695
2015-12-31,60,0.002,0.2,2119,2225937,4451,2215951,1085875,0.8086177110671997,0.5907056331634521,1981,0.44506852392720736,0.286230313538506,2225937,0.05061823402908528,0.27319703437429793,0.29678723882273644,5.39720595975985,5.863247592798324
2016-01-29,60,0.002,0.2,2199,2401665,4803,2401617,1182603,0.8853082656860352,0.5951429605484009,1487,0.3095981678117843,0.18315063431457076,2401665,0.05061904970093664,0.18717468249011035,0.27566104518009577,3.697712295982651,5.445796529344861
2016-02-29,60,0.002,0.2,2241,2495860,4991,2495821,1233242,0.908736526966095,0.5836050510406494,1243,0.24904828691644962,0.14223595377045428,2495860,0.05044553781061438,0.17050691244239632,0.2803045481867361,3.380019717155627,5.556577654877464
2016-03-31,60,0.002,0.2,2290,2604572,5209,2604156,1287450,0.9325739741325378,0.5754104256629944,783,0.15031675945478978,0.08126621691748832,2604572,0.05018367701104059,0.1353426761374544,0.2764446150892686,2.6969461824744037,5.508656032288144
2016-04-29,60,0.002,0.2,2246,2502856,5005,2499350,1220148,0.8914338946342468,0.5484312772750854,657,0.13126873126873126,0.07024484122741366,2502856,0.04911828726862432,0.16463536463536463,0.3096903096903097,3.351814034862125,6.304989992762493
2016-05-31,60,0.002,0.2,2265,2541732,5083,2533487,1240957,0.8607620596885681,0.5101598501205444,853,0.16781428290379696,0.09159239772361215,2541732,0.0492050302706973,0.18945504623253984,0.33051347629352745,3.8503186603131625,6.7170668217301275
2016-06-30,60,0.002,0.2,2284,2588457,5176,2576592,1271489,0.8520339131355286,0.4992848336696625,864,0.16692426584234932,0.09106239460370995,2588457,0.04976632797067906,0.16711746522411128,0.3015842349304482,3.3580429185487075,6.060005775554373
2016-07-29,60,0.002,0.2,2332,2707273,5414,2689315,1330552,0.830861508846283,0.508009672164917,978,0.180642777983007,0.09928934010152285,2707273,0.049376623635665855,0.18489102327299595,0.3167713335796084,3.7445051860420233,6.41541098307899
2016-08-31,60,0.002,0.2,2409,2888118,5776,2827181,1405383,0.7784463763237,0.5106209516525269,1473,0.2550207756232687,0.146145450937593,2888118,0.04933281811892727,0.2380540166204986,0.3315443213296399,4.825469650783352,6.720563186363724
2016-09-30,60,0.002,0.2,2429,2934270,5868,2840931,1431672,0.7555544376373291,0.5055859684944153,1771,0.3018064076346285,0.17772202709483192,2934270,0.0491907697655635,0.25374914792092707,0.33554873892297205,5.158470768606812,6.8213760533155225
2016-10-31,60,0.002,0.2,2451,2991136,5982,2873220,1463695,0.7326265573501587,0.4803418815135956,1735,0.2900367769976597,0.16961579822074493,2991136,0.049128157328854324,0.23671013039117353,0.3595787362086259,4.818217154099267,7.319198515866895
2016-11-30,60,0.002,0.2,2460,3010162,6020,2814463,1474338,0.7056899070739746,0.49183037877082825,1886,0.3132890365448505,0.185739610005909,3010162,0.0491109780802495,0.2473421926910299,0.3478405315614618,5.036393131630607,7.082744941326052
2016-12-30,60,0.002,0.2,2499,3110113,6220,2952329,1523606,0.7554236650466919,0.48764917254447937,1479,0.2377813504823151,0.13493294407444575,3110113,0.049192103309429594,0.1954983922829582,0.3292604501607717,3.974182422191394,6.6933598689539275
2017-01-26,60,0.002,0.2,2537,3205770,6411,3063012,1578154,0.7934224605560303,0.49791988730430603,1336,0.2083918265481204,0.11631551453943932,3205770,0.04939218970793288,0.16409296521603495,0.30182498830135707,3.322245200837491,6.110783710665918
2017-02-28,60,0.002,0.2,2579,3315267,6630,3157443,1644939,0.8121064305305481,0.49849066138267517,1220,0.18401206636500755,0.10132890365448505,3315267,0.04978422552391708,0.14524886877828055,0.27496229260935146,2.9175681101737907,5.523080648854435
2017-03-31,60,0.002,0.2,2663,3534883,7069,3259664,1756878,0.7443081736564636,0.49379095435142517,1634,0.23115009195077096,0.13067818298144593,3534883,0.04993715492139344,0.15971141604187297,0.28561324091101997,3.198248204033175,5.7194536084525955
2017-04-28,60,0.002,0.2,2696,3619761,7239,3336443,1821281,0.701470673084259,0.5329864621162415,3447,0.47617074181516783,0.31248300244764754,3619761,0.050088942336248166,0.1685315651333057,0.24948197264815583,3.3646461129474368,4.98077940982219
2017-05-31,60,0.002,0.2,2699,3625791,7251,3369194,1826743,0.7341275215148926,0.5201887488365173,3115,0.4295959178044408,0.2735575656450338,3625791,0.04963965104442038,0.1343262998207144,0.22920976417045924,2.7060282857450306,4.617473317154251
2017-06-30,60,0.002,0.2,2750,3762625,7525,3519678,1881139,0.7938763499259949,0.5423452258110046,3259,0.43308970099667776,0.2763972521414638,3762625,0.05008816982824491,0.10485049833887043,0.17621262458471762,2.093318615920856,3.5180487765666104
2017-07-31,60,0.002,0.2,2783,3860642,7721,3642830,1898928,0.8323524594306946,0.5140380263328552,1282,0.1660406683072141,0.09053672316384181,3860642,0.049420536791549174,0.10607434270172257,0.30565988861546434,2.146361605684969,6.1848759333535135
2017-08-31,60,0.002,0.2,2834,4006678,8013,3761115,1959558,0.8045602440834045,0.541053831577301,1809,0.22575814301759642,0.1272420341844271,4006678,0.049573736646668386,0.15724447772369898,0.35117933358292774,3.1719311143406945,7.083979488694219
2017-09-29,60,0.002,0.2,2897,4185122,8370,3864133,2050148,0.7605187296867371,0.5403818488121033,2844,0.33978494623655914,0.20466321243523317,4185122,0.049354116797550945,0.2053763440860215,0.36690561529271204,4.161280910536175,7.434144081591967
2017-10-31,60,0.002,0.2,2941,4313349,8626,3855289,2099920,0.6877122521400452,0.5102072954177856,4248,0.4924646417806631,0.3266687173177484,4313349,0.049692709771456005,0.29399489914212845,0.4263853466264781,5.9162581492185415,8.580440643858752
2017-11-30,60,0.002,0.2,2959,4366857,8733,3968319,2162067,0.7069730162620544,0.49237847328186035,3196,0.36596816672392074,0.22396636299929923,4366857,0.049720657214101585,0.23519981678690027,0.43020725981907704,4.730424535100348,8.652485383822789
2017-12-29,60,0.002,0.2,2995,4475131,8950,4118206,2232545,0.7605021595954895,0.49020105600357056,2025,0.22625698324022347,0.12755905511811025,4475131,0.049996972155675445,0.18379888268156425,0.39776536312849164,3.676200272873928,7.955789040383698
