analysis_date,window,window_start,required_stock_days,required_pair_days,pit_stock_count,raw_eligible_stock_count,common_node_count,total_possible_common_node_pairs,common_valid_pair_count,common_valid_pair_ratio,raw_positive_pair_count,residual_positive_pair_count,market_beta_mean,market_beta_median,market_r2_mean,market_r2_median,common_industry_pair_count,common_same_industry_pair_count,common_same_industry_pair_share,raw_edge_master_path,residual_edge_master_path,node_path
2015-04-30,60,2015-01-29,54,54,2695,1993,1993,1985028,1968378,0.9916122089965481,1855596,962724,0.9966594849771522,0.9892673371608064,0.29404904967336637,0.28498818583025304,1968378,94944,0.04823463785919168,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2015-04-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2015-04-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2015-04-30.parquet
2015-05-29,60,2015-03-05,54,54,2736,1914,1914,1830741,1807026,0.9870462288220999,1771556,896267,1.0123772033289038,1.0148746594036346,0.3557269096015878,0.3581909187159648,1807026,86381,0.047802853971110545,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2015-05-29.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2015-05-29.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2015-05-29.parquet
2015-06-30,60,2015-04-03,54,54,2779,1802,1802,1622701,1597135,0.9842447869324047,1594676,790645,1.0114356248797032,1.0413096027162068,0.5097790704972273,0.5268942685690693,1597135,76239,0.04773485021616833,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2015-06-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2015-06-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2015-06-30.parquet
2015-07-31,60,2015-05-08,54,54,2783,1572,1572,1234806,1165107,0.9435546960413215,1164317,567717,1.0096435432056814,1.0551091204390222,0.6539191282042248,0.6806152164136312,1165107,55216,0.04739135547207252,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2015-07-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2015-07-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2015-07-31.parquet
2015-08-31,60,2015-06-08,54,54,2783,1645,1645,1352190,1276608,0.9441040090519823,1276317,616192,1.004675178415419,1.0523730495908425,0.6959623693336245,0.7333563963299637,1276608,62374,0.048859164285356194,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2015-08-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2015-08-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2015-08-31.parquet
2015-09-30,60,2015-07-07,54,54,2783,1769,1769,1563796,1509086,0.965014618275018,1506397,724924,0.9972402599023995,1.036538945284541,0.7149712196292235,0.7509169778460348,1509086,75300,0.04989775267943643,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2015-09-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2015-09-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2015-09-30.parquet
2015-10-30,60,2015-07-30,54,54,2783,1962,1962,1923741,1910443,0.9930874270496912,1907483,919879,1.0020497131788695,1.0441510663106666,0.6894179295284539,0.7244520980618343,1910443,96068,0.0502857190714405,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2015-10-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2015-10-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2015-10-30.parquet
2015-11-30,60,2015-08-28,54,54,2783,2037,2037,2073666,2059103,0.9929771718299861,2046352,991791,1.0041835814741753,1.0460899682271743,0.632506809291164,0.6612613263935979,2059103,103156,0.050097542473591654,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2015-11-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2015-11-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2015-11-30.parquet
2015-12-31,60,2015-10-09,54,54,2811,2119,2119,2244021,2225937,0.9919412518866803,2215951,1085875,1.0063210972170533,1.0258318508718822,0.4624912291915908,0.47069513186256384,2225937,112673,0.05061823402908528,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2015-12-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2015-12-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2015-12-31.parquet
2016-01-29,60,2015-11-06,54,54,2812,2199,2199,2416701,2401665,0.9937782952876669,2401617,1182603,1.0045026152081293,1.024197825872715,0.6170476666501384,0.6336772293705293,2401665,121570,0.05061904970093664,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-01-29.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-01-29.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-01-29.parquet
2016-02-29,60,2015-11-30,54,54,2819,2241,2241,2509920,2495860,0.9943982278319627,2495821,1233242,1.001955687243885,1.0309319660899934,0.660515789484511,0.6827522213660483,2495860,125905,0.05044553781061438,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-02-29.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-02-29.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-02-29.parquet
2016-03-31,60,2015-12-31,54,54,2835,2290,2290,2620905,2604572,0.9937681831275837,2604156,1287450,0.9975765840535005,1.0214029144976782,0.7082172203511848,0.745210487445519,2604572,130707,0.05018367701104059,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-03-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-03-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-03-31.parquet
2016-04-29,60,2016-01-29,54,54,2846,2246,2246,2521135,2502856,0.9927496940861953,2499350,1220148,1.0001501939551747,1.0145634137863238,0.6061858390498661,0.6346171975402028,2502856,122936,0.04911828726862432,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-04-29.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-04-29.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-04-29.parquet
2016-05-31,60,2016-03-07,54,54,2858,2265,2265,2563980,2541732,0.9913228652329581,2533487,1240957,0.998302273287293,0.9941796387688293,0.5389022614344439,0.5553987669453202,2541732,125066,0.0492050302706973,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-05-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-05-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-05-31.parquet
2016-06-30,60,2016-04-05,54,54,2871,2284,2284,2607186,2588457,0.9928163928465403,2576592,1271489,0.9944978650117088,0.9925807959080871,0.50825959891816,0.519581322848653,2588457,128818,0.04976632797067906,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-06-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-06-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-06-30.parquet
2016-07-29,60,2016-05-05,54,54,2884,2332,2332,2717946,2707273,0.9960731375825715,2689315,1330552,0.995933901716181,0.9925978477228261,0.4714886479512933,0.48294728609397314,2707273,133676,0.049376623635665855,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-07-29.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-07-29.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-07-29.parquet
2016-08-31,60,2016-06-07,54,54,2914,2409,2409,2900436,2888118,0.9957530522997232,2827181,1405383,0.9978902614937709,0.9827369614320067,0.3860592856489582,0.3869063843333565,2888118,142479,0.04933281811892727,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-08-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-08-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-08-31.parquet
2016-09-30,60,2016-07-07,54,54,2936,2429,2429,2948806,2934270,0.9950705471977471,2840931,1431672,0.9982344086716647,0.995875318942706,0.3451389000074547,0.341197405853574,2934270,144339,0.0491907697655635,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-09-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-09-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-09-30.parquet
2016-10-31,60,2016-07-29,54,54,2958,2451,2451,3002475,2991136,0.9962234489879183,2873220,1463695,0.9986886376008633,0.9800404225223607,0.31769354522088905,0.3022483525340418,2991136,146949,0.049128157328854324,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-10-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-10-31.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-10-31.parquet
2016-11-30,60,2016-08-30,54,54,2992,2460,2460,3024570,3010162,0.9952363476461117,2814463,1474338,0.9934923656424329,0.9815906013081206,0.2755609628248203,0.25451174630413315,3010162,147832,0.0491109780802495,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-11-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-11-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-11-30.parquet
2016-12-30,60,2016-10-10,54,54,3037,2499,2499,3121251,3110113,0.9964315590127164,2952329,1523606,1.0024659278444579,0.9907431893144789,0.3268673516147589,0.3130027214363019,3110113,152993,0.049192103309429594,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\B0_RAW_POSITIVE\W60\2016-12-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\edge_master\M1_RESIDUAL_POSITIVE\W60\2016-12-30.parquet,D:\M1_StockNetwork\output\M1_day4\02_step2_matched_networks\node_universe\W60\2016-12-30.parquet
