window,density_fraction,network_id,date_t,date_t1,calendar_gap_days,edge_budget_t,edge_budget_t1,node_count_t,node_count_t1,common_node_count,node_jaccard,full_edge_count_t,full_edge_count_t1,full_edge_jaccard,common_node_edge_count_t,common_node_edge_count_t1,common_edge_intersection_count,common_edge_jaccard,forward_edge_retention,backward_edge_retention,symmetric_edge_retention,edge_turnover,lost_edge_count,gained_edge_count,gross_edge_changes,delta_edge_count,node_common_node_count,node_degree_rank_spearman,node_strength_rank_spearman,node_top1pct_degree_hub_retention,node_top1pct_degree_hub_jaccard,node_top1pct_strength_hub_retention,node_top1pct_strength_hub_jaccard,node_top5pct_degree_hub_retention,node_top5pct_degree_hub_jaccard,node_top5pct_strength_hub_retention,node_top5pct_strength_hub_jaccard,community_common_active_node_count,community_active_node_jaccard,community_community_temporal_nmi,community_community_temporal_ari,initial_same_edge_count,initial_cross_edge_count,persistent_same_edge_count,persistent_cross_edge_count,same_industry_edge_retention,cross_industry_edge_retention,same_minus_cross_retention
60,0.01,B0_RAW_POSITIVE,2015-04-30,2015-05-29,29,19683,18070,1993,1914,1819,0.8711685823754789,19683,18070,0.17023650847772853,16395,17003,5492,0.19680355479108436,0.3349801768831961,0.32300182320766924,0.32888196898017846,0.8031964452089156,10903,11511,22414,608,1819,0.6704837249621005,0.6730106290027957,0.15789473684210525,0.08571428571428572,0.15789473684210525,0.08571428571428572,0.4175824175824176,0.2638888888888889,0.42857142857142855,0.2727272727272727,1340,0.8121212121212121,0.31551873365863414,0.20420563672466968,2552,13843,1307,4185,0.5121473354231975,0.302318861518457,0.20982847390474046
60,0.01,B0_RAW_POSITIVE,2015-05-29,2015-06-30,32,18070,15971,1914,1802,1663,0.810034096444228,18070,15971,0.16323810825587753,13713,14553,4777,0.20337179105113032,0.34835557500182307,0.32824847110561395,0.33800325479374516,0.7966282089488697,8936,9776,18712,840,1663,0.7164491254825686,0.7171459429728706,0.4117647058823529,0.25925925925925924,0.35294117647058826,0.21428571428571427,0.4166666666666667,0.2631578947368421,0.42857142857142855,0.2727272727272727,1164,0.8,0.2871954166859716,0.1519005459789748,2120,11593,1120,3657,0.5283018867924528,0.31544897783145004,0.21285290896100278
60,0.01,B0_RAW_POSITIVE,2015-06-30,2015-07-31,31,15971,11651,1802,1572,1423,0.7293695540748334,15971,11651,0.12765870585833844,11599,10875,3127,0.16162712565255596,0.26959220622467456,0.28754022988505745,0.2782771202278188,0.838372874347444,8472,7748,16220,-724,1423,0.602713543176019,0.6053352650286606,0.06666666666666667,0.034482758620689655,0.06666666666666667,0.034482758620689655,0.3055555555555556,0.18032786885245902,0.3055555555555556,0.18032786885245902,866,0.7222685571309424,0.293980663744556,0.12735434339275933,1674,9925,658,2469,0.3930704898446834,0.24876574307304786,0.14430474677163554
60,0.01,B0_RAW_POSITIVE,2015-07-31,2015-08-31,31,11651,12766,1572,1645,1455,0.825766174801362,11651,12766,0.19398533007334964,10400,11699,3967,0.21878446944628283,0.3814423076923077,0.339088811009488,0.35902077017059597,0.7812155305537172,6433,7732,14165,1299,1455,0.7614344082605274,0.7635908592954518,0.26666666666666666,0.15384615384615385,0.26666666666666666,0.15384615384615385,0.4657534246575342,0.30357142857142855,0.4794520547945205,0.3153153153153153,852,0.7648114901256733,0.46612373697675286,0.33271008841258254,1202,9198,634,3333,0.5274542429284526,0.3623613829093281,0.16509286001912443
60,0.01,B0_RAW_POSITIVE,2015-08-31,2015-09-30,30,12766,15090,1645,1769,1570,0.851409978308026,12766,15090,0.21334611028835265,11993,13382,4898,0.23919519460858524,0.4084049028600017,0.3660140487221641,0.3860492610837438,0.7608048053914147,7095,8484,15579,1389,1570,0.6894831928010761,0.6914305557106692,0.5625,0.391304347826087,0.5625,0.391304347826087,0.5063291139240507,0.3389830508474576,0.5189873417721519,0.3504273504273504,875,0.7225433526011561,0.5192570277215213,0.36783751989184105,1291,10702,588,4310,0.45546088303640586,0.4027284619697253,0.05273242106668058
60,0.01,B0_RAW_POSITIVE,2015-09-30,2015-10-30,30,15090,19104,1769,1962,1680,0.8191126279863481,15090,19104,0.1834290856233128,13084,15277,5300,0.22982524608646632,0.4050749006420055,0.3469267526346796,0.37375268855117944,0.7701747539135337,7784,9977,17761,2193,1680,0.7472815244343541,0.746608693246835,0.4117647058823529,0.25925925925925924,0.4117647058823529,0.25925925925925924,0.5,0.3333333333333333,0.5119047619047619,0.344,956,0.7629688747007183,0.5092321775661125,0.3151058755328866,1251,11833,607,4693,0.48521183053557154,0.39660272120341417,0.08860910933215738
60,0.01,B0_RAW_POSITIVE,2015-10-30,2015-11-30,31,19104,20591,1962,2037,1888,0.8943628612032212,19104,20591,0.1613176911149469,17509,19156,5514,0.17700876376360308,0.3149237534982009,0.287847149718104,0.30077730805945724,0.8229912362363969,11995,13642,25637,1647,1888,0.6986828774488417,0.6987425775479742,0.47368421052631576,0.3103448275862069,0.47368421052631576,0.3103448275862069,0.42105263157894735,0.26666666666666666,0.42105263157894735,0.26666666666666666,1038,0.7258741258741259,0.4153883353077937,0.22061602699654434,1908,15601,805,4709,0.4219077568134172,0.3018396256650215,0.12006813114839571
60,0.01,B0_RAW_POSITIVE,2015-11-30,2015-12-31,31,20591,22259,2037,2119,1955,0.8882326215356656,20591,22259,0.13926406466021482,19488,21189,5238,0.14780326758655718,0.2687807881773399,0.24720373778847515,0.2575411166015193,0.8521967324134428,14250,15951,30201,1701,1955,0.5700140619008971,0.5717735764043752,0.25,0.14285714285714285,0.25,0.14285714285714285,0.3469387755102041,0.20987654320987653,0.3469387755102041,0.20987654320987653,1096,0.7007672634271099,0.38894765725740277,0.22876383181438423,2234,17254,1067,4171,0.4776186213070725,0.241741045554654,0.2358775757524185
60,0.01,B0_RAW_POSITIVE,2015-12-31,2016-01-29,29,22259,24016,2119,2199,2037,0.8930293730819816,22259,24016,0.21482200987083902,21607,22820,8183,0.22577530073943272,0.3787198593048549,0.3585889570552147,0.36837958898867806,0.7742246992605673,13424,14637,28061,1213,2037,0.7474977459012428,0.7510978159345756,0.38095238095238093,0.23529411764705882,0.38095238095238093,0.23529411764705882,0.5098039215686274,0.34210526315789475,0.5196078431372549,0.3509933774834437,1140,0.741222366710013,0.43073138313558695,0.3161822999470539,3331,18276,1557,6626,0.46742719903932756,0.362551980739768,0.10487521829955954
60,0.01,B0_RAW_POSITIVE,2016-01-29,2016-02-29,31,24016,24958,2199,2241,2128,0.9204152249134948,24016,24958,0.282814259894701,23346,23940,10797,0.29589739373509827,0.4624775122076587,0.4510025062656642,0.45666793554117496,0.7041026062649017,12549,13143,25692,594,2128,0.8356429072919844,0.8372929046913727,0.2727272727272727,0.15789473684210525,0.2727272727272727,0.15789473684210525,0.5981308411214953,0.4266666666666667,0.5981308411214953,0.4266666666666667,1073,0.77697320782042,0.5163548227726014,0.46137979531334955,2918,20428,1570,9227,0.5380397532556546,0.4516839631877815,0.08635579006787308
60,0.01,B0_RAW_POSITIVE,2016-02-29,2016-03-31,31,24958,26045,2241,2290,2127,0.8847753743760399,24958,26045,0.20355381456922386,22540,25270,8626,0.22014087382605144,0.3826974267968057,0.34135338345864663,0.3608450115038695,0.7798591261739486,13914,16644,30558,2730,2127,0.7534309859672476,0.7534722100143182,0.2727272727272727,0.15789473684210525,0.2727272727272727,0.15789473684210525,0.4392523364485981,0.281437125748503,0.4392523364485981,0.281437125748503,931,0.7026415094339623,0.4943649448701944,0.34698661123446917,2514,20026,1183,7443,0.4705648369132856,0.371666833116948,0.09889800379633762
60,0.01,B0_RAW_POSITIVE,2016-03-31,2016-04-29,29,26045,25028,2290,2246,2148,0.8994974874371859,26045,25028,0.18079670774281553,23120,24143,7820,0.19826078138072661,0.3382352941176471,0.3239034088555689,0.33091424581596596,0.8017392186192733,15300,16323,31623,1023,2148,0.667392420419873,0.6684866327070852,0.2727272727272727,0.15789473684210525,0.2727272727272727,0.15789473684210525,0.4537037037037037,0.2934131736526946,0.4537037037037037,0.2934131736526946,890,0.658284023668639,0.42404655288628024,0.3060842749206593,2333,20787,1044,6776,0.44749249892841836,0.32597296387165053,0.12151953505676782
60,0.01,B0_RAW_POSITIVE,2016-04-29,2016-05-31,32,25028,25417,2246,2265,2152,0.9122509537939805,25028,25417,0.2103798258032008,23677,24177,8768,0.2243258455713043,0.3703171854542383,0.3626587252347272,0.36644794583524887,0.7756741544286957,14909,15409,30318,500,2152,0.6557527579711575,0.6583546162668833,0.2727272727272727,0.15789473684210525,0.2727272727272727,0.15789473684210525,0.5185185185185185,0.35,0.5185185185185185,0.35,896,0.6341118188251946,0.3484699725379649,0.20327859728165062,2852,20825,1393,7375,0.4884291725105189,0.35414165666266506,0.13428751584785387
60,0.01,B0_RAW_POSITIVE,2016-05-31,2016-06-30,30,25417,25884,2265,2284,2183,0.922654268808115,25417,25884,0.20106290824807435,24030,25099,8588,0.21183493253743124,0.3573866000832293,0.34216502649507946,0.349610209855686,0.7881650674625688,15442,16511,31953,1069,2183,0.7497742351634235,0.7520276274694859,0.45454545454545453,0.29411764705882354,0.45454545454545453,0.29411764705882354,0.5,0.3333333333333333,0.4909090909090909,0.3253012048192771,979,0.7027997128499641,0.3335770580024842,0.17447518746331564,2827,21203,1318,7270,0.4662186062964273,0.3428760081120596,0.12334259818436771
60,0.01,B0_RAW_POSITIVE,2016-06-30,2016-07-29,29,25884,27072,2284,2332,2209,0.9177399252181139,25884,27072,0.1691872916344689,25304,24256,7663,0.18290092369382055,0.30283749604805565,0.3159218337730871,0.3092413236481033,0.8170990763061794,17641,16593,34234,-1048,2209,0.7044621400794708,0.7070905315800933,0.2608695652173913,0.15,0.2608695652173913,0.15,0.44144144144144143,0.2832369942196532,0.44144144144144143,0.2832369942196532,1007,0.6836388323150034,0.37458184824017215,0.2220967682206215,2814,22490,1296,6367,0.4605543710021322,0.2831036016007114,0.1774507694014208
60,0.01,B0_RAW_POSITIVE,2016-07-29,2016-08-31,33,27072,28881,2332,2409,2270,0.9186564144071226,27072,28881,0.19839366031270078,26141,26837,9263,0.21189523047009035,0.35434757660380245,0.34515780452360545,0.34969232511608594,0.7881047695299097,16878,17574,34452,696,2270,0.6565483176159428,0.6602398963858048,0.391304347826087,0.24324324324324326,0.391304347826087,0.24324324324324326,0.40350877192982454,0.25274725274725274,0.41228070175438597,0.2596685082872928,1152,0.6732904734073641,0.3753626916876017,0.19668952737430853,3055,23086,1662,7601,0.5440261865793781,0.3292471627826388,0.21477902379673924
60,0.01,B0_RAW_POSITIVE,2016-08-31,2016-09-30,30,28881,29342,2409,2429,2314,0.9167987321711569,28881,29342,0.1792,26744,27346,8848,0.1955704876000177,0.3308405623691295,0.32355737585021577,0.32715843963764096,0.8044295123999823,17896,18498,36394,602,2314,0.7257058381670309,0.7281243557032357,0.3333333333333333,0.2,0.3333333333333333,0.2,0.4827586206896552,0.3181818181818182,0.49137931034482757,0.32571428571428573,1359,0.7541620421753608,0.379798754101112,0.19146345472624146,3661,23083,1842,7006,0.5031412182463808,0.30351340813585753,0.19962781011052327
60,0.01,B0_RAW_POSITIVE,2016-09-30,2016-10-31,31,29342,29911,2429,2451,2359,0.935739785799286,29342,29911,0.18953264273668996,28313,29350,9441,0.1957820082120194,0.3334510648818564,0.3216695059625213,0.32745434680817853,0.8042179917879806,18872,19909,38781,1037,2359,0.7748001933457715,0.7783133385588078,0.2916666666666667,0.17073170731707318,0.2916666666666667,0.17073170731707318,0.4322033898305085,0.2756756756756757,0.4406779661016949,0.2826086956521739,1408,0.7710843373493976,0.3108205880231156,0.1487978920515529,3978,24335,2031,7410,0.5105580693815988,0.30449969180193137,0.20605837757966738
60,0.01,B0_RAW_POSITIVE,2016-10-31,2016-11-30,30,29911,30101,2451,2460,2358,0.9236192714453584,29911,30101,0.16679952559640698,27615,29009,8579,0.17856176501196794,0.3106644939344559,0.29573580612913236,0.30301638881039844,0.821438234988032,19036,20430,39466,1394,2358,0.7781963760456656,0.7802570853303733,0.375,0.23076923076923078,0.3333333333333333,0.2,0.423728813559322,0.26881720430107525,0.423728813559322,0.26881720430107525,1444,0.7809626825310979,0.25409399156577156,0.12631179657097508,3617,23998,1866,6713,0.5158971523361903,0.27973164430369196,0.2361655080324983
60,0.01,B0_RAW_POSITIVE,2016-11-30,2016-12-30,30,30101,31101,2460,2499,2367,0.9131944444444444,30101,31101,0.16192356615343725,27074,29558,8529,0.17730702866765066,0.31502548570584327,0.2885513228229244,0.30120779771154116,0.8226929713323493,18545,21029,39574,2484,2367,0.6520916235735772,0.6561908514946896,0.20833333333333334,0.11627906976744186,0.20833333333333334,0.11627906976744186,0.4369747899159664,0.27956989247311825,0.4369747899159664,0.27956989247311825,1294,0.6968228325255789,0.40505114678865,0.3093651949690511,3757,23317,1820,6709,0.4844290657439446,0.2877299824162628,0.19669908332768182
