window,density_fraction,network_id,common_edge_jaccard,forward_edge_retention
60,0.002,B0_RAW_POSITIVE,0.20464441768430375,0.33771640036055867
60,0.002,M1_RESIDUAL_POSITIVE,0.29400234416767257,0.4511117457682697
60,0.005,B0_RAW_POSITIVE,0.22290430288912075,0.36286000700937865
60,0.005,M1_RESIDUAL_POSITIVE,0.2823057806214406,0.43677228793175454
60,0.01,B0_RAW_POSITIVE,0.24351103052544018,0.39037964138526404
60,0.01,M1_RESIDUAL_POSITIVE,0.28212884846663033,0.4361889682043403
60,0.02,B0_RAW_POSITIVE,0.2718077991246826,0.4266362914991606
60,0.02,M1_RESIDUAL_POSITIVE,0.29021393700597575,0.4456510280117856
120,0.002,B0_RAW_POSITIVE,0.3929934566293411,0.5646985382002946
120,0.002,M1_RESIDUAL_POSITIVE,0.5270610345709058,0.6890615781847568
120,0.005,B0_RAW_POSITIVE,0.4088230772402248,0.5814032187419189
120,0.005,M1_RESIDUAL_POSITIVE,0.5078913447394018,0.6721422684289475
120,0.01,B0_RAW_POSITIVE,0.4291224214974509,0.6019952042075717
120,0.01,M1_RESIDUAL_POSITIVE,0.4985814964750563,0.6634423913369535
120,0.02,B0_RAW_POSITIVE,0.4568386053488902,0.6289987929126771
120,0.02,M1_RESIDUAL_POSITIVE,0.4962986723803131,0.66085268298682
252,0.002,B0_RAW_POSITIVE,0.589485246840376,0.7452788961512243
252,0.002,M1_RESIDUAL_POSITIVE,0.7271201309147123,0.8447503898768347
252,0.005,B0_RAW_POSITIVE,0.5955350197265603,0.7503741966768883
252,0.005,M1_RESIDUAL_POSITIVE,0.7101625075776173,0.8329258738668006
252,0.01,B0_RAW_POSITIVE,0.6077628071960908,0.7601081355968293
252,0.01,M1_RESIDUAL_POSITIVE,0.6968743202605318,0.8231978694863218
252,0.02,B0_RAW_POSITIVE,0.627649100890783,0.7754293015820776
252,0.02,M1_RESIDUAL_POSITIVE,0.6857605899302912,0.814606728654047
