window,density_fraction,raw_residual_overlap_fraction,raw_residual_jaccard
60,0.002,0.32082349870519195,0.19974535273005234
60,0.005,0.3216378204758417,0.19887891635148325
60,0.01,0.33178193717433246,0.20538070249433252
60,0.02,0.35182132966491475,0.21930726886165364
120,0.002,0.3383041047634076,0.212263186899098
120,0.005,0.3272616976468994,0.2031285022661214
120,0.01,0.3313355774796874,0.20529312043429657
120,0.02,0.3468833478522908,0.2158543695838437
252,0.002,0.3711543304488309,0.23650483027449745
252,0.005,0.3420740138723788,0.21334777458954937
252,0.01,0.3372295452082578,0.20890400175170223
252,0.02,0.3470174498943615,0.21523515683988653
