window,density_fraction,network_id,same_industry_retention,cross_industry_retention,same_minus_cross_retention
60,0.002,B0_RAW_POSITIVE,0.4663201876433809,0.29106348927804465,0.1752566983653363
60,0.002,M1_RESIDUAL_POSITIVE,0.5947702865767086,0.3560424798793943,0.23872780669731428
60,0.005,B0_RAW_POSITIVE,0.4857256952672461,0.32958495539234456,0.15614073987490162
60,0.005,M1_RESIDUAL_POSITIVE,0.5921857916397075,0.3689454691958956,0.22324032244381192
60,0.01,B0_RAW_POSITIVE,0.5085429596494597,0.3640519490761468,0.1444910105733129
60,0.01,M1_RESIDUAL_POSITIVE,0.5941857434041145,0.38404004236331163,0.21014570104080288
60,0.02,B0_RAW_POSITIVE,0.5395684250299496,0.40569368519592613,0.13387473983402345
60,0.02,M1_RESIDUAL_POSITIVE,0.6020542868241937,0.40572996089953356,0.19632432592466015
120,0.002,B0_RAW_POSITIVE,0.6790499459080961,0.5122130939585675,0.1668368519495285
120,0.002,M1_RESIDUAL_POSITIVE,0.7780767196506603,0.6094890416978683,0.16858767795279198
120,0.005,B0_RAW_POSITIVE,0.6898513627151898,0.5457104902066977,0.14414087250849203
120,0.005,M1_RESIDUAL_POSITIVE,0.7721289479981052,0.6147636771060924,0.15736527089201277
120,0.01,B0_RAW_POSITIVE,0.7032091877759563,0.5751199561711332,0.12808923160482305
120,0.01,M1_RESIDUAL_POSITIVE,0.7707471824846814,0.6178643765682411,0.15288280591644027
120,0.02,B0_RAW_POSITIVE,0.7227370155598091,0.6086089773234267,0.11412803823638225
120,0.02,M1_RESIDUAL_POSITIVE,0.77320231370195,0.624996960428692,0.1482053532732581
252,0.002,B0_RAW_POSITIVE,0.825175259594512,0.6954552004984359,0.1297200590960761
252,0.002,M1_RESIDUAL_POSITIVE,0.889301516810114,0.7917268908065083,0.09757462600360571
252,0.005,B0_RAW_POSITIVE,0.8270478947634168,0.7179768495936409,0.10907104516977581
252,0.005,M1_RESIDUAL_POSITIVE,0.8830184211185711,0.7950721875757398,0.08794623354283125
252,0.01,B0_RAW_POSITIVE,0.8327429762419191,0.7361684608670739,0.09657451537484509
252,0.01,M1_RESIDUAL_POSITIVE,0.8793818904330613,0.7918865127655911,0.0874953776674701
252,0.02,B0_RAW_POSITIVE,0.8433794925800521,0.7576586421386741,0.085720850441378
252,0.02,M1_RESIDUAL_POSITIVE,0.8804291240036983,0.7878290088732482,0.09260011513045002
