analysis_date,window,density_fraction,density_percent,network_id,n_nodes,n_edges,mean_degree,isolated_node_share,connected_component_count,giant_component_share,degree_gini,strength_gini,top1pct_degree_share,top5pct_degree_share,top1pct_strength_share,top5pct_strength_share,industry_labeled_edge_count,same_industry_edge_share,industry_enrichment
2015-04-30,60,0.002,0.2,B0_RAW_POSITIVE,1993,3936,3.9498243853487205,0.47717009533366783,997,0.4606121424987456,0.7951933647848772,0.7964338605332628,0.15548780487804878,0.4580792682926829,0.1550172141568529,0.4587287369456302,3936,0.2614329268292683,5.42002466344732
2015-04-30,60,0.002,0.2,M1_RESIDUAL_POSITIVE,1993,3936,3.9498243853487205,0.33868539889613647,751,0.564977420973407,0.7311357026013812,0.7443781745568685,0.11064532520325203,0.38401930894308944,0.11709584480247744,0.40414195208314535,3936,0.3719512195121951,7.711288734000852
2015-05-29,60,0.002,0.2,B0_RAW_POSITIVE,1914,3614,3.7763845350052248,0.49320794148380354,977,0.46290491118077326,0.7930068773531935,0.7946646503825681,0.16768123962368567,0.44120088544548974,0.16953824243187052,0.4430400737351527,3614,0.2974543442169341,6.222522705374447
2015-05-29,60,0.002,0.2,M1_RESIDUAL_POSITIVE,1914,3614,3.7763845350052248,0.41431556948798326,860,0.4994775339602926,0.7672545349300497,0.778231348725622,0.12271721084670725,0.405644714997233,0.12804537513316666,0.4247734617797199,3614,0.3926397343663531,8.21372997109427
2015-06-30,60,0.002,0.2,B0_RAW_POSITIVE,1802,3194,3.5449500554938957,0.5521642619311876,1023,0.40732519422863483,0.8233822504321018,0.8239805358503465,0.17705072010018785,0.480275516593613,0.1765358846728861,0.48080286375576525,3194,0.2686286787726988,5.627516951581665
2015-06-30,60,0.002,0.2,M1_RESIDUAL_POSITIVE,1802,3194,3.5449500554938957,0.47835738068812433,932,0.41897891231964485,0.8015949022063427,0.8111100815021197,0.13697557921102066,0.46430807764558546,0.146430517447675,0.4862310259565556,3194,0.3778960551033187,7.916565222096817
2015-07-31,60,0.002,0.2,B0_RAW_POSITIVE,1572,2330,2.964376590330789,0.5966921119592875,968,0.3282442748091603,0.8293510904345356,0.8296547745816656,0.14871244635193134,0.4783261802575107,0.14872041642535447,0.47889224209622283,2330,0.2223175965665236,4.691100188040291
2015-07-31,60,0.002,0.2,M1_RESIDUAL_POSITIVE,1572,2330,2.964376590330789,0.6227735368956743,1035,0.2544529262086514,0.8548785615219123,0.859812534284393,0.16137339055793992,0.5283261802575108,0.16790963799824124,0.5455485083708975,2330,0.2875536480686695,6.067639239357133
2015-08-31,60,0.002,0.2,B0_RAW_POSITIVE,1645,2553,3.103951367781155,0.5945288753799393,1011,0.3458966565349544,0.8466061145062069,0.8467777154907028,0.2164120642381512,0.526831179005092,0.2167797063808176,0.5269695403780662,2553,0.16333725029377202,3.3430217786743213
2015-08-31,60,0.002,0.2,M1_RESIDUAL_POSITIVE,1645,2553,3.103951367781155,0.5890577507598784,1036,0.26443768996960487,0.8447790727161679,0.8481160763018298,0.1582452017234626,0.5186055620838229,0.16247685296262904,0.5267761431652794,2553,0.24794359576968272,5.074658958994833
2015-09-30,60,0.002,0.2,B0_RAW_POSITIVE,1769,3018,3.412097230073488,0.614471452798191,1131,0.3131712832108536,0.8587298519042144,0.8588775299054678,0.21222664015904572,0.549039098740888,0.21258826486312268,0.5494850641066162,3018,0.1219350563286945,2.4436983587628736
2015-09-30,60,0.002,0.2,M1_RESIDUAL_POSITIVE,1769,3018,3.412097230073488,0.6269078575466365,1185,0.16280384397964953,0.8652705961330189,0.8669819322295784,0.1573889993373095,0.5414181577203446,0.15807698184961497,0.5468183263607929,3018,0.19814446653412857,3.9710098329896693
2015-10-30,60,0.002,0.2,B0_RAW_POSITIVE,1962,3820,3.893985728848114,0.6085626911314985,1229,0.34301732925586137,0.8710395418714743,0.8712436930998633,0.22107329842931936,0.6039267015706806,0.22164622946550266,0.604483436424189,3820,0.13141361256544504,2.6133386375314
2015-10-30,60,0.002,0.2,M1_RESIDUAL_POSITIVE,1962,3820,3.893985728848114,0.636085626911315,1321,0.24668705402650357,0.8756819358385237,0.87767160212221,0.18390052356020942,0.5861256544502618,0.18703034188574738,0.5930638550448092,3820,0.18403141361256545,3.659715263315884
2015-11-30,60,0.002,0.2,B0_RAW_POSITIVE,2037,4118,4.0432007854688266,0.6048109965635738,1263,0.36131566028473244,0.8606032450181598,0.8608538477029335,0.22753763963088877,0.5619232637202526,0.22833132688442084,0.5626996308482398,4118,0.16318601262748908,3.2573656225454752
