analysis_date,window,network_id,top_k,global_max_density,global_cutoff,node_count,nodes_with_at_least_k_stored_edges,nodes_exactly_recoverable,exactly_recoverable_share,all_nodes_exactly_recoverable,formal_topk_available_from_step2_master
2015-04-30,60,B0_RAW_POSITIVE,10,0.02,0.5882624983787537,1993,1214,36,0.01806322127446061,False,False
2015-04-30,60,B0_RAW_POSITIVE,25,0.02,0.5882624983787537,1993,797,2,0.0010035122930255895,False,False
2015-04-30,60,B0_RAW_POSITIVE,50,0.02,0.5882624983787537,1993,502,2,0.0010035122930255895,False,False
2015-04-30,60,M1_RESIDUAL_POSITIVE,10,0.02,0.3428228497505188,1993,1938,57,0.028600100351229302,False,False
2015-04-30,60,M1_RESIDUAL_POSITIVE,25,0.02,0.3428228497505188,1993,1332,5,0.002508780732563974,False,False
2015-04-30,60,M1_RESIDUAL_POSITIVE,50,0.02,0.3428228497505188,1993,483,0,0.0,False,False
2015-05-29,60,B0_RAW_POSITIVE,10,0.02,0.6259856820106506,1914,1168,34,0.017763845350052248,False,False
2015-05-29,60,B0_RAW_POSITIVE,25,0.02,0.6259856820106506,1914,776,6,0.003134796238244514,False,False
2015-05-29,60,B0_RAW_POSITIVE,50,0.02,0.6259856820106506,1914,470,1,0.0005224660397074191,False,False
2015-05-29,60,M1_RESIDUAL_POSITIVE,10,0.02,0.3491979241371155,1914,1813,58,0.030303030303030304,False,False
2015-05-29,60,M1_RESIDUAL_POSITIVE,25,0.02,0.3491979241371155,1914,1069,14,0.0073145245559038665,False,False
2015-05-29,60,M1_RESIDUAL_POSITIVE,50,0.02,0.3491979241371155,1914,440,0,0.0,False,False
2015-06-30,60,B0_RAW_POSITIVE,10,0.02,0.739136278629303,1802,963,32,0.017758046614872364,False,False
2015-06-30,60,B0_RAW_POSITIVE,25,0.02,0.739136278629303,1802,645,3,0.001664816870144284,False,False
2015-06-30,60,B0_RAW_POSITIVE,50,0.02,0.739136278629303,1802,400,0,0.0,False,False
2015-06-30,60,M1_RESIDUAL_POSITIVE,10,0.02,0.3541718125343323,1802,1647,54,0.029966703662597113,False,False
2015-06-30,60,M1_RESIDUAL_POSITIVE,25,0.02,0.3541718125343323,1802,960,8,0.004439511653718091,False,False
2015-06-30,60,M1_RESIDUAL_POSITIVE,50,0.02,0.3541718125343323,1802,390,1,0.0005549389567147614,False,False
2015-07-31,60,B0_RAW_POSITIVE,10,0.02,0.8505398035049438,1572,749,18,0.011450381679389313,False,False
