window,network_id,top_k,mean_exactly_recoverable_share,min_exactly_recoverable_share,all_dates_fully_exact
60,B0_RAW_POSITIVE,10,0.015247360046559511,0.005818181818181818,False
60,B0_RAW_POSITIVE,25,0.0045135833062815555,0.0010035122930255895,False
60,B0_RAW_POSITIVE,50,0.0011264810238394607,0.0,False
60,M1_RESIDUAL_POSITIVE,10,0.0283578778371544,0.014206787687450671,False
60,M1_RESIDUAL_POSITIVE,25,0.006404487008408416,0.0016604400166044002,False
60,M1_RESIDUAL_POSITIVE,50,0.0006401896905994958,0.0,False
120,B0_RAW_POSITIVE,10,0.014808675035071554,0.006511444356748224,False
120,B0_RAW_POSITIVE,25,0.004368943076420939,0.0013280212483399733,False
120,B0_RAW_POSITIVE,50,0.0011835920831232995,0.0,False
120,M1_RESIDUAL_POSITIVE,10,0.028918250679482286,0.00796812749003984,False
120,M1_RESIDUAL_POSITIVE,25,0.006867008586130504,0.001854140914709518,False
120,M1_RESIDUAL_POSITIVE,50,0.0006808999587032782,0.0,False
252,B0_RAW_POSITIVE,10,0.01533840859188497,0.0060954961056552655,False
252,B0_RAW_POSITIVE,25,0.004468941120197036,0.0006253908692933083,False
252,B0_RAW_POSITIVE,50,0.001035627458269028,0.0,False
252,M1_RESIDUAL_POSITIVE,10,0.027638629292064603,0.0075046904315197,False
252,M1_RESIDUAL_POSITIVE,25,0.006522159567028829,0.0006724949562878278,False
252,M1_RESIDUAL_POSITIVE,50,0.0006062174690742428,0.0,False
