window,density_fraction,density_percent,industry_advantage_share,residual_less_concentrated_share,residual_more_connected_share,mean_raw_residual_edge_overlap,residual_minus_raw_dynamic_retention,residual_same_minus_cross_retention,industry_structure_preserved,lower_hub_concentration_preserved,broader_connectivity_preserved,same_cross_persistence_preserved,core_conclusion_preserved
60,0.002,0.2,1.0,0.9710144927536232,0.9565217391304348,0.32082349870519195,0.11339534540771101,0.23872780669731428,True,True,True,True,True
60,0.005,0.5,1.0,1.0,1.0,0.3216378204758417,0.0739122809223759,0.22324032244381192,True,True,True,True,True
60,0.01,1.0,1.0,1.0,1.0,0.33178193717433246,0.045809326819076235,0.21014570104080288,True,True,True,True,True
60,0.02,2.0,1.0,1.0,1.0,0.35182132966491475,0.019014736512624975,0.19632432592466015,True,True,True,True,True
120,0.002,0.2,1.0,0.9333333333333333,0.9185185185185185,0.3383041047634076,0.12436303998446219,0.16858767795279198,True,True,True,True,True
120,0.005,0.5,1.0,0.9703703703703703,0.9629629629629629,0.3272616976468994,0.09073904968702862,0.15736527089201277,True,True,True,True,True
120,0.01,1.0,1.0,1.0,1.0,0.3313355774796874,0.0614471871293818,0.15288280591644027,True,True,True,True,True
120,0.02,2.0,1.0,1.0,1.0,0.3468833478522908,0.031853890074142854,0.1482053532732581,True,True,True,True,True
252,0.002,0.2,1.0,0.8527131782945736,0.7286821705426356,0.3711543304488309,0.09947149372561037,0.09757462600360571,True,False,False,True,False
252,0.005,0.5,1.0,0.9457364341085271,0.9457364341085271,0.3420740138723788,0.0825516771899123,0.08794623354283125,True,True,True,True,True
252,0.01,1.0,1.0,0.9689922480620154,0.9689922480620154,0.3372295452082578,0.06308973388949246,0.0874953776674701,True,True,True,True,True
252,0.02,2.0,1.0,1.0,1.0,0.3470174498943615,0.03917742707196947,0.09260011513045002,True,True,True,True,True
