factor_id,factor_name,family,core_factor,source_network,formula,required_source,economic_interpretation,default_transform,future_role
1,residual_degree,centrality,True,M1_RESIDUAL_POSITIVE,d_i^R = sum_j A_ij^R,Step3 residual node_metrics,Number of strongest residual association links.,raw_and_cross_sectional_percentile,alpha_and_risk
2,residual_strength,centrality,True,M1_RESIDUAL_POSITIVE,s_i^R = sum_j rho_ij^R A_ij^R,Step3 residual node_metrics,Total intensity of strongest residual associations.,raw_and_cross_sectional_percentile,alpha_and_risk
3,residual_degree_percentile,centrality,True,M1_RESIDUAL_POSITIVE,cross-sectional percentile of residual_degree,Step3 residual node_metrics,Relative residual-network centrality.,none,alpha_and_risk
4,residual_strength_percentile,centrality,True,M1_RESIDUAL_POSITIVE,cross-sectional percentile of residual_strength,Step3 residual node_metrics,Relative weighted residual centrality.,none,alpha_and_risk
5,delta_degree_percentile,raw_residual_differential,True,Raw_and_Residual,DegreePct_i^Residual - DegreePct_i^Raw,Step3 raw + residual node_metrics,Change in relative centrality after removing the market mode.,none,alpha_and_risk
6,delta_strength_percentile,raw_residual_differential,True,Raw_and_Residual,StrengthPct_i^Residual - StrengthPct_i^Raw,Step3 raw + residual node_metrics,Weighted-centrality re-ranking after market residualization.,none,alpha_and_risk
7,same_industry_degree,industry_decomposition,True,M1_RESIDUAL_POSITIVE,sum_j A_ij^R 1{Industry_i=Industry_j},Step2 residual edges + PIT industry_id1,Industry-backbone connectivity.,raw_and_cross_sectional_percentile,alpha_and_risk
8,cross_industry_degree,industry_decomposition,True,M1_RESIDUAL_POSITIVE,sum_j A_ij^R 1{Industry_i!=Industry_j},Step2 residual edges + PIT industry_id1,Cross-industry network connectivity.,raw_and_cross_sectional_percentile,alpha_and_risk
9,same_industry_strength,industry_decomposition,True,M1_RESIDUAL_POSITIVE,sum_j rho_ij^R A_ij^R 1{Industry_i=Industry_j},Step2 residual edges + PIT industry_id1,Weighted industry-backbone exposure.,raw_and_cross_sectional_percentile,alpha_and_risk
10,cross_industry_strength,industry_decomposition,True,M1_RESIDUAL_POSITIVE,sum_j rho_ij^R A_ij^R 1{Industry_i!=Industry_j},Step2 residual edges + PIT industry_id1,Intensity of cross-industry residual associations.,raw_and_cross_sectional_percentile,alpha_and_risk
11,cross_industry_degree_ratio,industry_decomposition,True,M1_RESIDUAL_POSITIVE,CrossDegree_i / Degree_i for Degree_i>0,derived,Fraction of connectivity extending outside the stock's own industry.,none,alpha_and_risk
12,cross_industry_strength_ratio,industry_decomposition,True,M1_RESIDUAL_POSITIVE,CrossStrength_i / Strength_i for Strength_i>0,derived,Fraction of weighted association outside own industry.,none,alpha_and_risk
13,delta_residual_degree_percentile_1m,dynamic,True,M1_RESIDUAL_POSITIVE,"DegreePct_i,t^R - DegreePct_i,t-1^R",adjacent Step3 residual node_metrics,Recent change in residual-network centrality.,none,alpha_and_risk
14,delta_residual_strength_percentile_1m,dynamic,True,M1_RESIDUAL_POSITIVE,"StrengthPct_i,t^R - StrengthPct_i,t-1^R",adjacent Step3 residual node_metrics,Recent change in weighted residual centrality.,none,alpha_and_risk
15,neighbor_jaccard_1m,dynamic,True,M1_RESIDUAL_POSITIVE,"|N_i,t intersect N_i,t-1| / |N_i,t union N_i,t-1|",adjacent Step2 residual edge masters,Stability of the stock's network neighborhood.,none,alpha_and_risk
16,neighbor_retention_1m,dynamic,False,M1_RESIDUAL_POSITIVE,"|N_i,t intersect N_i,t-1| / |N_i,t-1|",adjacent Step2 residual edge masters,Fraction of previous neighbors retained.,none,alpha_and_risk
17,community_size,community,False,M1_RESIDUAL_POSITIVE,number of active nodes assigned to stock i's Louvain community,Step4 residual community membership,Size of endogenous network group.,cross_sectional_percentile,alpha_and_risk
18,within_community_degree,community,True,M1_RESIDUAL_POSITIVE,sum_j A_ij^R 1{C_i=C_j},Step2 residual edges + Step4 community membership,Connectivity inside endogenous community.,raw_and_cross_sectional_percentile,alpha_and_risk
19,outside_community_degree,community,True,M1_RESIDUAL_POSITIVE,sum_j A_ij^R 1{C_i!=C_j},Step2 residual edges + Step4 community membership,Cross-community bridge connectivity.,raw_and_cross_sectional_percentile,alpha_and_risk
20,participation_coefficient,community,True,M1_RESIDUAL_POSITIVE,P_i = 1 - sum_c (k_ic / k_i)^2,Step2 residual edges + Step4 community membership,Extent to which a stock connects multiple endogenous communities.,none,alpha_and_risk
