analysis_date,window,expected_node_count,actual_node_count,expected_edge_count,expected_degree_sum,raw_degree_sum,residual_degree_sum,node_count_ok,key_unique,raw_degree_sum_ok,residual_degree_sum_ok,degree_nonnegative,strength_nonnegative,percentile_valid,degree_percentile_match,percentile_source_copy_ok,max_raw_degree_percentile_diff,max_residual_degree_percentile_diff,raw_strength_float32_rank_diff,residual_strength_float32_rank_diff,raw_degree_source_copy_diff,raw_strength_source_copy_diff,residual_degree_source_copy_diff,residual_strength_source_copy_diff,raw_isolated_share,residual_isolated_share,mean_delta_degree_percentile,mean_delta_strength_percentile,median_abs_delta_degree_percentile,median_abs_delta_strength_percentile,qa_pass,qa_errors
2015-04-30,60,1993,1993,19683,39366,39366,39366,True,True,True,True,True,True,True,True,True,0.0,0.0,0.0002508984997352526,0.00025088399484174406,0.0,0.0,0.0,0.0,0.18414450577019567,0.0035122930255895636,-1.0683573688984635e-09,-1.559603157440622e-10,0.22604113817214966,0.22428500652313232,True,
2015-05-29,60,1914,1914,18070,36140,36140,36140,True,True,True,True,True,True,True,True,True,0.0,0.0,0.00026122025187858,0.00026123339355055286,0.0,0.0,0.0,0.0,0.1865203761755486,0.008359456635318705,2.8805797501168404e-10,-4.6030885871799513e-10,0.22178684175014496,0.22100314497947693,True,
2015-06-30,60,1802,1802,15971,31942,31942,31942,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9769245402100353e-08,0.00027746127527639164,0.0,0.0,0.0,0.0,0.2602663706992231,0.01220865704772475,-2.4058305132269992e-09,-3.7831749423891805e-10,0.23390677571296692,0.2333518285304308,True,
2015-07-31,60,1572,1572,11651,23302,23302,23302,True,True,True,True,True,True,True,True,True,0.0,0.0,2.972648949217671e-08,2.972648949217671e-08,0.0,0.0,0.0,0.0,0.33651399491094147,0.12595419847328243,-1.7251980517050085e-09,-1.7062398313566019e-10,0.2340966761112213,0.23711830377578735,True,
2015-08-31,60,1645,1645,12766,25532,25532,25532,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9784205435312572e-08,2.9784205435312572e-08,0.0,0.0,0.0,0.0,0.34407294832826746,0.11063829787234042,-1.503703804363958e-09,8.469656970363257e-10,0.24528875946998596,0.24620062112808228,True,
2015-09-30,60,1769,1769,15090,30180,30180,30180,True,True,True,True,True,True,True,True,True,0.0,0.0,2.978547541943044e-08,2.978547541943044e-08,0.0,0.0,0.0,0.0,0.35330695308083665,0.13566986998304126,1.6004638930644742e-10,9.181608649685667e-10,0.24081403017044067,0.24137932062149048,True,
2015-10-30,60,1962,1962,19104,38208,38208,38208,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9771942799960982e-08,2.9771942799960982e-08,0.0,0.0,0.0,0.0,0.34811416921508664,0.10244648318042814,4.099338304984338e-09,2.0525172337601068e-09,0.2516564726829529,0.2515290305018425,True,
2015-11-30,60,2037,2037,20591,41182,41182,41182,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9787691868676802e-08,2.9787691868676802e-08,0.0,0.0,0.0,0.0,0.3632793323514973,0.042709867452135494,5.129818010400427e-10,6.812325165326769e-10,0.25012272596359253,0.25331372022628784,True,
2015-12-31,60,2119,2119,22259,44518,44518,44518,True,True,True,True,True,True,True,True,True,0.0,0.0,2.978825808241936e-08,2.978825808241936e-08,0.0,0.0,0.0,0.0,0.3029731005191128,0.042000943841434636,5.037668405022471e-09,1.481150106868411e-09,0.15738558769226074,0.16139686107635498,True,
2016-01-29,60,2199,2199,24016,48032,48032,48032,True,True,True,True,True,True,True,True,True,0.0,0.0,2.9788769673189108e-08,2.9788769673189108e-08,0.0,0.0,0.0,0.0,0.406093678944975,0.05911778080945884,6.573045183279776e-10,-1.999018895945911e-09,0.17348796129226685,0.17348795384168625,True,
