analysis_date,window,factor_name,n,nonmissing_count,missing_share,zero_share,mean,std,p01,p05,median,p95,p99
2015-04-30,60,delta_degree_percentile,1993,1993,0.0,0.0,-1.0683573688984635e-09,0.33784785059910305,-0.8489613863825798,-0.6315604746341705,0.025087803602218628,0.49382837563753124,0.6580532118678093
2015-05-29,60,delta_degree_percentile,1914,1914,0.0,0.0,2.8805797501168404e-10,0.3239597232919257,-0.8016823325492441,-0.5757314302027225,0.018025100231170654,0.4986938163638115,0.6450208793580526
2015-06-30,60,delta_degree_percentile,1802,1802,0.0,0.0,-2.4058305132269992e-09,0.3546790215444317,-0.8659600487118587,-0.6544117599725723,0.03940066695213318,0.5512485995888697,0.7066675943136216
2015-07-31,60,delta_degree_percentile,1572,1572,0.0,0.006361323155216285,-1.7251980517050085e-09,0.358331701664405,-0.8294338342547417,-0.6564885675907135,0.015903308987617493,0.5648854821920395,0.7595419734716415
2015-08-31,60,delta_degree_percentile,1645,1645,0.0,0.0,-1.503703804363958e-09,0.3743765824832991,-0.861811552643776,-0.6744681149721146,0.012461990118026733,0.5948328077793121,0.7624194514751433
2015-09-30,60,delta_degree_percentile,1769,1769,0.0,0.0005652911249293386,1.6004638930644742e-10,0.36583342675954617,-0.8696777978539467,-0.6563029944896698,0.014132276177406311,0.5732052028179169,0.747959290742874
2015-10-30,60,delta_degree_percentile,1962,1962,0.0,0.0,4.099338304984338e-09,0.3796758422776737,-0.8690468682348729,-0.6888124445453286,0.02127927541732788,0.6067788153886795,0.7554944175481795
2015-11-30,60,delta_degree_percentile,2037,2037,0.0,0.0,5.129818010400427e-10,0.36750242629542934,-0.8341679030656814,-0.6444281041622162,0.021109476685523987,0.5907216429710374,0.7567501068115234
2015-12-31,60,delta_degree_percentile,2119,2119,0.0,0.0009438414346389807,5.037668405022471e-09,0.2854924028342739,-0.7364842075109482,-0.5253421634435653,0.0021236538887023926,0.4591788500547409,0.6507786959409714
2016-01-29,60,delta_degree_percentile,2199,2199,0.0,0.0,6.573045183279776e-10,0.29030954441245155,-0.758804007768631,-0.5033424071967602,-0.010686665773391724,0.48567529320716835,0.6351159822940826
2016-02-29,60,delta_degree_percentile,2241,2241,0.0,0.0,8.411409598490534e-10,0.31613136889663235,-0.749442208558321,-0.5638108104467392,0.0178491473197937,0.5171798318624496,0.6604194492101669
2016-03-31,60,delta_degree_percentile,2290,2290,0.0,0.0,-1.9724517409978475e-10,0.35103140649540143,-0.8343013089895248,-0.6333951987326145,-0.0024017691612243652,0.5729257613420486,0.686024000644684
2016-04-29,60,delta_degree_percentile,2246,2246,0.0,0.0004452359750667854,1.6770855534426993e-09,0.35364040408424074,-0.833247971534729,-0.6606188789010048,-0.0020035654306411743,0.5881010591983795,0.6968610882759096
2016-05-31,60,delta_degree_percentile,2265,2265,0.0,0.0,-4.988794870855529e-09,0.34452172901398004,-0.821147880256176,-0.6171302422881126,-0.00022074580192565918,0.5675496757030487,0.7015364110469822
2016-06-30,60,delta_degree_percentile,2284,2284,0.0,0.00043782837127845885,3.304788369796322e-09,0.3326182345346348,-0.7790499037504196,-0.587532838433981,-0.0033931732177734375,0.5659369468688951,0.6968717086315162
2016-07-29,60,delta_degree_percentile,2332,2332,0.0,0.0,-6.393856955228907e-10,0.34495763720877265,-0.829967831633985,-0.5993782170116901,0.0008576512336730957,0.5868353247642517,0.7403151923418045
2016-08-31,60,delta_degree_percentile,2409,2409,0.0,0.0,1.314782756722879e-09,0.31992202668918873,-0.8036778825521469,-0.6005811780691146,0.006641745567321777,0.5012038052082061,0.7108758985996246
2016-09-30,60,delta_degree_percentile,2429,2429,0.0,0.0,-1.9559116030289047e-10,0.30237925922756675,-0.7963276886940003,-0.5681762039661408,0.004116922616958618,0.4720049500465393,0.6983285403251623
2016-10-31,60,delta_degree_percentile,2451,2451,0.0,0.0,4.772149499084744e-10,0.3066896684450154,-0.7778457924723625,-0.5711954459547997,0.009587883949279785,0.48082414269447327,0.6570787727832794
2016-11-30,60,delta_degree_percentile,2460,2460,0.0,0.0,8.82165495124532e-10,0.29492902942317883,-0.798221537321806,-0.553963422216475,0.023577243089675903,0.43882112205028534,0.615650400519371
2016-12-30,60,delta_degree_percentile,2499,2499,0.0,0.0,7.811332998775683e-10,0.3097584942693879,-0.8112044982612133,-0.5821328409016132,0.024809926748275757,0.46778708696365356,0.6462584733963013
2017-01-26,60,delta_degree_percentile,2537,2537,0.0,0.0,-4.491190234060404e-09,0.3225469355510648,-0.7808119907882065,-0.5782420068979264,0.006306648254394531,0.5234923094511008,0.7104848474264145
2017-02-28,60,delta_degree_percentile,2579,2579,0.0,0.0,7.377815378317772e-09,0.330327398084068,-0.8058666001260281,-0.5793330742046237,-0.02539743483066559,0.5581620633602142,0.7195269477367399
2017-03-31,60,delta_degree_percentile,2663,2663,0.0,0.0,3.7920006931701016e-09,0.33659185396456015,-0.8214044293761253,-0.6145325005054474,0.012392044067382812,0.5379271656274796,0.7161096483469009
2017-04-28,60,delta_degree_percentile,2696,2696,0.0,0.0,1.7375936759331813e-10,0.29017111072875135,-0.7892804227769374,-0.5785886361263692,0.028746306896209717,0.427253320813179,0.5797477960586548
2017-05-31,60,delta_degree_percentile,2699,2699,0.0,0.0,-3.583642311474269e-09,0.28085911251491574,-0.7401074207946658,-0.5195442706346511,0.017599105834960938,0.44057058095931917,0.5941089540719986
2017-06-30,60,delta_degree_percentile,2750,2750,0.0,0.0,-2.4267726323821327e-09,0.2787387623395804,-0.7537654542922974,-0.5073090627789497,0.009999990463256836,0.45127271115779877,0.6143400013446791
2017-07-31,60,delta_degree_percentile,2783,2783,0.0,0.00035932446999640676,-1.7117193565067096e-09,0.30369024298023395,-0.7652748715877533,-0.5520660996437072,-0.005030542612075806,0.5044915825128555,0.658753173947334
2017-08-31,60,delta_degree_percentile,2834,2834,0.0,0.0,1.3723370047968379e-09,0.3004923300537551,-0.7602470051497221,-0.5459068313241004,0.0037050247192382812,0.4980592727661133,0.6737826466560364
2017-09-29,60,delta_degree_percentile,2897,2897,0.0,0.0,8.653391578257557e-10,0.2839903915625371,-0.7817466051131486,-0.5542975544929505,0.02295476198196411,0.4325163960456848,0.6142561435699463
2017-10-31,60,delta_degree_percentile,2941,2941,0.0,0.0,-2.9817918319963185e-09,0.27627415631133523,-0.7657259106636047,-0.5642638206481934,0.028051674365997314,0.39952394366264343,0.529581792652607
2017-11-30,60,delta_degree_percentile,2959,2959,0.0,0.0,3.2071653978874572e-09,0.28510268121202204,-0.7231530882418156,-0.5364988222718239,0.010476529598236084,0.45978371798992157,0.6475329393148429
2017-12-29,60,delta_degree_percentile,2995,2995,0.0,0.0,6.690188365458248e-10,0.2925114603906823,-0.7242370854318142,-0.5187646254897117,-0.005509182810783386,0.48580971360206604,0.7003338634967804
2018-01-31,60,delta_degree_percentile,3026,3026,0.0,0.0,-3.6335930348880544e-09,0.290579024180542,-0.7355832811444998,-0.5374669432640076,0.004543930292129517,0.4662921130657196,0.634666234254837
2018-02-28,60,delta_degree_percentile,2961,2961,0.0,0.0,3.5012664876649284e-09,0.31293882334686096,-0.7847011029720307,-0.5785207748413086,0.008443057537078857,0.501688614487648,0.6603850156068808
2018-03-30,60,delta_degree_percentile,3008,3008,0.0,0.0,-4.307908734227431e-09,0.3237277407241449,-0.7875581857562065,-0.5999916583299637,0.0023270845413208008,0.5169547647237778,0.6933178156614304
2018-04-27,60,delta_degree_percentile,3025,3025,0.0,0.0,-1.4600213155273564e-09,0.32486754174131655,-0.7841123884916306,-0.5989752225577831,0.013388440012931824,0.5146446168422696,0.6890909224748611
2018-05-31,60,delta_degree_percentile,3097,3097,0.0,0.00032289312237649337,1.0748024853075708e-09,0.32047297096510313,-0.7876913118362426,-0.5988698840141297,0.005489185452461243,0.49951566755771637,0.6825960427522659
2018-06-29,60,delta_degree_percentile,3080,3080,0.0,0.0003246753246753247,1.153758993106229e-10,0.3240829636532329,-0.7941461089998484,-0.5829789057374001,-0.0017857104539871216,0.5560064762830734,0.6936688274145126
2018-07-31,60,delta_degree_percentile,3166,3166,0.0,0.0006317119393556538,-5.110875313333221e-09,0.32109863590972837,-0.7629500702023506,-0.5635659918189049,-0.005764365196228027,0.5594203919172287,0.7065698206424713
2018-08-31,60,delta_degree_percentile,3263,3263,0.0,0.0,1.4134846545511543e-09,0.32034329117580396,-0.7837143772095442,-0.5769690364599227,-0.009194016456604004,0.5410664975643158,0.6760649979114532
2018-09-28,60,delta_degree_percentile,3334,3334,0.0,0.01859628074385123,-2.4866927292222523e-09,0.31267916968685483,-0.8100569617748261,-0.58244598954916,0.016121745109558105,0.48885721415281264,0.6481703668832779
2018-10-31,60,delta_degree_percentile,3359,3359,0.0,0.00029770765108663293,4.849075923370761e-09,0.3146633624608803,-0.7710151973366738,-0.5646174132823945,-0.00044655799865722656,0.5296218991279602,0.655105710029602
2018-11-30,60,delta_degree_percentile,3374,3374,0.0,0.0,2.961465702450127e-09,0.3439100516158014,-0.8137181214243173,-0.6278008215129375,0.011781275272369385,0.5567575395107269,0.7183817446231842
2018-12-28,60,delta_degree_percentile,3426,3426,0.0,0.0,-1.6522412751059189e-09,0.3571426613685028,-0.829830726608634,-0.645541425794363,0.0037945061922073364,0.5818738788366318,0.7138061970472336
2019-01-31,60,delta_degree_percentile,3492,3492,0.0,0.000286368843069874,1.891848992850772e-09,0.3265247604554804,-0.8197122225165366,-0.6030569851398467,0.024627715349197388,0.5137457102537155,0.6779782623052597
2019-02-28,60,delta_degree_percentile,3522,3522,0.0,0.0,3.4235921582076984e-09,0.3310482379365051,-0.8255252465605736,-0.6287336887326092,0.03676888346672058,0.5114991366863251,0.6726292073726654
2019-03-29,60,delta_degree_percentile,3517,3517,0.0,0.0008529997156667614,2.4682563883966094e-09,0.3377458995098873,-0.8298265263438225,-0.6189934685826302,0.02047199010848999,0.524992877244949,0.7092692852020264
2019-04-30,60,delta_degree_percentile,3515,3515,0.0,0.0,-6.278644277479706e-10,0.34863400327143274,-0.8585718160867691,-0.6522048562765121,0.03129445016384125,0.5429587662220001,0.721268852949143
2019-05-31,60,delta_degree_percentile,3512,3512,0.0,0.0,2.7509417877042485e-10,0.3439766597139835,-0.8289080238342286,-0.6352648183703422,0.013809800148010254,0.5523917824029922,0.7306378036737442
2019-06-28,60,delta_degree_percentile,3528,3528,0.0,0.0,3.770587671771983e-09,0.3374123247318768,-0.8164158324152231,-0.6072137281298637,0.010558366775512695,0.5545634776353836,0.7216794294118882
2019-07-31,60,delta_degree_percentile,3548,3548,0.0,0.0,2.841724911253173e-10,0.322496776698073,-0.809257332708221,-0.6052071779966354,0.013176441192626953,0.5101465433835983,0.6985625475645065
2019-08-30,60,delta_degree_percentile,3566,3566,0.0,0.0,-2.1225555768039076e-10,0.32281033264191017,-0.8218381777405739,-0.6000420413911343,0.016825556755065918,0.511742852628231,0.6647083759307856
2019-09-30,60,delta_degree_percentile,3588,3588,0.0,0.0,-1.6332131970378933e-09,0.324185623845156,-0.8447965253517031,-0.6335005808621645,0.008639931678771973,0.5236901044845581,0.6765607595443726
2019-10-31,60,delta_degree_percentile,3628,3628,0.0,0.0,-4.95727758242645e-10,0.3126642779938005,-0.8095892921090126,-0.5835515405982733,0.00861358642578125,0.49765709042549133,0.6668963730335236
2019-11-29,60,delta_degree_percentile,3638,3638,0.0,0.0,2.0652199691389866e-09,0.2966662211214323,-0.7942812190949917,-0.5735706508159637,0.014430999755859375,0.452996164560318,0.6243842810392388
2019-12-31,60,delta_degree_percentile,3641,3641,0.0,0.00027464982147761604,1.9516592266729197e-10,0.27784604882683583,-0.7737709611654282,-0.5351551473140717,0.022521257400512695,0.43339741230010986,0.5936555713415146
2020-01-23,60,delta_degree_percentile,3663,3663,0.0,0.002457002457002457,2.8622977653227963e-09,0.2908462349539902,-0.8042451612651348,-0.5704067625105381,0.020748019218444824,0.44007644057273865,0.6262626349925995
2020-02-28,60,delta_degree_percentile,3697,3697,0.0,0.0002704895861509332,3.79330682406272e-09,0.25153154211669904,-0.6725453132390976,-0.42675141692161556,-0.012983500957489014,0.42372195422649384,0.6162726563215255
2020-03-31,60,delta_degree_percentile,3718,3718,0.0,0.0,-2.782445174510149e-09,0.27924483230450925,-0.722403182387352,-0.4959655702114105,-0.0014792978763580322,0.4681279957294464,0.6691769659519196
2020-04-30,60,delta_degree_percentile,3744,3744,0.0,0.0,-1.9000821277244477e-09,0.3021575006456348,-0.8116907016560435,-0.5633146494626999,0.010950848460197449,0.4746594458818435,0.6539796739816666
