analysis_date,window,expected_node_count,actual_node_count,expected_edge_count,node_industry_label_coverage,same_industry_edge_count,cross_industry_edge_count,unknown_industry_edge_count,same_industry_edge_share_all,cross_industry_edge_share_all,unknown_industry_edge_share,same_industry_edge_share_labeled,mean_industry_labeled_degree_share_active,min_industry_labeled_degree_share_active,max_abs_degree_reconstruction_diff,max_abs_strength_reconstruction_diff,max_degree_ratio_identity_diff,node_count_ok,edge_count_ok,key_unique,edge_category_identity_ok,degree_reconstruction_ok,degree_handshake_ok,strength_reconstruction_ok,ratio_valid,invalid_ratio_columns,max_ratio_upper_excess,strength_ratio_atol,degree_ratio_identity_ok,isolated_degree_ok,qa_pass,qa_errors
2015-04-30,60,1993,1993,19683,1.0,3674,16009,0,0.18665853782451863,0.8133414621754814,0.0,0.18665853782451863,1.0,1.0,0,3.039836883544922e-06,0.0,True,True,True,True,True,True,True,True,,5.86735184882059e-08,2.384185791015625e-07,True,True,True,
2015-05-29,60,1914,1914,18070,1.0,3563,14507,0,0.1971776425013835,0.8028223574986165,0.0,0.1971776425013835,1.0,1.0,0,3.4868717193603516e-06,0.0,True,True,True,True,True,True,True,True,,5.878561615269007e-08,2.384185791015625e-07,True,True,True,
2015-06-30,60,1802,1802,15971,1.0,2865,13106,0,0.17938764009767705,0.820612359902323,0.0,0.17938764009767705,1.0,1.0,0,2.86102294921875e-06,0.0,True,True,True,True,True,True,True,True,,5.7834170563708653e-08,2.384185791015625e-07,True,True,True,
2015-07-31,60,1572,1572,11651,1.0,1600,10051,0,0.1373272680456613,0.8626727319543387,0.0,0.1373272680456613,1.0,1.0,0,3.6954879760742188e-06,0.0,True,True,True,True,True,True,True,True,,5.8217451526232367e-08,2.384185791015625e-07,True,True,True,
2015-08-31,60,1645,1645,12766,1.0,1635,11131,0,0.1280745730847564,0.8719254269152437,0.0,0.1280745730847564,1.0,1.0,0,3.814697265625e-06,0.0,True,True,True,True,True,True,True,True,,5.787586321304161e-08,2.384185791015625e-07,True,True,True,
2015-09-30,60,1769,1769,15090,1.0,1857,13233,0,0.12306163021868788,0.8769383697813121,0.0,0.12306163021868788,1.0,1.0,0,3.814697265625e-06,0.0,True,True,True,True,True,True,True,True,,5.956618664981761e-08,2.384185791015625e-07,True,True,True,
2015-10-30,60,1962,1962,19104,1.0,2501,16603,0,0.13091499162479062,0.8690850083752094,0.0,0.13091499162479062,1.0,1.0,0,3.814697265625e-06,0.0,True,True,True,True,True,True,True,True,,5.862214513818742e-08,2.384185791015625e-07,True,True,True,
2015-11-30,60,2037,2037,20591,1.0,3018,17573,0,0.14656888932057696,0.853431110679423,0.0,0.14656888932057696,1.0,1.0,0,3.725290298461914e-06,0.0,True,True,True,True,True,True,True,True,,5.944877656816061e-08,2.384185791015625e-07,True,True,True,
2015-12-31,60,2119,2119,22259,1.0,3718,18541,0,0.1670335594590952,0.8329664405409049,0.0,0.1670335594590952,1.0,1.0,0,3.6954879760742188e-06,0.0,True,True,True,True,True,True,True,True,,5.8827903437475015e-08,2.384185791015625e-07,True,True,True,
2016-01-29,60,2199,2199,24016,1.0,3713,20303,0,0.15460526315789475,0.8453947368421053,0.0,0.15460526315789475,1.0,1.0,0,3.814697265625e-06,0.0,True,True,True,True,True,True,True,True,,5.9562369036925134e-08,2.384185791015625e-07,True,True,True,
