analysis_date,window,factor_name,n,nonmissing_count,missing_share,mean,std,p01,p05,median,p95,p99
2015-04-30,60,delta_cross_industry_degree_percentile_1m,1993,0,1.0,,,,,,,
2015-05-29,60,delta_cross_industry_degree_percentile_1m,1914,1819,0.04963427377220481,-0.0019372970082674186,0.25988114696178954,-0.6201297016045186,-0.44286680497729514,-0.004967621785968657,0.46338283784258344,0.6957703687042579
2015-06-30,60,delta_cross_industry_degree_percentile_1m,1802,1663,0.07713651498335183,-0.0041614303965950466,0.2503104958956434,-0.560216014482921,-0.42435231027408304,-0.011264333023680795,0.4425600488021552,0.6080790413994891
2015-07-31,60,delta_cross_industry_degree_percentile_1m,1572,1423,0.09478371501272265,-0.02767065922164375,0.2787056867138404,-0.6651981259160729,-0.48413199357231007,-0.04127587950058309,0.46937527711646376,0.7128583521843131
2015-08-31,60,delta_cross_industry_degree_percentile_1m,1645,1455,0.11550151975683891,-0.0031945113872063266,0.2061516298939645,-0.5601975258513345,-0.3657623533415315,-0.007968475680023512,0.32060295289140506,0.5011500653534111
2015-09-30,60,delta_cross_industry_degree_percentile_1m,1769,1570,0.11249293386093838,0.0009982893740951432,0.21093819833999394,-0.5886986448476892,-0.3789722010786923,0.015475317052719872,0.36420846355934083,0.5354547586687987
2015-10-30,60,delta_cross_industry_degree_percentile_1m,1962,1680,0.1437308868501529,0.008143347111224056,0.21650731736214615,-0.6172481573295671,-0.3807392319531816,0.009680250364615672,0.3610487331658781,0.5083070712099709
2015-11-30,60,delta_cross_industry_degree_percentile_1m,2037,1888,0.07314678448699068,0.004363080231673192,0.25174023806627055,-0.6067601700347847,-0.42509521857861976,-0.0012785261650294921,0.42900492269167195,0.6485852966300795
2015-12-31,60,delta_cross_industry_degree_percentile_1m,2119,1955,0.07739499764039641,0.0035389163751188314,0.24519080265504944,-0.6784265602632563,-0.4573858140678709,0.0164486494889379,0.3927930153880437,0.6259454087118372
2016-01-29,60,delta_cross_industry_degree_percentile_1m,2199,2037,0.07366984993178717,0.0035654798101513708,0.21143441692122603,-0.5905387257196362,-0.34596683764403613,0.007121088332012429,0.35341485822741947,0.5430220180308478
2016-02-29,60,delta_cross_industry_degree_percentile_1m,2241,2128,0.05042391789379741,0.004305600664135622,0.19671347335814557,-0.5530026639832027,-0.3605855892875732,0.018458097967129994,0.3110316055795107,0.48258457507458974
2016-03-31,60,delta_cross_industry_degree_percentile_1m,2290,2127,0.07117903930131005,-0.005650475820274951,0.22883465864317953,-0.6648389267891557,-0.4240285060669655,0.005280315829060966,0.35859726143779375,0.5409940372845079
2016-04-29,60,delta_cross_industry_degree_percentile_1m,2246,2148,0.04363312555654497,-0.0032130621430491724,0.26694265943101997,-0.6863558893637208,-0.4805601029681102,0.006674942741487,0.44030150641411997,0.5808779897887365
2016-05-31,60,delta_cross_industry_degree_percentile_1m,2265,2152,0.04988962472406181,-0.00022380061761807972,0.2755150721786149,-0.721979072926311,-0.4963509324401094,0.008798275668885967,0.4320462671926937,0.6245685447172185
2016-06-30,60,delta_cross_industry_degree_percentile_1m,2284,2183,0.044220665499124345,0.003007048185869312,0.2506722358805815,-0.6559730885360489,-0.43660367930473243,0.008193479546746096,0.4284308153852698,0.6213467639360868
2016-07-29,60,delta_cross_industry_degree_percentile_1m,2332,2209,0.05274442538593482,0.002333852314969642,0.26552759746316323,-0.6802126358920134,-0.46377094141360736,0.003072308519554312,0.4348212488697565,0.7120866764996563
2016-08-31,60,delta_cross_industry_degree_percentile_1m,2409,2270,0.057700290577002905,0.0008739858037277987,0.2457560712815464,-0.6425629224527518,-0.4268695125198744,0.0031446540880503138,0.40316697604110346,0.5803717584216421
2016-09-30,60,delta_cross_industry_degree_percentile_1m,2429,2314,0.047344586249485385,0.0011168684589891163,0.2603012812165343,-0.6854665655295319,-0.46593173055412995,0.014527910209091277,0.39872546360643946,0.5848304662715846
2016-10-31,60,delta_cross_industry_degree_percentile_1m,2451,2359,0.037535699714402286,-0.000764846657949163,0.27964968844549726,-0.7877164125379463,-0.5271972908613602,0.018573425723010017,0.42589383451255985,0.6074812542380683
2016-11-30,60,delta_cross_industry_degree_percentile_1m,2460,2358,0.041463414634146344,6.270431435258636e-05,0.29522989191342164,-0.7388461130847539,-0.4886390074733061,-0.0015347145515519633,0.5045812560328786,0.7522651157815122
2016-12-30,60,delta_cross_industry_degree_percentile_1m,2499,2367,0.05282112845138055,0.00024338710104586576,0.240367358178555,-0.5951412272225964,-0.4122656135624982,0.00040235606437699634,0.4144275027084002,0.6321644706663182
2017-01-26,60,delta_cross_industry_degree_percentile_1m,2537,2436,0.03981080015766653,-0.001209570656828851,0.21780868943604048,-0.5403950306965514,-0.3663662153864305,-0.005981265190348903,0.3739408258376271,0.5663482578683818
2017-02-28,60,delta_cross_industry_degree_percentile_1m,2579,2468,0.04303993796044979,-0.0021604678392775785,0.23138739180460918,-0.627087083250101,-0.4091623881253073,0.0012981201215420055,0.3699748147731527,0.5772022099297208
