analysis_date,window,factor_name,n,nonmissing_count,missing_share,zero_share,mean,std,p01,p05,median,p95,p99
2015-04-30,60,community_diversity_count,1993,1993,0.0,0.0035122930255895636,3.4435524335173104,1.2730365279088478,1.0,1.0,3.0,6.0,6.0
2015-05-29,60,community_diversity_count,1914,1914,0.0,0.008359456635318705,3.449843260188088,1.617512078930132,1.0,1.0,3.0,6.0,7.0
2015-06-30,60,community_diversity_count,1802,1802,0.0,0.01220865704772475,2.891231964483907,1.2865481492820674,0.0,1.0,3.0,5.0,6.0
2015-07-31,60,community_diversity_count,1572,1572,0.0,0.12595419847328243,1.578880407124682,1.0962632660759077,0.0,0.0,1.0,4.0,4.0
2015-08-31,60,community_diversity_count,1645,1645,0.0,0.11063829787234042,1.635258358662614,1.08797098320795,0.0,0.0,1.0,4.0,4.0
2015-09-30,60,community_diversity_count,1769,1769,0.0,0.13566986998304126,1.4550593555681175,1.0310820241989254,0.0,0.0,1.0,3.0,4.0
2015-10-30,60,community_diversity_count,1962,1962,0.0,0.10244648318042814,1.7793068297655454,1.1716668422549974,0.0,0.0,2.0,4.0,5.0
2015-11-30,60,community_diversity_count,2037,2037,0.0,0.042709867452135494,2.359842906234659,1.1718417691499123,0.0,1.0,2.0,4.0,5.0
2015-12-31,60,community_diversity_count,2119,2119,0.0,0.042000943841434636,2.292590844738084,1.2320621717377263,0.0,1.0,2.0,4.0,5.0
2016-01-29,60,community_diversity_count,2199,2199,0.0,0.05911778080945884,2.0059117780809457,1.105388666938208,0.0,0.0,2.0,4.0,5.0
2016-02-29,60,community_diversity_count,2241,2241,0.0,0.036590807675145026,2.423917893797412,1.3122969022679751,0.0,1.0,2.0,5.0,6.0
2016-03-31,60,community_diversity_count,2290,2290,0.0,0.02052401746724891,2.6624454148471615,1.2277842978125104,0.0,1.0,3.0,5.0,6.0
2016-04-29,60,community_diversity_count,2246,2246,0.0,0.006233303650934996,3.097506678539626,1.497050534084528,1.0,1.0,3.0,6.0,7.0
2016-05-31,60,community_diversity_count,2265,2265,0.0,0.0013245033112582781,4.324061810154525,1.4902388257487151,1.0,2.0,4.0,7.0,8.0
2016-06-30,60,community_diversity_count,2284,2284,0.0,0.0013134851138353765,4.714098073555166,1.6148807303385304,1.0,2.0,5.0,7.0,9.0
2016-07-29,60,community_diversity_count,2332,2332,0.0,0.004288164665523156,4.219125214408233,1.7152613100282543,1.0,2.0,4.0,7.0,9.0
2016-08-31,60,community_diversity_count,2409,2409,0.0,0.0008302200083022001,4.271066832710669,1.6114978836189122,1.0,2.0,4.0,7.0,8.0
2016-09-30,60,community_diversity_count,2429,2429,0.0,0.0008233841086867024,4.252367229312474,1.4844187161437907,1.0,2.0,4.0,7.0,8.0
2016-10-31,60,community_diversity_count,2451,2451,0.0,0.0004079967360261118,5.646266829865361,1.724178662724013,2.0,3.0,6.0,9.0,10.0
2016-11-30,60,community_diversity_count,2460,2460,0.0,0.0004065040650406504,4.469918699186992,1.5432483405287205,1.0,2.0,4.0,7.0,8.0
2016-12-30,60,community_diversity_count,2499,2499,0.0,0.0,4.43937575030012,1.4606435438850591,1.0,2.0,4.0,7.0,8.0
2017-01-26,60,community_diversity_count,2537,2537,0.0,0.00039416633819471815,3.997240835632637,1.3964001081571373,1.0,2.0,4.0,6.0,7.0
2017-02-28,60,community_diversity_count,2579,2579,0.0,0.0007754943776657619,4.213260953858085,1.3751106234012402,1.0,2.0,4.0,6.0,8.0
2017-03-31,60,community_diversity_count,2663,2663,0.0,0.0007510326699211416,4.562898986105895,1.5990532332896872,1.0,2.0,5.0,7.0,8.0
2017-04-28,60,community_diversity_count,2696,2696,0.0,0.002967359050445104,3.5063056379821957,1.4199579971629743,1.0,1.0,3.0,6.0,7.0
2017-05-31,60,community_diversity_count,2699,2699,0.0,0.001852537977028529,3.2363838458688403,1.2816120687446775,1.0,1.0,3.0,5.0,6.0
2017-06-30,60,community_diversity_count,2750,2750,0.0,0.0061818181818181816,3.0687272727272727,1.2930598728252083,1.0,1.0,3.0,5.0,6.0
2017-07-31,60,community_diversity_count,2783,2783,0.0,0.001437297879985627,3.9141214516708587,1.494807761300583,1.0,2.0,4.0,6.0,8.0
2017-08-31,60,community_diversity_count,2834,2834,0.0,0.004234297812279464,3.7865208186309105,1.4508952648654303,1.0,2.0,4.0,6.0,7.0
2017-09-29,60,community_diversity_count,2897,2897,0.0,0.0037970314118053157,3.5540214014497757,1.4227060093042025,1.0,1.0,3.0,6.0,7.0
