analysis_date,window,expected_node_count,actual_node_count,expected_edge_count,community_count,active_node_count,community_assigned_node_count,active_community_coverage,within_community_edge_count,outside_community_edge_count,unknown_community_edge_count,within_community_edge_share,outside_community_edge_share,unknown_community_edge_share,mean_participation_coefficient,median_participation_coefficient,mean_outside_community_degree_ratio,mean_external_community_count,max_degree_reconstruction_error,max_strength_reconstruction_error,node_count_ok,key_unique,active_community_coverage_ok,edge_category_identity_ok,unknown_community_edge_ok,degree_reconstruction_ok,within_degree_handshake_ok,outside_degree_handshake_ok,unknown_degree_handshake_ok,strength_reconstruction_ok,ratio_valid,participation_valid,weighted_participation_valid,community_size_valid,qa_pass,qa_errors
2015-04-30,60,1993,1993,19683,7,1986,1986,1.0,12869,6814,0,0.6538129350200681,0.3461870649799319,0.0,0.47171761590868627,0.5095238095238095,0.35869392424468705,2.4556898288016114,0,3.039836883544922e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-05-29,60,1914,1914,18070,10,1898,1898,1.0,11851,6219,0,0.6558384061981184,0.34416159380188155,0.0,0.46163622488460904,0.5,0.35830129835518815,2.4789251844046363,0,3.4868717193603516e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-06-30,60,1802,1802,15971,11,1780,1780,1.0,11168,4803,0,0.6992674222027425,0.30073257779725754,0.0,0.4047444852115098,0.4444444444444444,0.31104878070286107,1.9269662921348314,0,2.86102294921875e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-07-31,60,1572,1572,11651,22,1374,1374,1.0,9158,2493,0,0.786026950476354,0.21397304952364604,0.0,0.1915718875239203,0.0,0.14545629364447446,0.8064046579330422,0,3.6954879760742188e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-08-31,60,1645,1645,12766,21,1463,1463,1.0,9500,3266,0,0.7441641861193796,0.2558358138806204,0.0,0.20555858290517576,0.09033203125,0.15472376580232886,0.8386876281613124,0,3.814697265625e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-09-30,60,1769,1769,15090,34,1529,1529,1.0,12694,2396,0,0.8412193505632869,0.15878064943671305,0.0,0.15568974431712126,0.0,0.11695658303969539,0.6834532374100719,0,3.814697265625e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-10-30,60,1962,1962,19104,15,1761,1761,1.0,15382,3722,0,0.8051716917922948,0.1948283082077052,0.0,0.2197002810915978,0.16860318897439763,0.16637031405875694,0.9823963657013061,0,3.814697265625e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-11-30,60,2037,2037,20591,8,1950,1950,1.0,17010,3581,0,0.8260890680394347,0.17391093196056528,0.0,0.3113274524247454,0.33999999999999997,0.2356381144786638,1.465128205128205,0,3.725290298461914e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-12-31,60,2119,2119,22259,9,2030,2030,1.0,18314,3945,0,0.8227683184329934,0.1772316815670066,0.0,0.296036161570068,0.31999999999999995,0.22774513380562492,1.393103448275862,0,3.6954879760742188e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-01-29,60,2199,2199,24016,20,2069,2069,1.0,19836,4180,0,0.8259493670886076,0.17405063291139242,0.0,0.26104725358008646,0.2692307692307693,0.202192447477017,1.1319478008699855,0,3.814697265625e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-02-29,60,2241,2241,24958,12,2159,2159,1.0,18966,5992,0,0.7599166599887811,0.24008334001121884,0.0,0.32007357360308564,0.3545706371191135,0.2508460268743042,1.5159796201945346,0,7.12275505065918e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-03-31,60,2290,2290,26045,9,2243,2243,1.0,19754,6291,0,0.7584565175657516,0.24154348243424842,0.0,0.35473959793861026,0.40625,0.2718900306140408,1.7182345073562193,0,3.606081008911133e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-04-29,60,2246,2246,25028,9,2232,2232,1.0,18569,6459,0,0.7419290394757871,0.25807096052421286,0.0,0.3908192755451053,0.4444444444444444,0.305106485808374,2.1169354838709675,0,3.6954879760742188e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-05-31,60,2265,2265,25417,10,2262,2262,1.0,17541,7876,0,0.6901286540504387,0.30987134594956134,0.0,0.515315479027507,0.5662211165457919,0.3907715987111804,3.329796640141468,0,1.9073486328125e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-06-30,60,2284,2284,25884,12,2281,2281,1.0,16646,9238,0,0.6430999845464379,0.35690001545356204,0.0,0.5447926293407177,0.5882352941176471,0.41722030373151836,3.7202981148619028,0,1.8477439880371094e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-07-29,60,2332,2332,27072,12,2322,2322,1.0,17411,9661,0,0.6431368203309693,0.35686317966903075,0.0,0.5036807639008329,0.5454545454545454,0.38904469517973495,3.2372954349698535,0,3.7550926208496094e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-08-31,60,2409,2409,28881,13,2407,2407,1.0,19683,9198,0,0.6815207229666563,0.3184792770333437,0.0,0.491675021452951,0.5364891518737673,0.37325125570943296,3.2746157041960946,0,1.8775463104248047e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-09-30,60,2429,2429,29342,11,2427,2427,1.0,19846,9496,0,0.6763683457160384,0.32363165428396157,0.0,0.500221278039874,0.5408163265306123,0.37829899229707553,3.2558714462299134,0,3.129243850708008e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-10-31,60,2451,2451,29911,13,2450,2450,1.0,17908,12003,0,0.5987095048644312,0.40129049513556886,0.0,0.5958351011507392,0.6389295964152024,0.45765553105448,4.648571428571429,0,1.8775463104248047e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-11-30,60,2460,2460,30101,11,2459,2459,1.0,21116,8985,0,0.7015049333909172,0.29849506660908276,0.0,0.5080031043255594,0.5556711758584807,0.38833709431567914,3.471736478243188,0,3.516674041748047e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-12-30,60,2499,2499,31101,11,2499,2499,1.0,21421,9680,0,0.6887559885534227,0.31124401144657726,0.0,0.5145140285659969,0.56,0.3900316526246717,3.43937575030012,0,3.2782554626464844e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-01-26,60,2537,2537,32057,9,2536,2536,1.0,22835,9222,0,0.7123249212340519,0.28767507876594817,0.0,0.48217882111062843,0.5190311418685121,0.3676182791089161,2.9988170347003154,0,3.6954879760742188e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-02-28,60,2579,2579,33152,10,2577,2577,1.0,22154,10998,0,0.6682553088803089,0.3317446911196911,0.0,0.5150330815959026,0.5522682445759368,0.39598144449793843,3.216530849825378,0,3.427267074584961e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-03-31,60,2663,2663,35348,12,2661,2661,1.0,23300,12048,0,0.6591603485345705,0.34083965146542944,0.0,0.5180359151868961,0.560553633217993,0.39448223365117485,3.5663284479518977,0,2.2649765014648438e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-04-28,60,2696,2696,36197,9,2688,2688,1.0,27706,8491,0,0.7654225488300135,0.23457745116998646,0.0,0.4234017751644285,0.45999999999999996,0.318365570771705,2.5167410714285716,0,3.606081008911133e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-05-31,60,2699,2699,36257,8,2694,2694,1.0,28768,7489,0,0.7934467826902392,0.20655321730976087,0.0,0.38941052036133433,0.4266297322253001,0.2906866932186258,2.242390497401633,0,3.7550926208496094e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-06-30,60,2750,2750,37626,10,2733,2733,1.0,31235,6391,0,0.8301440493275927,0.16985595067240739,0.0,0.36029750851987374,0.375,0.2741329915240933,2.0878155872667397,0,3.7550926208496094e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-07-31,60,2783,2783,38606,10,2779,2779,1.0,28335,10271,0,0.7339532715122001,0.2660467284877998,0.0,0.46319590972924995,0.5,0.3516014837450986,2.9197553076646274,0,3.6954879760742188e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-08-31,60,2834,2834,40066,10,2822,2822,1.0,30846,9220,0,0.7698796984974792,0.23012030150252083,0.0,0.45283248387764696,0.5,0.3438706083005529,2.8026222537207652,0,3.7848949432373047e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-09-29,60,2897,2897,41851,10,2886,2886,1.0,32939,8912,0,0.7870540727820123,0.21294592721798764,0.0,0.4253159193927012,0.48,0.3238238660698934,2.5675675675675675,0,3.814697265625e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-10-31,60,2941,2941,43133,11,2940,2940,1.0,30979,12154,0,0.7182203881019174,0.28177961189808265,0.0,0.49870248632176106,0.5422673971549404,0.3781636966723084,3.619387755102041,0,3.6954879760742188e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-11-30,60,2959,2959,43668,10,2956,2956,1.0,30117,13551,0,0.6896812311074471,0.3103187688925529,0.0,0.5184955538168284,0.5742271196816651,0.3951239905046007,3.753382949932341,0,3.6656856536865234e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-12-29,60,2995,2995,44751,9,2995,2995,1.0,31300,13451,0,0.6994257111572926,0.3005742888427074,0.0,0.4926990298127065,0.5347222222222222,0.37554613177160207,3.3285475792988315,0,3.635883331298828e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-01-31,60,3026,3026,45680,10,3025,3025,1.0,31619,14061,0,0.6921847635726796,0.3078152364273205,0.0,0.519839488412221,0.5748393021120294,0.3958586415943147,3.8244628099173554,0,3.427267074584961e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-02-28,60,2961,2961,43725,11,2948,2948,1.0,31776,11949,0,0.7267238421955403,0.2732761578044597,0.0,0.4476648161632596,0.485207100591716,0.3383053659629641,2.659430122116689,0,3.635883331298828e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-03-30,60,3008,3008,45124,9,2999,2999,1.0,35553,9571,0,0.7878955766332771,0.2121044233667228,0.0,0.4037071645261626,0.4444444444444444,0.30491611448238876,2.4041347115705234,0,3.6656856536865234e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2018-04-27,60,3025,3025,45637,7,3015,3015,1.0,37531,8106,0,0.8223809628152595,0.17761903718474045,0.0,0.37329717717403044,0.4027777777777778,0.28384065535911046,2.05804311774461,0,7.271766662597656e-06,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
